"gene","FS","FR","PS","PR","Tsil","Trepl","nout","npop","BSnIPRE.class","BSnIPRE.est","BSnIPRE.lbound","BSnIPRE.ubound","BSnIPRE.pneg","BSnIPRE.Rest","BSnIPRE.Rlbound","BSnIPRE.Rubound","BSnIPRE.Rclass","BSnIPRE.tau","BSnIPRE.theta","BSnIPRE.gamma","BSnIPRE.f","BSnIPRE.f.lb","BSnIPRE.f.ub","BSnIPRE.f.class"
"rna10046",16,0,16,0,661,1739,2,40,"neut",1.11189875623272,-2.36475594363918,4.78915564309295,0.269866666666667,-5.7138117442439,-9.38620116138386,-3.23753528188877,"neg",5.00985075256672,0.00432826394252836,2.17058996730998,0.00330371391899577,9.5367431640625e-05,0.0392523302368004,"neg"
"rna10048",325,25,200,0,407.3333,1050.6667,2,40,"pos",3.77087590684425,1.78482440282951,6.87574723639569,0,-7.32972049106358,-10.3062343675315,-5.43514832565934,"neg",8.02114188370754,0.0929723841785906,43.8645350700645,0.000319696871745308,9.5367431640625e-05,0.00227812267289819,"neg"
"rna10058",22,8,18,6,646.6667,1687.3333,2,40,"neut",0.0937298629169361,-1.15487166711181,1.3200831675043,0.441866666666667,-2.10765880317017,-3.10551001644192,-1.21682216852871,"neg",6.08274817490298,0.0051234755287974,0.127676929571431,0.121520752254094,0.0448037327946116,0.296168528074564,"neg"
"rna10059",212,52,72,0,488.3333,1404.6667,2,40,"pos",3.98761125297751,2.03306487531364,7.20370629077581,0,-6.47308479281633,-9.67294480308109,-4.50022754630154,"neg",14.9981331487368,0.0277725587005194,53.521771601616,0.000823974609375,9.5367431640625e-05,0.00574439799001874,"neg"
"rna10062",2,1,0,0,390.6667,923.3333,2,40,"neut",0.704410387293348,-3.461681697367,4.89542679722373,0.369066666666667,-2.68875942734702,-6.97441130131101,1.40011177269704,"neut",161.850845371892,3.60839945534547e-05,1.11326143626783,0.0679633150490077,0.00092635716242816,4.05565251168852,"neut"
"rna10064",4,0,0,0,333,897,2,40,"neut",0.0343965033156344,-4.07756276636891,4.5152903875996,0.496,-3.72679086650816,-8.18931004220194,0.309593045411404,"neut",226.25288985382,5.04378864771786e-05,0.0447176287911306,0.0240710625912938,0.000290848178094927,1.36287001684208,"neut"
"rna10065",8,0,0,0,728,1972,2,40,"neut",-0.246289272385298,-4.39821105293044,4.3250396339268,0.540533333333333,-3.8652152939323,-8.23032974007223,0.168265658379213,"neut",325.743581460797,3.08064212352344e-05,-0.300664999276415,0.0209656920572068,0.000282723914447025,1.18324543924544,"neut"
"rna10068",40,0,8,0,358.6667,772.3333,2,40,"neut",0.434926059607944,-3.17529163470233,4.57961067617627,0.408,-5.8139327802821,-10.0406742459769,-2.74712089583546,"neg",27.7467357723251,0.00382217030314017,0.63389200602425,0.00295535726099976,9.5367431640625e-05,0.064110942863039,"neg"
"rna10069",3,1,0,0,196.6667,595.3333,2,40,"neut",0.957403923662776,-3.27956695543425,5.15454707888309,0.335733333333333,-3.33501785594986,-7.77537956586587,0.846888485524389,"neut",184.023777391239,7.38808642840818e-05,1.66517722635685,0.035613482342642,0.0004425048828125,2.33236206112257,"neut"
"rna1007",126,27,45,9,518.3333,1371.6667,2,40,"neut",0.094752507563331,-0.70401563547869,1.00114468011169,0.406666666666667,-2.62816688324653,-3.49007183377797,-1.97091919733799,"neg",14.1915495267273,0.0163139326652927,0.126727751641908,0.0722100592249565,0.030498316562676,0.139325428665721,"neg"
"rna10070",4,1,0,0,827.6667,2352.3333,2,40,"neut",0.560620526361148,-3.14068359440431,4.76247307826319,0.386666666666667,-3.10372273712002,-7.52378714722904,0.643070598590694,"neut",232.226656373808,2.14542509595095e-05,0.843720218880161,0.0448837383317592,0.000511513402338771,1.90229674998785,"neut"
"rna10072",50,25,0,0,214.3333,634.6667,2,40,"neut",1.65384260376764,-1.79838868495532,5.8564739992168,0.193066666666667,-3.44466784560096,-7.60710267623806,-0.0246308401300313,"neg",922.463829185493,0.000242195882297525,4.0518540068434,0.0319147660233881,0.000526967678420013,0.975658396636446,"neg"
"rna10077",279,45,72,18,947,2650,2,40,"neut",-0.384241594282881,-0.982648491392751,0.244376561621492,0.894133333333333,-2.47013984815389,-3.0126428537284,-1.99358415350718,"neg",19.7268615306591,0.0145213369055154,-0.460949765741996,0.084596700869169,0.0491620634075508,0.136202546245594,"neg"
"rna10079",400,16,224,0,948.3333,2699.6667,2,40,"pos",3.26612658613721,1.27629406559522,6.17780890868616,0.000266666666666667,-7.55468381983661,-10.4812857720981,-5.60571129950881,"neg",8.91123469394238,0.044660802679056,25.5880512183223,0.000291399942233704,9.5367431640625e-05,0.00196844388420566,"neg"
"rna10082",3,7,0,0,248.3333,786.6667,2,40,"neut",1.94820507282141,-1.83876791994961,6.23042898615959,0.1576,-2.46255797981579,-6.80825612141442,1.32109970854013,"neut",190.609984138207,6.40254244176122e-05,5.71501449391326,0.0852362968394424,0.00109869782812506,3.74751443453988,"neut"
"rna10084",36,4,20,0,518.6667,1515.3333,2,40,"neut",2.23682280126079,-0.123552561892366,5.60058711549425,0.0354666666666667,-5.61317759084594,-9.00563260607169,-3.37045783118748,"neg",9.52035249971287,0.00698412020358043,8.24113049273054,0.00366532608134508,9.5367431640625e-05,0.0343728925852243,"neg"
"rna10086",45,27,18,0,977.3333,2778.6667,2,40,"pos",3.58601364715457,1.48993049313339,6.68541067372054,0,-5.20172630239723,-8.26219765725643,-3.13154035630725,"neg",13.8168684434153,0.00326615083381493,35.2767464292594,0.00288887767941624,9.62079126402241e-05,0.0229051556202176,"neg"
"rna10089",4,0,0,0,262.6667,754.3333,2,40,"neut",0.063092750737772,-4.15088147191508,4.50729459832952,0.487733333333333,-3.89645033099475,-8.5492306610471,0.124827987487483,"neut",237.635114160222,6.16098723666177e-05,0.082590677028453,0.0203280261736236,0.00019073486328125,1.13293611332505,"neut"
"rna1009",12,8,12,2,530,1381,2,40,"neut",1.36676616623554,-0.259263687009995,3.34772935619421,0.0514666666666667,-2.87111836015177,-4.68845683638323,-1.54109992372725,"neg",5.25105339401632,0.00407047949512007,3.02201096851047,0.0566353349981552,0.00917532988588607,0.214145220154028,"neg"
"rna10091",4,0,0,0,150.6667,437.3333,2,40,"neut",0.122099156789758,-3.98284668915735,4.68788455295573,0.4824,-3.97637634192338,-8.69746051907556,0.165372617918134,"neut",196.859701701468,0.000112801757603478,0.162183112961743,0.0187466685127736,0.00019073486328125,1.1798267408457,"neut"
"rna10097",147,0,0,0,465,1188,2,40,"neut",-0.989077670441431,-5.22815859910923,3.37067779964761,0.664,-5.48133649787367,-10.3171961700776,-1.61772134332935,"neg",1958.15214858179,0.00015906379264251,-1.06078308359451,0.00413832873953399,9.5367431640625e-05,0.198360161346063,"neg"
"rna1010",409,57,177,0,531.3333,1403.6667,2,40,"pos",4.20608628358316,2.28752607345647,7.30944912185133,0,-7.15750464380093,-10.2437619022886,-5.28846232109813,"neg",11.6084250795158,0.0630163279170498,67.7175622625822,0.0003814697265625,9.5367431640625e-05,0.0026155077584215,"neg"
"rna10100",1,0,0,0,116,343,2,40,"neut",0.280759334188175,-3.99695972476289,4.7454811752945,0.462133333333333,-3.42192610644494,-7.72348337699762,0.681015181828493,"neut",131.1614834958,6.15219697983476e-05,0.389017942270143,0.0326487661784623,0.000462918201857131,1.97585556416664,"neut"
"rna10101",8,3,0,0,232.3333,664.6667,2,40,"neut",1.07714585827376,-2.6644804158118,5.26452129918752,0.2952,-3.24690948427178,-7.33252001125299,0.430356823169649,"neut",269.907934765758,0.000116378840537415,1.96979497333825,0.0388941828525011,0.000658935061617137,1.53780610286458,"neut"
"rna10102",3,1,0,1,247.6667,769.3333,2,40,"neut",-1.37409788091522,-4.77146489120167,1.79371057917762,0.786666666666667,-0.86288757411639,-3.91896770023289,2.28725130703703,"neut",56.7144710511857,0.000190277433270309,-1.40531639217604,0.421941666079808,0.019883122666175,9.84781712497897,"neut"
"rna10103",8,3,0,0,308.6667,756.3333,2,40,"neut",1.14783776316906,-2.6233279990414,5.43680691719222,0.2672,-3.19897814779904,-7.59435448206836,0.619742728859955,"neut",277.78811207147,8.90173618493227e-05,2.16621028613295,0.0408298237664903,0.000533983576746474,1.8584386035987,"neut"
"rna10108",1,0,1,0,560.3333,1647.6667,2,40,"neut",0.507885668274892,-3.46329992288133,4.96167338370746,0.3976,-3.5580034024808,-7.93043818445248,-0.00769933274652777,"neg",19.9478318860275,0.000149228073722424,0.75939059100849,0.0284955388687239,0.0003814697265625,0.992316017586917,"neg"
"rna10112",0,0,8,0,236,730,2,40,"neut",2.1620176927822,-1.43099504998611,5.77636609621301,0.135466666666667,-4.94215538436162,-8.66114579027576,-2.42433452644195,"neg",0.497282792192196,0.00523362095603454,12.4485123509396,0.00716463329840853,0.00019073486328125,0.0885434091599844,"neg"
"rna10113",8,2,2,0,449,1195,2,40,"neut",1.42359657719933,-1.83858303398346,5.37720179222767,0.216,-3.99046631959828,-8.02760443750519,-1.03370636594066,"neg",30.8082675039011,0.000584133265988166,3.10161031901513,0.0184910042349608,0.000295546854115374,0.355708185456284,"neg"
"rna10114",2,0,0,0,114,339,2,40,"neut",0.133846211427718,-4.21409413841456,4.94245270487751,0.473866666666667,-3.68215846731024,-8.13652447542493,0.78144343657555,"neut",140.668775908651,0.00010352457754846,0.17838249424363,0.025173358364164,0.000301240000665903,2.18462310051097,"neut"
"rna10122",2187,243,243,0,965,2179,2,40,"pos",4.2390418691317,2.49683284227246,6.80801288891028,0,-7.25900781087383,-9.86571624979231,-5.50995427528698,"neg",47.1209070139736,0.0477193323961263,67.9033930382596,0.0003814697265625,9.5367431640625e-05,0.00209522828136965,"neg"
"rna10124",6,2,4,2,155.3333,462.6667,2,40,"neut",-0.313625984253817,-2.45920730173741,1.8974696531767,0.6144,-1.97621420456278,-3.89424467522304,-0.335939593053545,"neg",8.73292379942178,0.00419064985603583,-0.386372289872599,0.138589166850533,0.0203722788538628,0.714642373057218,"neg"
"rna10125",2,0,0,0,136.3333,298.6667,2,40,"neut",0.261497651478031,-4.12006019430654,4.78131938240744,0.462133333333333,-3.58786767478784,-8.24521390113093,0.729834614100589,"neut",152.475781786081,8.46117729101657e-05,0.360348097402967,0.0276571783772709,0.000278628206487435,2.07475485171109,"neut"
"rna10127",2,2,1,1,220.6667,637.3333,2,40,"neut",-0.055691107800349,-2.99182621227532,3.03928917632341,0.513866666666667,-1.31709366849376,-4.35839838470235,1.27051359705286,"neut",16.6492401070684,0.000603442165749583,-0.0717293590361175,0.26790590101218,0.0128044876936895,3.56267240695028,"neut"
"rna10128",2,6,0,0,205.3333,565.6667,2,40,"neut",1.88801469731398,-1.78222932452617,5.99554398650521,0.164,-2.08110416145318,-6.37015439714037,1.53221561997407,"neut",164.379522725063,6.44608246584267e-05,5.3341816460993,0.124790446840542,0.00171559252346158,4.6284412068138,"neut"
"rna10129",4,4,0,0,350.6667,1095.3333,2,40,"neut",1.40114858731388,-2.38969738926718,5.65077194621169,0.2232,-2.77782405497032,-7.06249459281883,1.00562199362034,"neut",241.51523204325,4.70213630353015e-05,2.9915607337261,0.0621727337407149,0.000829404855418647,2.73360631915893,"neut"
"rna10132",12,0,4,0,194.6667,513.3333,2,40,"neut",0.480867286678001,-3.12902568176945,4.67983554052191,0.392533333333333,-5.14703903962099,-9.302704859483,-2.06900494865092,"neg",17.9252344886144,0.00329290051473372,0.713835622403566,0.0058199672677439,9.5367431640625e-05,0.126309254773981,"neg"
"rna10133",4,44,0,0,362.3333,951.6667,2,40,"neut",2.95349055776591,-0.654332824630389,7.1390023477523,0.0573333333333333,-1.6268626415071,-5.83676325577674,1.91327719402216,"neut",241.468283466284,5.16792166447556e-05,17.4363047708396,0.196546887418907,0.00291971757713632,6.77525153667291,"neut"
"rna10136",69,0,16,0,422.3333,1035.6667,2,40,"neut",0.475980060675873,-2.81160513512682,4.52646760560839,0.395733333333333,-6.28251568362652,-10.3591873743911,-3.47255102158744,"neg",22.7212090723955,0.00692417001419158,0.70369175888548,0.00187840673625938,9.5367431640625e-05,0.0310373030268123,"neg"
"rna1014",45,28,56,16,537.3333,1361.6667,2,40,"pos",0.777132301097092,0.0542735623417071,1.55079884074462,0.0146666666666667,-2.20789029171554,-2.78152929574217,-1.67600685533959,"neg",3.7187651014685,0.0196814070823485,1.33656337701411,0.0848048050291265,0.0477778385137881,0.144309982633464,"neg"
"rna10147",28,12,24,0,722,2125,2,40,"pos",3.45878261453454,1.23592758994587,6.50580217275659,0.000266666666666667,-5.47271236477042,-8.49657414735654,-3.36851644374346,"neg",6.17269748652394,0.00597612359438794,32.1036020068871,0.0022250272949151,9.5367431640625e-05,0.01812306632201,"neg"
"rna10153",2,0,2,0,424.6667,1189.3333,2,40,"neut",0.673202103916882,-2.89733474663061,5.03831468141202,0.357333333333333,-4.11152059774054,-8.50400650636838,-1.08142692089045,"neg",10.3138160412875,0.000544492082451496,1.07445406170133,0.0163824729629054,0.00019073486328125,0.339111204441878,"neg"
"rna10156",0,9,0,0,243,699,2,40,"neut",2.41265011701636,-1.24401745765709,6.69426578476127,0.106933333333333,-1.37485075645785,-5.70239409196983,2.43975972450761,"neut",130.312069749357,2.8485756832645e-05,9.66181506547554,0.252872988861149,0.00334265866350036,11.4702815705207,"neut"
"rna10158",0,6,0,0,252.6667,827.3333,2,40,"neut",2.17031625894615,-1.65307932396034,6.37287693717895,0.138133333333333,-1.57565419648524,-5.96312907281849,2.26468924480605,"neut",111.615917539338,2.96953987049646e-05,7.36898589097993,0.206872095267213,0.00259710707723976,9.62810480624889,"neut"
"rna10159",1,5,0,0,130.6667,436.3333,2,40,"neut",2.12082605293727,-1.73835625922354,6.46188064798107,0.148266666666667,-2.2251502272603,-6.6049676853067,1.62739907285061,"neut",136.072857898125,7.25840991328337e-05,6.96354649126314,0.108051049739139,0.00135939598647637,5.09061398772517,"neut"
"rna1016",81,20,48,56,642,1761,2,40,"neg",-1.53967224645186,-2.21230023507855,-0.887870077851677,1,-0.873959651447766,-1.26656248451922,-0.46050220091345,"neg",8.29890106174539,0.0140897350806949,-1.58304965958304,0.63192141064084,0.426734509955172,0.955480200664599,"neg"
"rna10162",7,10,0,2,1608.6667,4427.3333,2,40,"neut",-1.01120861262611,-3.97018523201926,1.46403932941766,0.7864,0.245759250382357,-2.09021262718777,3.14309828562262,"neut",101.188516400061,4.23946693550142e-05,-1.08343564064679,1.27859099801749,0.123659123354972,23.1755545692183,"neut"
"rna10164",17,0,0,1,399.6667,950.3333,2,40,"neut",-2.77589536053677,-6.09635537133511,0.617437487058543,0.9448,-1.46776694957904,-4.69901259045118,1.19885067191249,"neut",190.695803323358,0.000204324497363268,-2.47233914642939,0.230438278066553,0.00908421749123359,3.31630190257186,"neut"
"rna10165",2,5,3,3,418.6667,763.3333,2,40,"neut",0.486450005882959,-1.63145140814778,2.53669883289399,0.314933333333333,-0.700640871265659,-2.36633491853925,1.07349818428825,"neut",5.01413988335968,0.00122144764787561,0.74525422144646,0.496260035319954,0.0937997081380027,2.92558993261446,"neut"
"rna10171",399,288,36,0,529,1562,2,40,"pos",4.39446370940319,2.24992315139774,7.42613495929613,0,-5.79727392166581,-8.84747912511718,-3.64989458484686,"neg",58.9536836591145,0.0126603994715883,79.4963973777945,0.00152587890625,9.5367431640625e-05,0.0133164430767723,"neg"
"rna10173",74,1,0,0,383.6667,975.3333,2,40,"neut",-0.174833638139838,-4.19241841210668,4.16618844408537,0.5352,-5.03578435277477,-9.41172819190086,-1.19597785413236,"neg",1247.93104316405,0.000148373657259402,-0.216567871803798,0.00650596118162004,9.5367431640625e-05,0.302407356582087,"neg"
"rna10174",4,0,0,0,323,889,2,40,"neut",0.0147745744969607,-4.21716458394994,4.30750528632534,0.494666666666667,-3.71892900549702,-7.98351400098708,0.577644118161632,"neut",219.014706524313,4.93405876150964e-05,0.0191155300018935,0.0242601491319318,0.000319811782595639,1.78183092237019,"neut"
"rna10175",2,1,0,0,193.6667,562.3333,2,40,"neut",0.805613062567309,-3.14183508196524,5.33610626093509,0.3608,-2.90256270633308,-7.57047721327418,0.976516596634763,"neut",136.488023050745,7.21006334719257e-05,1.32112544365608,0.054882288211276,0.000486089143640755,2.65519018893919,"neut"
"rna10176",1,0,0,0,360,819,2,40,"neut",0.245703210369411,-3.89874906121961,4.84298293093253,0.4528,-3.07563747591077,-7.69849253344662,1.20839665299792,"neut",163.475135444674,1.97709671358213e-05,0.337109244442367,0.0461362597125865,0.000476671774724969,3.3481104753109,"neut"
"rna10178",64,0,0,0,815.3333,1929.6667,2,40,"neut",-0.767640634717271,-4.90956433830634,3.94688536371114,0.6448,-5.00200758466246,-9.70885967241468,-0.950355253730713,"neg",1155.35026084285,6.74799030966445e-05,-0.851760961642051,0.00673526396820764,9.5367431640625e-05,0.386612968814374,"neg"
"rna1018",19,3,12,0,531.3333,1358.6667,2,40,"neut",2.22266307317596,-0.385735617872663,5.75594090699013,0.0533333333333333,-5.16511163581166,-8.56496436271488,-2.73876035424512,"neg",8.67023088870703,0.00400246414052145,8.14116316634886,0.00571896186971603,0.00019073486328125,0.0646491094451485,"neg"
"rna10182",10,3,0,0,650.3333,1899.6667,2,40,"neut",0.961627357389044,-2.7778632372691,5.28623315036784,0.320533333333333,-3.33707463947677,-7.7324208081056,0.321868890482569,"neut",338.052901167655,4.40595253923037e-05,1.67434762795833,0.0355402817545049,0.000457999535956801,1.37970352161074,"neut"
"rna10185",8,0,0,0,248.3333,558.6667,2,40,"neut",-0.042353045099881,-4.35327761951083,4.6035842094038,0.5088,-4.17668297033222,-9.03888456503137,0.0109367497969988,"neut",323.130991935431,8.72752911317001e-05,-0.0540539540825198,0.0153491398699926,9.5367431640625e-05,1.01097948341727,"neut"
"rna10186",5,0,0,0,656,1696,2,40,"neut",0.0204347966375487,-4.2901353679844,4.29483712354771,0.493866666666667,-3.75021779408012,-8.01116940731721,0.40771476880032,"neut",264.975959177574,2.69731331214733e-05,0.0264998917473825,0.0235207140419317,0.000304591782303336,1.5033829851518,"neut"
"rna10187",1,0,0,0,152,418,2,40,"neut",0.272788660093269,-3.90680419204865,5.0521799034915,0.456,-3.26369884356492,-8.0741488853464,1.0041795647058,"neut",129.220500639027,5.03133943814547e-05,0.377158440397611,0.0382466005799661,0.000269931374042804,2.72966612535114,"neut"
"rna10188",3,0,0,0,51,186,2,40,"neut",0.124506235128447,-4.47756882158637,4.77874853951027,0.48,-4.14239326756075,-8.83207846689526,0.0439077991863196,"neut",200.419237349266,0.000241222437539472,0.165478736080099,0.0158845043371875,0.000117139368539272,1.04486289681159,"neut"
"rna10199",288,0,0,0,1113,3267,2,40,"neut",-1.23604757377117,-5.37692829783911,3.00791963297725,0.717066666666667,-5.95491357511491,-10.1508347693973,-1.65708930591362,"neg",3335.29682470485,7.71373131581964e-05,-1.281099011549,0.00261570245774283,9.5367431640625e-05,0.19071885964954,"neg"
"rna1020",144,36,36,0,532.3333,1306.6667,2,40,"pos",3.55174996341047,1.34286271016884,6.86910708056851,0,-5.86859319180274,-9.17072409897715,-3.65664279374043,"neg",21.0859070030542,0.0124505889050801,33.6371220026702,0.00146484375,9.5367431640625e-05,0.0135848291305765,"neg"
"rna10203",2,0,0,0,365.6667,957.3333,2,40,"neut",0.109134213778519,-4.2576490141613,4.5273022318654,0.479733333333333,-3.32263583936397,-7.83998319501816,0.636315925473959,"neut",157.478519455521,3.21028382271264e-05,0.144531709143609,0.0360573262877583,0.0003814697265625,1.88949215389614,"neut"
"rna10204",16,16,8,8,441.3333,1103.6667,2,40,"neut",0.00401935004156455,-1.19740248240683,1.17794206808163,0.497333333333333,-0.9501455522075,-1.90103564573607,0.0248482867221123,"neut",10.606593303393,0.00326956104553319,0.00528508978878619,0.386693668412866,0.149413282695651,1.02513987133308,"neut"
"rna10206",27,37,0,0,2955.3333,9344.6667,2,40,"neut",1.77946709397714,-1.73986858055436,5.79985193683614,0.161866666666667,-2.63828728527568,-6.65917340796321,0.966161753732245,"neut",670.564864500014,1.34728520895289e-05,4.69586704078363,0.0714827434637023,0.00129531594540757,2.62783786907806,"neut"
"rna10207",3,1,0,0,115.3333,313.6667,2,40,"neut",0.926382121774831,-3.42831530279106,5.15715215879771,0.3456,-3.26365101347053,-7.52995259596708,1.01223349771796,"neut",174.945629741101,0.00011909888082006,1.59124225257354,0.0382484300535919,0.000508391643191717,2.75173945918298,"neut"
"rna10208",2,0,0,0,920,2506,2,40,"neut",0.0554631209659128,-3.94158465721588,4.44302552801251,0.492266666666667,-3.24113479692226,-7.81398114034651,0.73841564258675,"neut",186.08687815153,1.2852341735117e-05,0.0724663973699437,0.0391145822538809,0.0003814697265625,2.09263174853612,"neut"
"rna10210",2,5,0,1,185.6667,612.3333,2,40,"neut",-0.0794013756876499,-3.17108832195753,2.95460013263903,0.513866666666667,-0.427948135906027,-3.45858985366333,2.65289173015649,"neut",59.0546293622835,0.000194764710004378,-0.100768034981221,0.651844967202825,0.0314735935764827,14.195054095139,"neut"
"rna10212",45,0,0,0,559,1523,2,40,"neut",-0.603396312102366,-4.83106799822764,3.63076137726007,0.6112,-4.98814134776639,-9.27634730725055,-0.95042858280824,"neg",953.468994416387,8.12264086037801e-05,-0.688167996677201,0.00683213982117041,9.5367431640625e-05,0.386584755421271,"neg"
"rna10214",4,4,0,0,252.3333,734.6667,2,40,"neut",1.33873229320458,-2.26805632529963,5.56706929073767,0.2344,-2.63036487523586,-6.87189785322546,1.28776500329435,"neut",192.807795466541,7.93560744277029e-05,2.76949774330448,0.0720514757082225,0.00103919258355353,3.62466245502303,"neut"
"rna10217",8,12,0,0,774,2226,2,40,"neut",1.88947724095582,-1.63923532477633,6.12018862748792,0.144,-2.60139022716088,-6.82208006883267,0.903288985510127,"neut",319.873619577447,3.19188950499486e-05,5.33756583815051,0.0741700774728281,0.00108946594178068,2.46770258888273,"neut"
"rna1022",10,4,1,0,530,1348,2,40,"neut",1.56377051145531,-1.8416272912438,5.54748873610644,0.196266666666667,-3.57030789213148,-7.53801398796932,-0.254253746271826,"neg",76.1619692058956,0.000249723551034534,3.65447080731323,0.0281470906089141,0.00050395510057991,0.775504370046948,"neg"
"rna10220",36,9,0,0,490.3333,1312.6667,2,40,"neut",1.1365966803201,-2.65655899349513,5.20005796246205,0.283733333333333,-3.53740548784811,-7.80125168011623,0.176916617476029,"neut",722.71069112611,0.000100103055882054,2.13280314423755,0.0290885190540292,0.0003814697265625,1.19352726214135,"neut"
"rna10223",4,5,0,0,260,805,2,40,"neut",1.57932087832881,-2.05227690558024,5.75919558844318,0.194933333333333,-2.67607719211319,-6.86028454625114,1.04002271607294,"neut",209.549971289006,7.00113346518579e-05,3.71311635291171,0.0688306224923785,0.00105197522239339,2.82928058649952,"neut"
"rna10225",32,0,0,0,256,632,2,40,"neut",-0.426524241777769,-4.24686873856175,3.92238959266606,0.570133333333333,-5.07548600389836,-9.17518042317818,-0.852496910727446,"neg",664.935060524508,0.000174230318750522,-0.50231439659753,0.00624856548787638,9.5367431640625e-05,0.426348682635527,"neg"
"rna10228",1,0,0,0,434.3333,1125.6667,2,40,"neut",0.280558600198711,-4.14524567003315,4.65263921315378,0.4512,-3.23602814672383,-7.79404696459857,1.14084649709517,"neut",140.833276514031,2.06249622971324e-05,0.388677036166312,0.0393102032436932,0.0004425048828125,3.12941689693797,"neut"
"rna1023",2,1,7,0,533.6667,1371.3333,2,40,"neut",2.23509394266093,-1.00953101512653,6.09901748269338,0.0922666666666667,-4.47638590002218,-8.23257052094331,-2.05583676069885,"neg",2.301512075942,0.00206936309765247,9.22538766332791,0.0113894205524808,0.000282107313752287,0.12798326135932,"neg"
"rna10230",44,6,0,8,385,1085,2,40,"neg",-3.94636801821992,-6.26449703198793,-2.12841517563642,1,0.975919635870789,-0.693058718224121,3.17395432137518,"neut",242.666950508222,0.000439276124601494,-3.26288717441268,5.71485224521545,1.0768755643849,51.4753534549846,"pos"
"rna10231",9,1,0,0,471,1323,2,40,"neut",0.328205482841087,-3.69589945384849,4.51627860999637,0.4328,-3.6317536570313,-7.90510012855104,0.376633027835486,"neut",335.334361297553,5.22400655390592e-05,0.460334704484891,0.0264396910199998,0.0003814697265625,1.45734132593593,"neut"
