"Gene","FN","FS","PN","PS","Trepl","Tsil"
"Gfat2",1,3,0,0,6056,2248
"GlnS",1,8,0,9,14693.9994,5286.0006
"GluCl",0,1,0,1,1736.6666,657.3334
"Glurb",1,22,4,17,100232,37180
"Gpdh",3,5,0,0,5981.3336,1890.6664
"Gr10",2,1,0,0,2337,921
"Grd",2,7,1,3,15075.6671,5984.3329
"Grp",1,9,0,0,7046.667,2943.333
"Gstcd",3,8,0,2,16488.3329,5546.6671
"GstD1",2,1,1,4,3957.3336,1274.6664
"GstS1",1,9,0,0,8120,2740
"GstS4",1,1,0,0,915.3334,338.6666
"Gtpx1",4,3,0,2,3966.0003,1217.9997
"Gycbeta1",0,5,0,2,8668.3331,3343.6669
"H",0,1,0,0,819,360
"Hb",3,14,4,8,41682.6657,14606.3343
"Hbg2",5,12,1,5,29371,10718
"Hbg3",2,9,1,2,17971.3338,5884.6662
"Hex110",9,23,2,9,96047.6681,34371.3319
"Hex70a",3,12,1,8,32952,10392
"HEX70b",8,14,0,1,35013.6659,12182.3341
"Hex70c",8,15,1,4,43381.3324,14326.6676
"Hiscl1",0,5,0,8,12081.3329,4649.6671
"Ho",6,3,0,0,4898.9997,1554.0003
"Hsc70-3",0,2,0,0,2949.3334,1004.6666
"Hsc70-4",0,2,0,1,4389.9999,1541.0001
"Hsc70-5",0,1,0,0,1510.3333,553.6667
"Hsp90",0,1,0,1,3297.3334,1052.6666
"IF-2mt",13,11,1,0,39458.3325,12366.6675
"ILP-2",0,1,0,0,169.3333,52.6667
"Imd",4,5,4,6,9544.3327,3280.6673
"InR-2",8,44,1,7,221419.998,86920.002
"INTS8",2,12,0,1,32920.0005,12304.9995
"Ip3k",4,4,0,3,11066,4246
"JHBP-1",1,3,0,3,2387,721
"Jhe",12,8,1,0,26403.9993,9380.0007
"Jtb",0,1,0,0,329.3333,123.6667
"KAT2A",3,5,0,0,14618.6664,4869.3336
"Kr",2,12,8,4,30983.3342,13242.6658
"Kr-h1",0,4,0,1,3953.3335,1416.6665
"LCCH3",1,8,0,0,8696.9997,3426.0003
"Lin-52",0,2,0,1,776.0001,267.9999
"LOC100187599",1,0,0,0,230.3333,51.6667
"LOC100188904",0,0,0,2,802.6666,229.3334
"LOC100217360",5,11,0,1,13668,4590
"LOC100302106",1,3,0,0,518.6668,225.3332
"LOC100379261",0,8,0,2,9546.667,3533.333
"LOC100576082",1,2,1,1,1728.3335,551.6665
"LOC100576085",0,1,0,0,333.3333,113.6667
"LOC100576087",2,0,3,1,784.0002,331.9998
"LOC100576088",5,0,0,0,1501.6665,418.3335
"LOC100576093",0,1,0,0,556.3333,187.6667
"LOC100576096",5,11,0,3,37715,13186
"LOC100576097",9,19,8,6,52066.0014,19123.9986
"LOC100576098",1,1,1,1,2378.6668,909.3332
"LOC100576099",2,0,0,0,1662.6666,533.3334
"LOC100576100",3,3,0,0,4780.0002,1609.9998
"LOC100576101",0,2,0,0,1117.3334,496.6666
"LOC100576104",1,0,0,2,1980.9999,692.0001
"LOC100576106",2,7,0,0,6171.0003,2090.9997
"LOC100576110",2,12,3,5,30792.6674,11711.3326
"LOC100576115",1,2,0,0,1323,414
"LOC100576116",4,6,0,2,19179.9996,7820.0004
"LOC100576118",2,8,3,9,14930.6674,5397.3326
"LOC100576121",3,13,0,0,16554.6672,7253.3328
"LOC100576125",1,2,0,0,2859.9999,974.0001
"LOC100576126",3,19,1,12,39316.6655,14233.3345
"LOC100576128",10,19,0,3,41866.6656,14197.3344
"LOC100576129",1,15,0,2,19967.9994,8382.0006
"LOC100576130",0,1,0,0,342.3333,140.6667
"LOC100576131",1,1,0,0,3230.6666,1023.3334
"LOC100576132",10,15,3,3,52462.3323,20728.6677
"LOC100576135",7,20,0,0,46502.9991,17082.0009
"LOC100576136",4,8,3,7,28842,10758
"LOC100576143",1,7,0,0,9672,2952
"LOC100576145",1,1,0,0,258.6666,95.3334
"LOC100576146",1,5,0,1,8110.6669,2977.3331
"LOC100576147",0,10,1,3,12749.3338,5184.6662
"LOC100576149",6,5,0,5,8682.6672,2981.3328
"LOC100576150",6,13,1,16,52787.9988,19032.0012
"LOC100576151",0,5,0,0,3726.6665,1253.3335
"LOC100576152",1,0,0,1,965.3334,360.6666
"LOC100576153",4,4,0,0,3554.6664,1317.3336
"LOC100576155",10,7,0,0,18456.3339,5666.6661
"LOC100576156",0,7,0,0,3656.3331,1383.6669
"LOC100576157",0,9,1,2,10587.9996,4496.0004
"LOC100576159",19,17,0,0,153659.9988,48408.0012
"LOC100576161",0,4,0,0,754.6668,325.3332
"LOC100576162",2,3,0,0,9931.6665,3418.3335
"LOC100576163",1,1,2,3,1638,630
"LOC100576165",2,0,0,0,725.3334,246.6666
"LOC100576167",3,6,0,1,9136.667,3193.333
"LOC100576169",6,7,0,0,43693,15821
"LOC100576170",1,2,0,0,1761.9999,884.0001
"LOC100576171",0,3,0,7,3613.333,1306.667
"LOC100576172",2,0,1,2,1291.6665,463.3335
"LOC100576174",1,0,0,0,351,117
"LOC100576176",2,3,0,0,5513.3335,2226.6665
"LOC100576179",25,36,1,16,287377.9974,95446.0026
"LOC100576182",1,7,0,0,4546.6664,2005.3336
"LOC100576184",2,6,4,9,7182,2520
"LOC100576185",14,7,1,2,72919.9992,25864.0008
"LOC100576186",3,4,1,0,9093.3336,3170.6664
"LOC100576187",1,3,0,0,4113.3332,1634.6668
"LOC100576188",2,2,0,1,2620,1010
"LOC100576192",4,11,7,6,29026.6676,10705.3324
"LOC100576193",1,3,3,9,8730.6672,3365.3328
"LOC100576194",2,12,0,1,9034.9995,3745.0005
"LOC100576195",3,0,0,0,797.0001,255.9999
"LOC100576196",12,38,10,22,415029.3306,184472.6694
"LOC100576198",8,8,2,4,50724.6674,16133.3326
"LOC100576212",2,11,1,15,26535,9222
"LOC100576213",1,8,1,12,21252,7986
"LOC100576215",0,5,0,2,3644.6669,1479.3331
"LOC100576216",1,4,0,0,6093.3335,2021.6665
"LOC100576217",25,37,2,4,234260,78472
"LOC100576220",0,2,0,0,1347.3334,506.6666
"LOC100576221",1,5,0,0,6985.9998,2230.0002
"LOC100576222",0,1,0,1,1252,464
"LOC100576223",20,15,16,16,191262.6689,68228.3311
"LOC100576224",4,3,2,5,6972,2352
"LOC100576225",1,2,1,0,1194.6668,485.3332
"LOC100576226",0,3,0,0,1152.9999,332.0001
"LOC100576227",9,6,0,0,38485.0005,13354.9995
"LOC100576231",0,14,1,1,30453.3328,10874.6672
"LOC100576232",1,3,0,1,1053.3335,326.6665
"LOC100576233",13,12,43,21,387832.3363,120001.6637
"LOC100576234",1,1,5,3,4540,1670
"LOC100576236",1,2,1,1,3785,1375
"LOC100576242",2,2,0,0,5481.3332,1898.6668
"LOC100576243",1,0,4,2,5252.3331,1761.6669
"LOC100576246",7,5,4,23,35529,12207
"LOC100576247",2,16,0,1,30628,14231
"LOC100576248",23,7,8,6,92810.6652,30081.3348
"LOC100576249",8,14,1,4,48230.9991,17703.0009
"LOC100576251",0,9,0,3,26184,10464
"LOC100576253",3,2,4,5,10551.3338,3602.6662
"LOC100576254",0,4,1,0,2241.6665,863.3335
"LOC100576258",0,1,0,0,230,88
"LOC100576259",1,4,0,0,2141.6665,828.3335
"LOC100576260",1,2,1,8,3948,1524
"LOC100576261",8,8,1,2,22179.3327,7004.6673
"LOC100576262",1,5,0,1,2718.3331,956.6669
"LOC100576263",7,2,3,1,5910.6671,2240.3329
"LOC100576265",3,4,0,0,6216,1995
"LOC100576266",0,5,0,1,8617.9998,3262.0002
"LOC100576270",2,1,0,0,1065.9999,338.0001
"LOC100576271",5,4,11,12,42528,17952
"LOC100576272",0,3,0,0,2055.9999,644.0001
"LOC100576279",10,11,5,8,36346,14756
"LOC100576282",4,10,0,8,19924.6674,6871.3326
"LOC100576284",2,5,4,10,17759.0007,7251.9993
"LOC100576288",0,2,0,0,446,202
"LOC100576289",1,5,0,0,2572.0002,775.9998
"LOC100576290",9,9,0,0,29424.0006,10805.9994
"LOC100576291",0,27,0,11,114190,49856
"LOC100576293",2,4,0,1,7800.3331,3245.6669
"LOC100576296",2,3,0,0,5755,1820
"LOC100576300",0,3,0,0,3543.9999,1253.0001
"LOC100576304",4,18,2,3,32292,11934
"LOC100576307",1,6,0,1,5397.3336,2282.6664
"LOC100576320",1,5,0,1,3523.3331,1222.6669
"LOC100576321",3,17,0,0,80306.666,27393.334
"LOC100576326",6,8,1,0,14085,4725
"LOC100576330",5,2,4,3,6141.3338,2006.6662
"LOC100576333",0,3,0,0,3273,1263
"LOC100576336",1,0,0,0,435.6667,140.3333
"LOC100576337",1,2,0,1,3808,1136
"LOC100576346",12,11,0,0,56909.6659,16782.3341
"LOC100576348",3,3,0,0,3838.0002,1237.9998
"LOC100576349",2,4,0,1,3798.6669,1283.3331
"LOC100576350",0,11,0,1,10740,4272
"LOC100576351",0,3,0,5,2050.6664,829.3336
"LOC100576355",2,10,2,1,7660.0005,2959.9995
"LOC100576359",1,5,0,0,7786.0002,2707.9998
"LOC100576361",0,12,0,3,5895,2340
"LOC100576366",6,1,0,0,7021,2303
"LOC100576369",0,7,0,0,6951,2919
"LOC100576370",1,8,13,23,66630.0015,25709.9985
"LOC100576373",5,3,0,1,8777.9997,2616.0003
"LOC100576374",11,13,0,0,61152,19920
"LOC100576380",1,4,0,2,1836.3331,767.6669
"LOC100576381",0,8,0,2,5330,1990
"LOC100576382",0,4,0,0,2093.3332,666.6668
"LOC100576383",0,0,4,8,10188,3564
"LOC100576384",9,34,3,13,188387,77467
"LOC100576387",1,4,0,0,3360,1125
"LOC100576392",1,4,0,0,5083.3335,2101.6665
"LOC100576401",3,1,0,1,2678.3335,861.6665
"LOC100576402",8,24,3,3,210127.3346,73618.6654
"LOC100576404",0,16,0,6,43472,16588
"LOC100576405",0,23,1,12,98244,39348
"LOC100576410",0,1,0,8,2081.9997,807.0003
"LOC100576411",1,3,0,0,5710.6668,2017.3332
"LOC100576412",4,2,0,0,6606,1890
"LOC100576413",37,27,0,0,598058.6688,189141.3312
"LOC100576414",7,6,0,0,14958.6671,4931.3329
"LOC100576418",2,14,0,3,15105,5472
"LOC100576421",1,6,0,0,4475.3331,1929.6669
"LOC100576422",0,5,0,0,2091.6665,773.3335
"LOC100576425",11,8,0,2,32031.9993,10493.0007
"LOC100576427",0,1,0,0,356.6667,141.3333
"LOC100576428",2,8,1,9,20546.666,8733.334
"LOC100576432",1,5,0,0,10252.0002,3769.9998
"LOC100576434",3,7,0,3,7262.6671,2916.3329
"LOC100576435",3,24,0,4,40455,15531
"LOC100576436",6,4,0,0,19340,5350
"LOC100576438",2,7,0,0,7326,2826
"LOC100576439",2,1,0,0,4854.9999,1454.0001
"LOC100576440",0,3,4,7,6024.6662,1829.3338
"LOC100576444",0,1,0,4,901.6665,343.3335
"LOC100576445",3,2,0,1,1561.9998,544.0002
"LOC100576446",1,11,1,8,30114,12411
"LOC100576447",0,5,0,0,3325,1295
"LOC100576449",0,9,0,4,37076,14833
"LOC100576453",3,2,0,0,1555,485
"LOC100576454",5,13,15,13,100617.3318,47732.6682
"LOC100576457",0,3,0,0,1179.9999,359.0001
"LOC100576458",3,7,0,4,10738,4466
"LOC100576460",1,7,0,2,4990,1700
"LOC100576461",3,2,0,1,6652.0002,2563.9998
"LOC100576462",6,4,0,2,11499.9996,3404.0004
"LOC100576466",4,9,3,15,31589,12121
"LOC100576467",2,1,0,2,1753.3335,541.6665
"LOC100576471",4,5,1,5,9910.0005,4624.9995
"LOC100576472",3,7,0,1,26033.3337,9804.6663
"LOC100576473",2,0,1,1,1265.3332,426.6668
"LOC100576476",0,6,1,6,9628.6671,3709.3329
"LOC100576478",2,1,2,0,1345,500
"LOC100576482",7,2,0,0,24684.0003,7499.9997
"LOC100576484",6,2,0,7,6544.9995,2185.0005
"LOC100576487",1,0,1,0,781.3334,238.6666
"LOC100576488",3,3,1,3,4663.333,2026.667
"LOC100576492",2,2,0,0,2058.6668,593.3332
"LOC100576497",7,8,0,0,21570,8580
"LOC100576498",2,3,0,2,3847.6669,1297.3331
"LOC100576502",9,5,0,0,9002,2800
"LOC100576504",1,7,35,23,144825.9978,59906.0022
"LOC100576505",2,3,3,3,2728,935
"LOC100576506",5,3,0,0,3434.6664,933.3336
"LOC100576508",1,5,1,5,7971.9996,3008.0004
"LOC100576512",0,5,1,2,1794.6664,629.3336
"LOC100576514",4,0,0,0,2525.3332,810.6668
"LOC100576515",1,1,0,0,482,178
"LOC100576519",1,1,0,0,1924.6666,739.3334
"LOC100576522",5,6,1,7,10570.3327,4078.6673
"LOC100576524",0,1,0,1,359.3334,132.6666
"LOC100576527",4,5,0,0,10424.9997,3804.0003
"LOC100576528",2,0,3,0,2456.6665,1008.3335
"LOC100576529",26,32,13,23,272224,95786
"LOC100576530",2,0,0,0,496,128
"LOC100576531",1,3,0,0,2148,732
"LOC100576532",0,3,0,0,1503,567
"LOC100576534",0,6,0,0,1594.0002,583.9998
"LOC100576536",0,2,0,0,464,160
"LOC100576537",0,4,1,5,5486.667,2013.333
"LOC100576540",2,9,0,14,16091.6675,6183.3325
"LOC100576543",0,3,0,0,1554,543
"LOC100576544",3,5,0,0,5202.6664,1901.3336
"LOC100576547",2,16,1,10,37845,14877
"LOC100576552",3,15,7,11,58824,23580
"LOC100576554",3,3,0,0,6180,1938
"LOC100576555",4,4,0,0,4138.6664,1693.3336
"LOC100576557",7,10,10,12,50375.0013,16548.9987
"LOC100576559",3,1,0,0,1392,456
"LOC100576562",3,4,2,5,10168.6662,3313.3338
"LOC100576563",2,11,1,4,27725.9994,9858.0006
"LOC100576565",3,3,0,0,3592.0002,1123.9998
"LOC100576568",9,11,0,9,40745,14326
"LOC100576569",11,27,30,59,520573,202565
"LOC100576571",1,1,0,0,836,274
"LOC100576572",12,5,1,0,23430.0006,5621.9994
"LOC100576576",0,4,2,9,5449.9995,2155.0005
"LOC100576584",10,5,0,0,17595,6390
"LOC100576586",1,4,0,0,8153.3335,2541.6665
"LOC100576590",13,3,0,1,13231.6661,4567.3339
"LOC100576591",7,11,6,11,64225,23975
"LOC100576592",10,3,3,0,12496,3584
"LOC100576600",0,1,0,0,1718.3333,537.6667
"LOC100576601",5,5,1,3,9613.3338,3028.6662
"LOC100576603",0,1,0,0,230.3333,117.6667
"LOC100576606",1,1,0,0,2023.3334,646.6666
"LOC100576608",1,3,0,0,2869.3332,898.6668
"LOC100576610",14,1,0,0,18040.0005,4774.9995
"LOC100576614",4,0,0,0,2372,760
"LOC100576615",4,7,0,1,14552.0004,5607.9996
"LOC100576617",2,2,3,0,3374,1540
"LOC100576618",0,3,0,1,828,264
"LOC100576619",0,1,0,0,611.3333,249.6667
"LOC100576620",0,2,0,1,1467.9999,629.0001
"LOC100576623",0,0,0,2,1304.6666,465.3334
"LOC100576625",10,13,0,0,63549,19113
"LOC100576626",0,2,0,0,488,214
"LOC100576629",0,0,2,2,1434.6668,605.3332
"LOC100576637",0,4,2,6,7724.0004,3111.9996
"LOC100576638",4,24,0,8,59627.9988,21480.0012
"LOC100576640",16,17,10,21,241941.3312,89834.6688
"LOC100576645",3,9,1,0,16653,5226
"LOC100576646",1,2,0,0,2079,783
"LOC100576647",1,1,1,0,2390.0001,831.9999
"LOC100576649",4,6,0,0,13753.333,4456.667
"LOC100576660",5,5,0,1,11399.6663,3516.3337
"LOC100576662",2,1,1,3,1948.3331,718.6669
"LOC100576663",8,6,0,0,10238.6662,3621.3338
"LOC100576666",8,16,3,10,79463.6679,32757.3321
"LOC100576667",1,4,0,0,6563.3335,2451.6665
"LOC100576669",1,2,0,0,2990.0001,897.9999
"LOC100576671",2,25,1,6,60350,27166
"LOC100576677",2,3,0,0,3456.6665,1163.3335
"LOC100576679",0,4,0,0,612,204
"LOC100576683",3,30,0,13,128401.3318,53896.6682
"LOC100576687",3,1,1,2,2025.3331,893.6669
"LOC100576688",0,0,0,1,440.6667,207.3333
"LOC100576690",4,2,11,4,7392,3255
"LOC100576697",1,0,1,0,678,276
"LOC100576702",1,1,0,8,3873.333,1556.667
"LOC100576703",3,13,11,13,77480,26080
"LOC100576706",3,1,0,0,3032,976
"LOC100576708",1,0,0,1,2592.6666,887.3334
"LOC100576709",1,45,5,14,324978.3355,130931.6645
"LOC100576717",3,1,0,0,12464,4216
"LOC100576718",2,4,0,1,3320.3331,1467.6669
"LOC100576719",0,8,0,1,6648.0003,2747.9997
"LOC100576721",0,4,0,1,2051.6665,723.3335
"LOC100576722",11,23,3,3,77160,24240
"LOC100576730",0,1,0,0,215.3333,75.6667
"LOC100576733",3,12,2,1,22991.9994,7680.0006
"LOC100576734",6,4,0,0,8100,2670
"LOC100576735",4,1,0,0,2611.6665,853.3335
"LOC100576736",1,0,0,1,553.3334,178.6666
"LOC100576737",1,0,0,0,524.6667,177.3333
"LOC100576738",0,7,0,1,7488,2904
"LOC100576740",2,14,7,3,32907.3342,13736.6658
"LOC100576741",2,1,0,0,716.0001,228.9999
"LOC100576742",7,17,0,2,38124.6658,12107.3342
"LOC100576744",3,6,0,1,8270,2890
"LOC100576745",5,5,0,0,6600,2520
"LOC100576746",0,9,1,6,16522.6672,7045.3328
"LOC100576747",7,13,2,1,113290.3341,37612.6659
"LOC100576748",0,1,0,0,285.6667,98.3333
"LOC100576750",3,1,1,2,1705.6669,667.3331
"LOC100576754",4,7,1,1,33843.3329,11279.6671
"LOC100576758",0,2,6,2,3386.667,1293.333
"LOC100576759",6,3,1,0,4566.667,1403.333
"LOC100576760",0,4,0,0,3637.3332,1294.6668
"LOC100576761",8,7,1,4,24586.666,7633.334
"LOC100576765",1,2,0,0,1353,375
"LOC100576767",1,1,0,0,452,172
"LOC100576768",2,4,0,1,9244.6669,3145.3331
"LOC100576770",1,1,0,0,1341.3334,440.6666
"LOC100576773",8,9,0,0,18722.6661,6522.3339
"LOC100576774",3,4,0,0,8885.3331,2832.6669
"LOC100576775",13,5,0,0,33258.0006,10049.9994
"LOC100576779",1,5,0,2,7069.3336,2482.6664
"LOC100576781",5,7,0,1,8853,2808
"LOC100576783",1,6,3,8,16176.0006,5099.9994
"LOC100576784",0,2,0,0,937.3334,316.6666
"LOC100576789",2,0,0,0,1954,692
"LOC100576795",0,4,0,0,2902.6668,1033.3332
"LOC100576796",0,8,1,2,3329.3337,1158.6663
"LOC100576797",8,4,1,2,12664.9995,3850.0005
"LOC100576799",3,9,0,2,35214.6662,13043.3338
"LOC100576801",2,5,0,0,5427.3331,1796.6669
"LOC100576803",2,0,1,1,1436,544
"LOC100576805",2,5,0,4,9599.3337,4293.6663
"LOC100576811",0,6,0,2,3016,1256
"LOC100576812",0,3,0,0,3519,1053
"LOC100576814",0,7,2,3,8948.0004,3255.9996
"LOC100576816",5,5,0,4,13500.6662,4223.3338
"LOC100576818",0,2,0,0,1178,418
"LOC100576819",3,7,2,0,7752,2364
"LOC100576820",3,6,1,0,7650,2730
"LOC100576826",0,8,0,0,5056,2048
"LOC100576828",3,6,0,1,10973.333,3246.667
"LOC100576829",0,4,0,0,7733.3332,3210.6668
"LOC100576830",2,0,0,0,523.3334,232.6666
"LOC100576831",1,0,0,0,649.3333,232.6667
"LOC100576834",0,0,0,1,321.3333,122.6667
"LOC100576836",1,2,2,1,3331.9998,916.0002
"LOC100576838",2,0,2,2,2023.9998,748.0002
"LOC100576839",8,15,10,22,98596.6685,35218.3315
"LOC100576840",0,1,0,0,243.3333,86.6667
"LOC100576841",0,2,3,4,3447,1305
"LOC100576843",0,1,0,0,1007,340
"LOC100576847",1,2,0,0,989.0001,252.9999
"LOC100576848",4,8,0,1,17303,5668
"LOC100576849",0,1,0,3,1158.6668,413.3332
"LOC100576850",0,3,0,0,2468.0001,906.9999
"LOC100576855",8,10,0,3,27747.9993,8918.0007
"LOC100576859",5,4,0,0,7245,2340
"LOC100576862",0,2,0,0,2983.3334,868.6666
"LOC100576863",1,1,0,0,2110.6666,661.3334
"LOC100576864",7,7,3,0,40596,14229
"LOC100576866",4,11,0,1,19237.3328,7258.6672
"LOC100576871",2,5,0,0,12371.3331,4281.6669
"LOC100576872",2,3,0,0,5360,1750
"LOC100576876",8,8,3,1,54600,20400
"LOC100576879",2,9,0,3,47861.3338,17616.6662
"LOC100576881",14,9,1,2,29016,9594
"LOC100576882",14,12,6,4,99731.9988,41748.0012
"LOC100576885",9,6,0,0,27589.9995,8095.0005
"LOC100576886",1,1,0,0,755.3334,222.6666
"LOC100576891",2,4,0,1,3658.6669,1087.3331
"LOC100576894",2,6,0,1,8775,3591
"LOC100576895",2,1,9,4,12522.6672,5861.3328
"LOC100576896",3,4,0,1,3048,1560
"LOC100576898",0,2,0,0,716,220
"LOC100576901",5,15,2,13,55591.6655,20428.3345
"LOC100576902",3,15,6,13,45349.6679,17587.3321
"LOC100576903",0,7,1,1,6630.0003,2576.9997
"LOC100576908",1,9,0,1,23756.3337,9012.6663
"LOC100576912",1,3,0,2,5572.0002,2437.9998
"LOC100576914",5,9,0,1,13750.0005,4564.9995
"LOC100576915",13,8,0,2,36631.3341,11185.6659
"LOC100576916",0,7,0,0,2501.3331,1005.6669
"LOC100576919",13,19,0,0,90282.6656,32789.3344
"LOC100576924",1,6,0,2,10782,4014
"LOC100576930",2,2,0,0,1678.6668,613.3332
"LOC100576932",0,3,0,0,1272.9999,410.0001
"LOC100576934",2,4,3,5,15096.6662,5483.3338
