gene,isoform,Trepl,Tsil
LOC552597,rna26674,213.3333,74.6667
LOC552654,rna3489,599.0000,232.0000
LOC552744,rna20537,1414.0000,551.0000
LOC102655141,rna18754,712.0000,263.0000
LOC726167,rna16430,418.3333,154.6667
LOC408275,rna18565,1377.6667,569.3333
LOC726591,rna2975,1397.0000,487.0000
LOC100577196,rna16800,1620.3333,650.6667
LOC413638,rna7669,1742.3333,672.6667
LOC551168,rna6826,4822.0000,1838.0000
LOC724685,rna20515,1177.0000,455.0000
LOC409083,rna12775,1900.6667,652.3333
LOC411520,rna24193,591.0000,213.0000
LOC409108,rna21505,4481.3333,2055.6667
TpnT,rna10775,910.6667,265.3333
LOC102654890,rna23779,1179.3333,359.6667
LOC413574,rna2956,1816.0000,758.0000
LOC726497,rna10162,4427.3333,1608.6667
LOC408621,rna523,505.6667,166.3333
LOC724353,rna12955,784.0000,227.0000
LOC100578602,rna11215,2095.0000,683.0000
LOC412513,rna26625,1350.0000,444.0000
LOC724125,rna25963,524.0000,160.0000
LOC725111,rna23064,1689.3333,599.6667
LOC724555,rna5347,433.0000,167.0000
LOC107964431,rna10365,255.0000,117.0000
LOC408332,rna20767,3983.0000,1378.0000
LOC102654001,rna22347,322.3333,136.6667
LOC551610,rna17763,1081.0000,305.0000
LOC410007,rna6601,1118.0000,430.0000
LOC102653960,rna13412,378.3333,101.6667
LOC552312,rna26012,1625.6667,576.3333
LOC411466,rna24625,11863.3333,4072.6667
LOC726685,rna489,1175.3333,327.6667
LOC100576618,rna1049,207.0000,66.0000
LOC726792,rna24696,1297.3333,409.6667
LOC102655476,rna16659,964.3333,535.6667
LOC100578888,rna6698,2777.6667,912.3333
LOC408934,rna13196,1235.6667,444.3333
LOC410632,rna24992,1324.3333,451.6667
LOC413592,rna28072,2597.6667,873.3333
LOC724571,rna14622,2481.6667,959.3333
LOC410076,rna5812,601.0000,215.0000
LOC412770,rna16217,959.6667,393.3333
LOC412886,rna25788,919.6667,328.3333
LOC107964141,rna6490,236.6667,102.3333
LOC727280,rna24290,217.6667,85.3333
LOC551633,rna3184,597.6667,209.3333
LOC409546,rna1665,592.3333,238.6667
LOC100576400,rna11224,596.3333,186.6667
LOC410191,rna18080,1319.0000,547.0000
LOC726492,rna23916,293.6667,105.3333
LOC726509,rna25035,556.3333,166.6667
LOC726812,rna3807,1263.0000,417.0000
LOC107964580,rna12111,605.0000,226.0000
LOC100578935,rna24412,459.6667,149.3333
LOC552288,rna26667,973.3333,337.6667
LOC409137,rna24872,3709.6667,1615.3333
LOC410121,rna24212,2045.6667,693.3333
Amih,rna13781,1751.6667,687.3333
LOC102653967,rna19376,394.3333,127.6667
LOC552527,rna7373,1703.3333,642.6667
LOC100576436,rna27522,1934.0000,535.0000
LOC551905,rna27289,491.3333,168.6667
LOC102655329,rna18245,546.0000,198.0000
LOC102655709,rna25158,615.3333,266.6667
LOC724188,rna6564,195.3333,89.6667
LOC724749,rna13275,2722.6667,955.3333
LOC412407,rna2967,1019.6667,330.3333
LOC552768,rna13910,1593.3333,488.6667
LOC408429,rna22706,3434.0000,1483.0000
Or170,rna13170,890.0000,304.0000
LOC408361,rna20028,710.0000,241.0000
LOC100576934,rna23469,1078.3333,391.6667
LOC725397,rna5450,760.0000,254.0000
LOC412623,rna23632,3004.0000,1145.0000
LOC726522,rna20993,945.6667,320.3333
LOC409089,rna14366,1186.3333,415.6667
LOC100576849,rna28829,289.6667,103.3333
LOC413473,rna12218,2262.6667,911.3333
LOC102655503,rna8843,5041.0000,1748.0000
LOC100577517,rna11291,6841.0000,2660.0000
LOC409647,rna19573,1480.0000,515.0000
LOC551273,rna3934,1113.6667,365.3333
LOC727390,rna1625,566.6667,210.3333
LOC551780,rna14295,1105.6667,430.3333
LOC550749,rna9015,1854.0000,666.0000
CPR16,rna24963,694.3333,289.6667
LOC725510,rna8659,909.6667,320.3333
LOC724922,rna8534,630.6667,212.3333
LOC411695,rna13647,517.6667,193.3333
LOC551578,rna9619,1591.6667,562.3333
LOC100577605,rna4758,653.3333,219.6667
LOC726433,rna21641,2675.0000,967.0000
LOC408877,rna11775,2272.3333,862.6667
LOC552486,rna9286,639.0000,228.0000
LOC411234,rna12658,1578.3333,620.6667
LOC102655922,rna21721,699.3333,275.6667
LOC409670,rna17398,1661.3333,669.6667
LOC412201,rna1589,390.0000,141.0000
LOC412180,rna21940,817.3333,292.6667
LOC102656781,rna28442,679.0000,296.0000
LOC724460,rna20460,2242.0000,941.0000
LOC107964971,rna16801,265.6667,88.3333
LOC100577026,rna12858,935.6667,330.3333
LOC411147,rna11929,2036.6667,777.3333
LOC408567,rna129,943.6667,310.3333
LOC413313,rna6417,531.6667,194.3333
LOC551839,rna24842,389.0000,112.0000
LOC409401,rna1947,643.3333,265.6667
LOC102654542,rna10485,1087.0000,371.0000
LOC107964494,rna9690,550.6667,196.3333
LOC725840,rna27531,908.0000,340.0000
LOC552680,rna27581,1221.6667,266.3333
LOC725380,rna25331,172.6667,58.3333
LOC724718,rna16044,2498.3333,858.6667
LOC551184,rna15072,1992.6667,686.3333
LOC102655764,rna25901,329.6667,111.3333
LOC413688,rna23216,1124.6667,393.3333
LOC726955,rna18824,569.0000,190.0000
LOC408653,rna5531,3034.6667,1129.3333
LOC551677,rna21343,1295.3333,474.6667
LOC552093,rna6617,626.3333,189.6667
LOC724432,rna9463,530.0000,166.0000
LOC100577308,rna18358,1399.3333,505.6667
LOC100577593,rna2349,843.3333,287.6667
LOC551078,rna25941,451.6667,154.3333
LOC725856,rna22771,463.6667,160.3333
LOC725669,rna13947,609.3333,188.6667
LOC102655299,rna19900,282.0000,114.0000
LOC725934,rna10231,1323.0000,471.0000
LOC411674,rna15060,1799.3333,735.6667
LOC726759,rna22632,2579.0000,979.0000
LOC410239,rna17620,2651.0000,826.0000
LOC413550,rna22866,1340.6667,549.3333
LOC100576968,rna14100,1217.3333,438.6667
LOC552198,rna9878,1006.0000,365.0000
LOC408981,rna16791,583.3333,226.6667
LOC552160,rna28852,544.0000,200.0000
LOC408295,rna18423,2146.6667,841.3333
LOC552067,rna1756,437.3333,153.6667
LOC409933,rna13198,1359.3333,560.6667
LOC102654684,rna28361,444.3333,140.6667
LOC410001,rna17791,5481.3333,2351.6667
LOC411742,rna24900,666.0000,228.0000
LOC551963,rna21322,809.6667,270.3333
LOC726252,rna6750,7486.0000,2588.0000
LOC551374,rna26764,970.0000,311.0000
LOC551176,rna10496,831.3333,299.6667
LOC100577957,rna1819,233.3333,99.6667
LOC408836,rna9724,1555.6667,586.3333
LOC409968,rna6499,2741.6667,1002.3333
LOC102655924,rna18096,257.3333,102.6667
LOC412363,rna17772,429.3333,152.6667
LOC724382,rna7358,540.0000,159.0000
LOC408650,rna5524,671.6667,216.3333
LOC102654286,rna17321,2097.6667,686.3333
LOC552403,rna16330,299.3333,96.6667
LOC727307,rna28715,609.0000,246.0000
LOC411276,rna15007,1385.0000,439.0000
LOC100576571,rna4493,418.0000,137.0000
LOC408920,rna8652,1354.0000,527.0000
LOC410915,rna7199,558.6667,236.3333
LOC102654742,rna28478,860.0000,310.0000
LOC100576184,rna24475,342.0000,120.0000
LOC725898,rna9701,928.6667,277.3333
LOC107966030,rna29164,469.3333,181.6667
LOC107966035,rna29208,257.3333,102.6667
LOC100578662,rna26178,665.3333,276.6667
LOC552413,rna9648,823.3333,325.6667
LOC102653604,rna22345,3985.6667,1483.3333
LOC413109,rna19752,2143.3333,784.6667
LOC100578836,rna27493,1532.6667,462.3333
LOC551588,rna18354,663.0000,240.0000
LOC410355,rna21251,789.0000,273.0000
LOC551683,rna20174,1414.0000,575.0000
LOC724267,rna16287,599.6667,168.3333
LOC410969,rna5741,514.0000,197.0000
LOC100576895,rna12034,782.6667,366.3333
LOC551123,rna4297,688.3333,280.6667
LOC724479,rna17047,252.6667,86.3333
DHRS4,rna17658,589.0000,230.0000
LOC413078,rna25945,834.6667,272.3333
LOC724155,rna20845,398.3333,138.6667
LOC100577919,rna12133,1972.3333,634.6667
LOC408316,rna20328,5142.3333,1793.6667
LOC726347,rna138,2626.3333,940.6667
Fibroin4,rna21354,721.3333,307.6667
LOC727026,rna24519,158.0000,46.0000
LOC551736,rna19584,2900.0000,1117.0000
LOC727084,rna28826,227.0000,64.0000
LOC725529,rna27639,796.0000,269.0000
LOC107965792,rna2558,223.3333,91.6667
LOC102655631,rna21516,905.0000,349.0000
LOC409946,rna12287,784.3333,262.6667
LOC408728,rna7185,461.6667,189.3333
LOC100577816,rna28213,3315.3333,1103.6667
Or13,rna4592,865.3333,307.6667
LOC409722,rna14821,11298.3333,3917.6667
LOC725419,rna869,898.6667,367.3333
LOC413924,rna18029,795.0000,273.0000
LOC107964579,rna12109,648.0000,222.0000
LOC726260,rna9550,711.0000,264.0000
LOC102656494,rna9001,288.0000,114.0000
LOC100576471,rna14481,660.6667,308.3333
LOC102653876,rna19157,282.3333,116.6667
LOC409249,rna16171,4252.6667,1051.3333
LOC408278,rna18537,1089.0000,495.0000
LOC414009,rna14371,1418.0000,499.0000
LOC551193,rna12773,1163.0000,448.0000
LOC552386,rna16045,620.3333,210.6667
LOC552481,rna26229,268.0000,107.0000
LOC726969,rna27654,601.0000,188.0000
LOC413670,rna2258,1116.0000,435.0000
LOC413340,rna14202,954.3333,293.6667
LOC551788,rna11170,1078.3333,361.6667
LOC410183,rna18605,3585.0000,1323.0000
LOC412150,rna15107,1784.6667,612.3333
LOC408577,rna2687,2699.3333,1071.6667
LOC727335,rna24275,1316.6667,510.3333
LOC551715,rna7283,649.0000,224.0000
LOC100576768,rna6142,1320.6667,449.3333
LOC726027,rna14571,539.6667,192.3333
LOC551687,rna5548,1204.0000,428.0000
LOC551947,rna26553,7388.3333,2682.6667
LOC410201,rna18239,2332.0000,854.0000
LOC727322,rna28542,602.0000,220.0000
LOC100577915,rna15295,215.3333,48.6667
LOC726781,rna20403,359.6667,129.3333
LOC409271,rna12188,4918.3333,1828.6667
LOC551410,rna21653,764.0000,271.0000
LOC102654619,rna28951,649.6667,235.3333
LOC410791,rna3255,672.3333,275.6667
LOC102654906,rna27865,609.6667,200.3333
LOC100577833,rna2298,507.3333,188.6667
LOC412641,rna9958,1418.3333,450.6667
LOC107964520,rna8924,274.3333,100.6667
LOC409294,rna18490,304.3333,118.6667
LOC100578838,rna28927,180.3333,68.6667
LOC107964026,rna28065,510.0000,165.0000
LOC102655449,rna22972,350.3333,141.6667
LOC726034,rna2921,1162.6667,370.3333
LOC724417,rna18486,3405.6667,1328.3333
LOC552052,rna715,784.6667,217.3333
LOC726769,rna28805,675.6667,257.3333
Cpap3-c,rna7100,606.0000,204.0000
LOC411219,rna13388,1863.3333,842.6667
LOC552845,rna25498,1630.3333,586.6667
LOC725683,rna1460,1389.3333,563.6667
LOC102656796,rna18998,601.3333,169.6667
LOC411889,rna19019,1108.3333,376.6667
LOC107964398,rna9609,290.3333,108.6667
ecd,rna3657,1448.6667,486.3333
LOC725570,rna11071,550.6667,232.3333
LOC412540,rna27879,1309.0000,482.0000
LOC725612,rna17668,2145.0000,789.0000
LOC411893,rna6591,990.0000,366.0000
LOC409315,rna18180,915.6667,338.3333
LOC726929,rna21312,497.0000,208.0000
LOC100577590,rna4575,917.0000,307.0000
LOC408967,rna15156,1551.3333,587.6667
LOC102653609,rna10954,629.0000,262.0000
LOC413018,rna2663,2367.6667,821.3333
LOC100576182,rna14569,568.3333,250.6667
LOC724263,rna12952,359.0000,127.0000
LOC725557,rna16643,361.3333,112.6667
LOC100577174,rna6170,3186.6667,1208.3333
LOC726733,rna7592,178.3333,58.6667
LOC408516,rna25769,469.6667,172.3333
LOC410216,rna18460,752.6667,243.3333
LOC724638,rna3150,139.3333,55.6667
LOC413531,rna26244,1690.3333,544.6667
LOC725170,rna9338,187.3333,64.6667
LOC410860,rna4735,912.6667,365.3333
LOC726466,rna24682,370.6667,139.3333
LOC102654860,rna11583,312.6667,149.3333
LOC107964478,rna10452,241.6667,76.3333
LOC724784,rna11651,591.3333,173.6667
LOC409417,rna972,1519.3333,568.6667
LOC107963985,rna22660,692.3333,246.6667
LOC725675,rna17578,602.6667,186.3333
LOC100577651,rna18807,456.3333,152.6667
LOC102653879,rna23814,555.3333,161.6667
LOC411892,rna9178,971.6667,351.3333
Or105,rna19809,791.0000,256.0000
LOC102656771,rna29108,398.0000,127.0000
LOC408788,rna8521,1213.6667,421.3333
LOC102656403,rna27098,355.3333,127.6667
LOC107965864,rna28454,206.0000,82.0000
LOC552816,rna25583,726.6667,248.3333
LOC100577050,rna23785,1382.0000,481.0000
LOC552128,rna2968,810.6667,314.3333
tra2,rna19709,558.3333,299.6667
LOC724982,rna11345,418.0000,146.0000
LOC107965929,rna28697,298.6667,133.3333
LOC406093,rna12050,164.0000,73.0000
LOC412774,rna25130,2997.6667,1205.3333
LOC100577231,rna9422,2233.0000,944.0000
LOC100577363,rna15727,757.0000,251.0000
LOC102655385,rna28882,407.3333,141.6667
LOC552053,rna24898,464.6667,159.3333
LOC724779,rna6784,1414.0000,602.0000
LOC552173,rna16429,1907.0000,643.0000
LOC102653615,rna27410,763.6667,274.3333
LOC100577885,rna6280,971.6667,306.3333
LOC725459,rna3115,452.6667,168.3333
LOC102655316,rna26387,225.6667,83.3333
LOC551171,rna6424,340.0000,128.0000
LOC408329,rna20791,1514.0000,628.0000
LOC409859,rna2045,1590.6667,584.3333
LOC551157,rna2578,475.3333,169.6667
LOC410103,rna22433,489.0000,165.0000
LOC409002,rna16593,379.3333,145.6667
LOC411200,rna13454,1188.3333,437.6667
LOC408371,rna21249,1206.6667,452.3333
LOC100578423,rna23025,789.6667,347.3333
LOC726080,rna7626,3458.0000,1087.0000
LOC552243,rna2391,2097.3333,908.6667
LOC100578255,rna2325,2515.0000,806.0000
LOC412263,rna3682,2145.3333,767.6667
LOC411288,rna15491,1555.3333,625.6667
LOC727593,rna19699,1166.0000,406.0000
LOC410184,rna18594,1126.0000,413.0000
LOC409379,rna21938,590.0000,235.0000
LOC552443,rna23325,585.3333,239.6667
LOC410107,rna13966,1081.6667,433.3333
LOC102653658,rna526,448.3333,160.6667
LOC107965344,rna21382,310.6667,124.3333
LOC550857,rna23581,467.0000,169.0000
LOC552377,rna22615,947.0000,346.0000
LOC724430,rna8276,1225.6667,463.3333
LOC409425,rna11050,1568.0000,574.0000
LOC102654736,rna8217,846.0000,273.0000
LOC725089,rna4361,524.6667,225.3333
LOC412531,rna9875,1175.3333,459.6667
LOC552146,rna22479,1283.6667,543.3333
LOC102655054,rna22823,1407.3333,503.6667
LOC100577423,rna18351,843.6667,278.3333
LOC552263,rna14023,692.0000,241.0000
LOC409569,rna18879,974.6667,339.3333
LOC409333,rna10278,627.0000,237.0000
LOC551626,rna23134,1123.3333,370.6667
LOC552234,rna5618,577.3333,235.6667
LOC413409,rna27074,1484.0000,562.0000
LOC410674,rna3130,980.3333,366.6667
LOC551561,rna23972,1272.3333,398.6667
LOC412205,rna25961,616.0000,209.0000
LOC409831,rna22014,486.0000,147.0000
LOC102653979,rna28250,769.3333,262.6667
LOC727074,rna714,394.6667,145.3333
LOC102654035,rna29030,656.3333,240.6667
LOC551545,rna14355,1084.6667,358.3333
LOC102655006,rna28687,547.0000,185.0000
LOC727049,rna27996,204.6667,80.3333
LOC726671,rna7604,2439.6667,1097.3333
LOC413877,rna12276,365.6667,135.3333
LOC100576497,rna13528,1438.0000,572.0000
LOC726431,rna3481,1052.3333,363.6667
LOC409406,rna6845,298.0000,95.0000
LOC100578121,rna21860,708.6667,239.3333
LOC552225,rna17497,1420.6667,451.3333
LOC410730,rna1444,837.6667,299.3333
LOC102654224,rna1077,306.0000,108.0000
LOC412862,rna21697,1130.0000,412.0000
LOC409816,rna25412,340.0000,113.0000
LOC100577209,rna25797,655.3333,202.6667
LOC412616,rna7122,634.0000,245.0000
LOC408512,rna25673,1838.6667,657.3333
LOC551320,rna3402,1561.6667,637.3333
LOC410217,rna18462,2662.3333,946.6667
LOC411833,rna16267,935.0000,280.0000
LOC408563,rna27011,3101.0000,1120.0000
LOC409839,rna20594,2439.3333,920.6667
LOC551595,rna4984,1349.3333,312.6667
LOC412529,rna26748,1298.0000,490.0000
LOC724931,rna13895,678.6667,227.3333
LOC725370,rna15022,266.3333,93.6667
LOC724294,rna24236,2663.3333,846.6667
LOC412313,rna23527,1194.0000,498.0000
LOC724330,rna1912,776.3333,282.6667
LOC100576841,rna12885,383.0000,145.0000
LOC100577803,rna10257,501.3333,152.6667
LOC409448,rna11023,882.0000,390.0000
LOC107964982,rna16892,1025.3333,336.6667
LOC725928,rna26535,4084.0000,1646.0000
LOC726696,rna22251,339.6667,146.3333
LOC413089,rna6805,1121.3333,441.6667
LOC408589,rna2088,535.0000,158.0000
LOC107964399,rna9657,213.3333,83.6667
LOC100576915,rna18270,1592.6667,486.3333
LOC409255,rna6597,2334.3333,965.6667
LOC552832,rna20699,659.3333,219.6667
LOC100577110,rna14486,906.3333,356.6667
LOC411126,rna10664,907.3333,349.6667
LOC409396,rna19928,1092.3333,425.6667
LOC727502,rna19427,947.6667,369.3333
LOC726363,rna13426,919.3333,277.6667
nAChRa8,rna9113,1026.6667,380.3333
LOC102655654,rna332,1184.3333,414.6667
LOC409111,rna28031,1393.6667,532.3333
LOC414012,rna13427,1593.3333,593.6667
LOC725197,rna21396,1404.6667,440.3333
LOC412419,rna5910,1013.6667,357.3333
LOC724553,rna4316,1104.6667,383.3333
LOC552170,rna21415,720.6667,323.3333
LOC726444,rna27932,317.6667,99.3333
LOC411907,rna7555,1464.6667,593.3333
LOC724827,rna26067,274.6667,91.3333
LOC100578653,rna1470,1339.3333,427.6667
LOC551353,rna27986,695.6667,249.3333
LOC102655547,rna28976,329.0000,142.0000
LOC411202,rna8679,733.6667,232.3333
LOC413145,rna20659,624.0000,234.0000
ATP6,gene14065,497.3333,183.6667
LOC412320,rna23732,849.6667,290.3333
LOC724604,rna8208,5680.6667,1930.3333
LOC107966007,rna29059,389.6667,147.3333
LOC411214,rna13241,732.3333,305.6667
LOC107965128,rna17343,300.6667,119.3333
LOC410889,rna4204,508.3333,190.6667
LOC102655932,rna13579,387.3333,146.6667
LOC551684,rna23673,491.6667,162.3333
LOC102656809,rna16499,1044.0000,366.0000
LOC100577047,rna6376,1954.0000,740.0000
LOC552472,rna12253,875.6667,279.3333
LOC724672,rna13429,1420.6667,496.3333
LOC412661,rna28092,731.3333,315.6667
LOC412306,rna17652,1332.3333,530.6667
LOC107965880,rna28536,638.0000,223.0000
LOC102654699,rna3147,273.0000,120.0000
LOC102654309,rna5422,378.0000,117.0000
LOC411760,rna8694,2230.6667,835.3333
LOC409257,rna22162,851.6667,309.3333
LOC102654184,rna21350,1271.3333,465.6667
LOC102656799,rna26499,242.6667,102.3333
LOC102653886,rna28841,671.0000,235.0000
LOC551043,rna5731,1190.3333,453.6667
LOC100577346,rna12308,1205.3333,381.6667
LOC409559,rna8360,1205.3333,450.6667
LOC412158,rna8703,1082.3333,417.6667
LOC725866,rna9702,614.0000,202.0000
LOC724715,rna27250,266.3333,105.6667
LOC100578392,rna27287,470.0000,181.0000
LOC412728,rna15554,1204.0000,416.0000
LOC100578289,rna12458,786.6667,263.3333
LOC413464,rna17270,1148.3333,417.6667
LOC551999,rna27738,1862.6667,675.3333
LOC413168,rna12933,703.6667,292.3333
LOC409064,rna14695,484.6667,178.3333
LOC409269,rna25237,440.0000,136.0000
Y-e3,rna19176,931.6667,343.3333
LOC551642,rna16410,1501.6667,523.3333
LOC411435,rna14819,758.3333,273.6667
LOC102654885,rna28481,460.0000,146.0000
LOC726190,rna14589,1622.3333,708.6667
LOC102656230,rna9076,229.0000,83.0000
LOC412546,rna729,2272.6667,736.3333
LOC552353,rna18441,854.0000,331.0000
LOC724156,rna22478,711.0000,258.0000
LOC107964801,rna15467,230.6667,84.3333
LOC724320,rna15598,247.3333,76.6667
LOC102654083,rna19473,1824.3333,518.6667
LOC551983,rna13943,701.0000,217.0000
LOC725147,rna9585,128.3333,42.6667
LOC726638,rna16481,884.3333,294.6667
LOC413069,rna1058,1758.6667,665.3333
LOC413667,rna19835,1071.6667,413.3333
LOC412749,rna17591,1633.0000,602.0000
LOC724651,rna6780,1255.6667,586.3333
LOC100577938,rna4578,910.0000,326.0000
LOC100577082,rna1174,1447.6667,532.3333
LOC102656143,rna25184,385.3333,142.6667
LOC107964172,rna6163,643.0000,278.0000
LOC100578004,rna20948,252.3333,95.6667
LOC100578810,rna9322,1070.6667,456.3333
LOC102655553,rna4599,864.3333,326.6667
LOC552303,rna20195,891.0000,354.0000
TpnI,rna5199,1044.3333,413.6667
LOC409620,rna239,2503.3333,1081.6667
LOC412961,rna16180,1655.3333,645.6667
LOC408918,rna8665,228.6667,80.3333
LOC100576908,rna10723,2159.6667,819.3333
LOC413594,rna22911,876.6667,326.3333
LOC411003,rna8537,1772.3333,609.6667
LOC100578513,rna488,1359.6667,431.3333
LOC412277,rna19920,986.6667,327.3333
LOC725963,rna10329,601.3333,199.6667
LOC550799,rna24009,381.6667,149.3333
LOC725854,rna18163,934.6667,286.3333
LOC107963999,rna25543,861.0000,321.0000
LOC551433,rna27486,2562.0000,927.0000
LOC100577913,rna21689,791.0000,289.0000
LOC100577139,rna5049,2934.3333,1337.6667
LOC551321,rna511,709.0000,233.0000
LOC551556,rna909,812.6667,288.3333
LOC727405,rna19728,3698.3333,1080.6667
Dnmt1a,rna18740,2506.0000,812.0000
LOC411452,rna4011,1457.0000,664.0000
LOC414004,rna1913,2404.6667,892.3333
LOC724673,rna27340,846.3333,302.6667
LOC726613,rna22664,352.6667,100.3333
LOC413973,rna24632,1038.0000,381.0000
LOC100578611,rna4359,1728.0000,702.0000
LOC100578860,rna16591,458.0000,169.0000
LOC409017,rna16466,1746.6667,608.3333
LOC551801,rna4438,3377.6667,1290.3333
LOC107965105,rna17136,249.0000,120.0000
LOC552274,rna3505,692.6667,327.3333
LOC411691,rna17677,739.3333,250.6667
LOC411298,rna16821,1126.6667,454.3333
LOC551386,rna3023,850.0000,332.0000
LOC100576174,rna4013,351.0000,117.0000
LOC725670,rna14272,1573.0000,497.0000
LOC724616,rna16588,1829.0000,637.0000
LOC100577493,rna17919,1328.6667,474.3333
LOC725479,rna10902,10077.0000,3651.0000
LOC102654685,rna3754,563.6667,180.3333
LOC107965920,rna28672,408.6667,149.3333
LOC100578659,rna12487,320.6667,132.3333
LOC411607,rna26957,330.6667,101.3333
LOC102656262,rna957,510.3333,191.6667
LOC551871,rna27050,1756.0000,686.0000
LOC725536,rna17673,247.3333,91.6667
LOC411419,rna10282,1516.3333,610.6667
LOC411103,rna10133,951.6667,362.3333
LOC102656700,rna28739,535.3333,193.6667
LOC102656322,rna29000,392.6667,153.3333
LOC550734,rna23639,647.0000,217.0000
