Gene	dN_dS
LOC105833482	0.2580
LOC105835430	0.1290
LOC105833244	0.1310
LOC105833207	0.0689
LOC105840458	0.0551
LOC105835969	0.0883
LOC105832252	0.1824
LOC105831235	0.2080
LOC105838236	0.1472
LOC105835065	0.1054
LOC105832939	0.1004
LOC105834565	0.0954
LOC105830630	0.1997
LOC105834060	0.1709
LOC105839451	0.2105
LOC105828390	0.1379
LOC105830393	0.4794
LOC105830816	0.0271
LOC105834745	0.0941
LOC105831231	0.1302
LOC105838381	0.0781
LOC105829050	0.0143
LOC105836361	0.1534
LOC105828808	0.0791
LOC105835278	0.1835
LOC105828865	0.2117
LOC105833106	0.0772
LOC105833553	0.1374
LOC105831583	0.2201
LOC105828220	0.0878
LOC105831466	0.0758
LOC105835882	0.0864
LOC105835116	0.0550
LOC105831994	0.1568
LOC105832182	0.0373
LOC105833546	0.1128
LOC105829026	0.0180
LOC105840139	0.0104
LOC105832342	0.1688
LOC105831019	0.0957
LOC105834709	0.1690
LOC105830437	0.1423
LOC105836964	0.0934
LOC105835346	0.1161
LOC105829325	0.1244
LOC105837704	0.0445
LOC105831010	0.0882
LOC105830730	0.0836
LOC105836974	0.1763
LOC105839476	0.2492
LOC105836572	0.2120
LOC105839152	0.2015
LOC105832048	0.1215
LOC105831914	0.0329
LOC105833710	0.0420
LOC105833796	0.0731
LOC105836632	0.0791
LOC105836040	0.0601
LOC105831066	0.0786
LOC105838976	0.0478
LOC105830764	0.0635
LOC105830405	0.0878
LOC105835607	0.2257
LOC105838757	0.0695
LOC105840342	0.0751
LOC105835362	0.0686
LOC105835633	0.0883
LOC105829957	0.1192
LOC105833479	0.1338
LOC105830841	0.1360
LOC105829108	0.0269
LOC105829573	0.2318
LOC105829568	0.1503
LOC105836348	0.1707
LOC105828262	0.1055
LOC105830200	0.1075
LOC105831946	0.1159
LOC105829043	0.0307
LOC105839708	0.0196
LOC105837293	0.1481
LOC105835695	0.0910
LOC105838843	0.1420
LOC105830093	0.1584
LOC105829239	0.4345
LOC105832515	0.0188
LOC105833845	0.0344
LOC105829945	0.0421
LOC105836206	0.1613
LOC105840781	0.2481
LOC105839967	0.1109
LOC105835333	0.0789
LOC105833005	0.0470
LOC105839950	0.1166
LOC105828972	0.1377
LOC105829540	0.3329
LOC105827818	0.2789
LOC105836853	0.0860
LOC105835667	0.0532
LOC105839913	0.2064
LOC105834899	0.1446
LOC105837400	0.1245
LOC105828413	0.2896
LOC105837893	0.1004
LOC105836463	0.1109
LOC105834768	0.0847
LOC105834311	0.2357
LOC105834210	0.1591
LOC105838706	0.0440
LOC105833708	0.1452
LOC105828948	0.1897
LOC105834226	0.0901
LOC105830513	0.2321
LOC105836041	0.1887
LOC105838818	0.1360
LOC105839378	0.1780
LOC105836680	0.2077
LOC105834397	0.1485
LOC105839260	0.0774
LOC105835383	0.0462
LOC105834595	0.1479
LOC105836695	0.2194
LOC105832480	0.1115
LOC105833396	0.0571
LOC105835918	0.1330
LOC105830554	0.1330
LOC105830946	0.2282
LOC105838046	0.0923
LOC105828356	0.1320
LOC105837756	0.1410
LOC105832545	0.1604
LOC105836282	0.0826
LOC105838698	0.1347
LOC105835944	0.1759
LOC105835536	0.0590
LOC105840136	0.0379
LOC105838439	0.2345
LOC105835570	0.2232
LOC105837533	0.0825
LOC105837999	0.2943
LOC105836159	0.2740
LOC105836160	0.2692
LOC105840127	0.2045
LOC105836567	0.0473
LOC105835473	0.0062
LOC105834066	0.1421
LOC105839100	0.1604
LOC105830400	0.0789
LOC105837933	0.0953
LOC105839535	0.1026
LOC105836029	0.0845
LOC105828959	0.1120
LOC105835455	0.0477
LOC105833637	0.0691
LOC105832664	0.0840
LOC105839658	0.0996
LOC105831985	0.1801
LOC105831214	0.0928
LOC105838148	0.0355
LOC105840591	0.0678
LOC105829031	0.1062
LOC105837428	0.2067
LOC105830170	0.0721
LOC105839079	0.1220
LOC105835207	0.0612
LOC105839675	0.1372
LOC105835337	0.0778
LOC105834056	0.2290
LOC105833423	0.0284
LOC105829220	0.0435
LOC105836129	0.1442
LOC105840233	0.0175
LOC105835365	0.1193
LOC105838235	0.1852
LOC105837420	0.2033
LOC105833266	0.1894
LOC105830831	0.1500
LOC105838449	0.3093
LOC105829458	0.1102
LOC105837521	0.0692
LOC105832886	0.3595
LOC105841079	0.2218
LOC105840693	0.1007
LOC105830631	0.2131
LOC105839447	0.0942
LOC105839302	0.0740
LOC105828825	0.0761
LOC105831140	0.0468
LOC105833582	0.2416
LOC105829589	0.0218
LOC105831934	0.0521
LOC105838586	0.2358
LOC105838147	0.1935
LOC105838939	0.0558
LOC105836480	0.1373
LOC105839304	0.0601
LOC105840301	0.0691
LOC105838462	0.1359
LOC105829955	0.0623
LOC105830703	0.4228
LOC105834235	0.1022
LOC105828923	0.0757
LOC105836841	0.3041
LOC105831932	0.3965
LOC105836281	0.3538
LOC105841151	0.2271
LOC105831049	0.1926
LOC105831722	0.1259
LOC105835322	0.1454
LOC105829574	0.0485
LOC105839903	0.2448
LOC105834981	0.1404
LOC105838099	0.2149
LOC105839661	0.3522
LOC105841056	0.0509
LOC105831470	0.0598
LOC105838888	0.1221
LOC105837259	0.1970
LOC105835637	0.0138
LOC105835475	0.1672
LOC105831528	0.0361
LOC105831268	0.2250
LOC105837622	0.0363
LOC105834225	0.2299
LOC105837120	0.2401
LOC105839230	0.2834
LOC105833412	0.0810
LOC105834612	0.0204
LOC105837459	0.4536
LOC105836898	0.1382
LOC105827829	0.0853
LOC105837233	0.1799
LOC105837828	0.1806
LOC105836617	0.1141
LOC105834122	0.0942
LOC105841149	0.2803
LOC105834888	0.0609
LOC105829010	0.0132
LOC105839112	0.1699
LOC105832917	0.2689
LOC105834782	0.2652
LOC105829445	0.4213
LOC105828155	0.1947
LOC105836028	0.0849
LOC105833198	0.0659
LOC105831593	0.0192
LOC105837067	0.0251
LOC105839889	0.2961
LOC105835451	0.0998
LOC105834742	0.0870
LOC105839462	0.0619
LOC105835849	0.1166
LOC105834756	0.0826
LOC105839437	0.2121
LOC105838926	0.2635
LOC105830548	0.5132
LOC105834891	0.0896
LOC105830773	0.2767
LOC105839270	0.1240
LOC105838717	0.1202
LOC105831449	0.2255
LOC105832989	0.0101
LOC105838306	0.0769
LOC105828924	0.0484
LOC105828586	0.2368
LOC105833289	0.2246
LOC105838335	0.2710
LOC105833132	0.0917
LOC105830870	0.3358
LOC105833268	0.3239
LOC105832187	0.2773
LOC105829591	0.1827
LOC105839038	0.2298
LOC105836981	0.0384
LOC105839213	0.1380
LOC105829972	0.1047
LOC105835407	0.1381
LOC105837907	0.1484
LOC105837553	0.0630
LOC105833651	0.0863
LOC105828327	0.0263
LOC105829270	0.1972
LOC105836887	0.0773
LOC105834089	0.2082
LOC105839042	0.0344
LOC105829369	0.5735
LOC105832331	0.0690
LOC105831999	0.1374
LOC105836663	0.0466
LOC105838653	0.1287
LOC105838238	0.1627
LOC105833824	0.5220
LOC105832907	0.0381
LOC105839755	0.1020
LOC105831058	0.0901
LOC105830849	0.2571
LOC105835292	0.0332
LOC105835502	0.3603
LOC105832059	0.1486
LOC105840004	0.1160
LOC105838497	0.1601
LOC105833559	0.3881
LOC105835402	0.3674
LOC105835563	0.1931
LOC105838373	0.2264
LOC105831990	0.1571
LOC105837950	0.1963
LOC105840557	0.0121
LOC105830441	0.1875
LOC105828130	0.0463
LOC105832590	0.1147
LOC105840774	0.1552
LOC105839523	0.0234
LOC105839143	0.3780
LOC105832047	0.2921
LOC105828233	0.3973
LOC105835441	0.1908
LOC105837389	0.0838
LOC105829751	0.0655
LOC105832877	0.0772
LOC105829213	0.1568
LOC105827786	0.1255
LOC105833248	0.0318
LOC105836223	0.1419
LOC105838484	0.2285
LOC105832359	0.0433
LOC105832491	0.2754
LOC105836005	0.0665
LOC105830929	0.1719
LOC105838218	0.2867
LOC105840719	0.3592
LOC105838022	0.0874
LOC105830066	0.0265
LOC105829526	0.3723
LOC105834353	0.2408
LOC105833948	0.1313
LOC105835982	0.0866
LOC105832808	0.0269
LOC105838591	0.0437
LOC105831677	0.1232
LOC105833647	0.1810
LOC105830191	0.2342
LOC105833681	0.1184
LOC105836899	0.0580
LOC105831359	0.1350
LOC105834832	0.1509
LOC105828927	0.1018
LOC105831881	0.0468
LOC105839931	0.0966
LOC105839678	0.0793
LOC105833242	0.2087
LOC105828344	0.0358
LOC105835173	0.0580
LOC105834424	0.0919
LOC105829411	0.3761
