"Gene","pi"
"Est-6",0.00956937894736842
"Eth",0.113827294117647
"Ets97D-like",0.0666
"eve",0.0101010111111111
"Eyg",0.08712120625
"Fabp",0
"FAR1",0.00606060666666667
"Fem",0.1122211
"Fibroin1",0.0406926733333333
"Fibroin2",0.0495430333333333
"Fibroin3",0.004545455
"Fibroin4",0
"For",0.031342004
"Foxp",0.16666655
"Fstl5",0.0647010216216216
"Gat-1B",0.0151515166666667
"Gat-a",0.118548
"Gfat2",0
"GlnS",0.167388055555556
"GluCl",0.04545455
"Glurb",0.0839236181818182
"Gpdh",0
"Gr10",0
"Grd",0.0732600923076923
"Grp",0
"Gstcd",0.0139860153846154
"GstD1",0.1423159
"GstS1",0
"GstS4",0
"Gtpx1",0.085137
"Gycbeta1",0.0259740285714286
"H",0
"Hb",0.055381375862069
"Hbg2",0.0622999652173913
"Hbg3",0.04638215
"Hex110",0.0411758511627907
"Hex70a",0.0557359041666667
"HEX70b",0.013551652173913
"Hex70c",0.0321582964285714
"Hiscl1",0.1198801
"Ho",0
"Hsc70-3",0
"Hsc70-4",0.173160333333333
"Hsc70-5",0
"Hsp90",0.04545455
"IF-2mt",0.0069264
"ILP-2",0
"Imd",0.087491452631579
"InR-2",0.0204184766666667
"INTS8",0.011544
"Ip3k",0.0247933909090909
"JHBP-1",0.0940011428571429
"Jhe",0.00824571428571429
"Jtb",0
"KAT2A",0
"Kr",0.108891061538462
"Kr-h1",0.034632
"LCCH3",0
"Lin-52",0.0303030333333333
"LOC100187599",0
"LOC100188904",0.16883105
"LOC100217360",0.00534759411764706
"LOC100302106",0
"LOC100379261",0.01818182
"LOC100576082",0.069264
"LOC100576085",0
"LOC100576087",0.187229275
"LOC100576088",0
"LOC100576093",0
"LOC100576096",0.0143540684210526
"LOC100576097",0.0322613880952381
"LOC100576098",0.04545455
"LOC100576099",0
"LOC100576100",0
"LOC100576101",0
"LOC100576104",0.0606060666666667
"LOC100576106",0
"LOC100576110",0.117079872727273
"LOC100576115",0
"LOC100576116",0.0220057583333333
"LOC100576118",0.0995670772727273
"LOC100576121",0
"LOC100576125",0
"LOC100576126",0.0479901171428571
"LOC100576128",0.008522728125
"LOC100576129",0.0101010111111111
"LOC100576130",0
"LOC100576131",0
"LOC100576132",0.0247172096774194
"LOC100576135",0
"LOC100576136",0.107044381818182
"LOC100576143",0
"LOC100576145",0
"LOC100576146",0.0593691428571429
"LOC100576147",0.0568955214285714
"LOC100576149",0.05086576875
"LOC100576150",0.0886243055555556
"LOC100576151",0
"LOC100576152",0.08658
"LOC100576153",0
"LOC100576155",0
"LOC100576156",0
"LOC100576157",0.022727275
"LOC100576159",0
"LOC100576161",0
"LOC100576162",0
"LOC100576163",0.123685714285714
"LOC100576165",0
"LOC100576167",0.00909091
"LOC100576169",0
"LOC100576170",0
"LOC100576171",0.265512111111111
"LOC100576172",0.05454546
"LOC100576174",0
"LOC100576176",0
"LOC100576179",0.0359085282051282
"LOC100576182",0
"LOC100576184",0.0964748904761905
"LOC100576185",0.0113636375
"LOC100576186",0.0113636375
"LOC100576187",0
"LOC100576188",0.034632
"LOC100576192",0.0538033285714286
"LOC100576193",0.12445885625
"LOC100576194",0.00606060666666667
"LOC100576195",0
"LOC100576196",0.06482945
"LOC100576198",0.0460448318181818
"LOC100576212",0.121062765517241
"LOC100576213",0.144824772727273
"LOC100576215",0.0377241571428571
"LOC100576216",0
"LOC100576217",0.0209447397058824
"LOC100576220",0
"LOC100576221",0
"LOC100576222",0.08658
"LOC100576223",0.0807649850746269
"LOC100576224",0.0958565357142857
"LOC100576225",0.022727275
"LOC100576226",0
"LOC100576227",0
"LOC100576231",0.02867963125
"LOC100576232",0.0623376
"LOC100576233",0.149793912048193
"LOC100576234",0.16190475
"LOC100576236",0.03636364
"LOC100576242",0
"LOC100576243",0.1939392
"LOC100576246",0.127249907894737
"LOC100576247",0.00478468947368421
"LOC100576248",0.0662140363636364
"LOC100576249",0.0328683444444444
"LOC100576251",0.022727275
"LOC100576253",0.128205023076923
"LOC100576254",0.034632
"LOC100576258",0
"LOC100576259",0
"LOC100576260",0.149350616666667
"LOC100576261",0.0259740105263158
"LOC100576262",0.07483
"LOC100576263",0.0342990230769231
"LOC100576265",0
"LOC100576266",0.0151515166666667
"LOC100576270",0
"LOC100576271",0.11688304375
"LOC100576272",0
"LOC100576279",0.0553857647058824
"LOC100576282",0.0615898863636364
"LOC100576284",0.079220745
"LOC100576288",0
"LOC100576289",0
"LOC100576290",0
"LOC100576291",0.0347459421052632
"LOC100576293",0.0129870142857143
"LOC100576296",0
"LOC100576300",0
"LOC100576304",0.0769600740740741
"LOC100576307",0.056818125
"LOC100576320",0.0247371428571429
"LOC100576321",0
"LOC100576326",0.00606060666666667
"LOC100576330",0.130797664285714
"LOC100576333",0
"LOC100576336",0
"LOC100576337",0.09199125
"LOC100576346",0
"LOC100576348",0
"LOC100576349",0.0129870142857143
"LOC100576350",0.01443
"LOC100576351",0.168831
"LOC100576355",0.01818182
"LOC100576359",0
"LOC100576361",0.01818182
"LOC100576366",0
"LOC100576369",0
"LOC100576370",0.153727637777778
"LOC100576373",0.0101010111111111
"LOC100576374",0
"LOC100576380",0.080808
"LOC100576381",0.0627705
"LOC100576382",0
"LOC100576383",0.278499355555556
"LOC100576384",0.0359527508474576
"LOC100576387",0
"LOC100576392",0
"LOC100576401",0.034632
"LOC100576402",0.0342902736842105
"LOC100576404",0.0812672318181818
"LOC100576405",0.0649350194444445
"LOC100576410",0.158549675
"LOC100576411",0
"LOC100576412",0
"LOC100576413",0
"LOC100576414",0
"LOC100576418",0.0259740105263158
"LOC100576421",0
"LOC100576422",0
"LOC100576425",0.0160791476190476
"LOC100576427",0
"LOC100576428",0.104761825
"LOC100576432",0
"LOC100576434",0.0486180076923077
"LOC100576435",0.0270911677419355
"LOC100576436",0
"LOC100576438",0
"LOC100576439",0
"LOC100576440",0.256743084615385
"LOC100576444",0.2285712
"LOC100576445",0.0151515166666667
"LOC100576446",0.110080385714286
"LOC100576447",0
"LOC100576449",0.0656010076923077
"LOC100576453",0
"LOC100576454",0.112554052173913
"LOC100576457",0
"LOC100576458",0.0575138642857143
"LOC100576460",0.03376621
"LOC100576461",0.051948
"LOC100576462",0.0220057583333333
"LOC100576466",0.183907965517241
"LOC100576467",0.1878788
"LOC100576471",0.0796536933333333
"LOC100576472",0.00826446363636364
"LOC100576473",0.04545455
"LOC100576476",0.0779220384615385
"LOC100576478",0.069264
"LOC100576482",0
"LOC100576484",0.0718614266666667
"LOC100576487",0.04545455
"LOC100576488",0.03636364
"LOC100576492",0
"LOC100576497",0
"LOC100576498",0.0723561571428571
"LOC100576502",0
"LOC100576504",0.161305290769231
"LOC100576505",0.0979928454545455
"LOC100576506",0
"LOC100576508",0.10425675
"LOC100576512",0.0340909125
"LOC100576514",0
"LOC100576515",0
"LOC100576519",0
"LOC100576522",0.0653907105263158
"LOC100576524",0.155844
"LOC100576527",0
"LOC100576528",0.1316016
"LOC100576529",0.0586717936170213
"LOC100576530",0
"LOC100576531",0
"LOC100576532",0
"LOC100576534",0
"LOC100576536",0
"LOC100576537",0.13030301
"LOC100576540",0.119826744
"LOC100576543",0
"LOC100576544",0
"LOC100576547",0.070458224137931
"LOC100576552",0.0906685861111111
"LOC100576554",0
"LOC100576555",0
"LOC100576557",0.117216138461538
"LOC100576559",0
"LOC100576562",0.166048071428571
"LOC100576563",0.0743145555555556
"LOC100576565",0
"LOC100576568",0.0791162793103448
"LOC100576569",0.0978627409448819
"LOC100576571",0
"LOC100576572",0.00962
"LOC100576576",0.175468866666667
"LOC100576584",0
"LOC100576586",0
"LOC100576590",0.00534759411764706
"LOC100576591",0.0974643914285714
"LOC100576592",0.068452375
"LOC100576600",0
"LOC100576601",0.0667902857142857
"LOC100576603",0
"LOC100576606",0
"LOC100576608",0
"LOC100576610",0
"LOC100576614",0
"LOC100576615",0.02056275
"LOC100576617",0.0389610428571429
"LOC100576618",0.04329
"LOC100576619",0
"LOC100576620",0.082251
"LOC100576623",0.13203455
"LOC100576625",0
"LOC100576626",0
"LOC100576629",0.160173075
"LOC100576637",0.1617472
"LOC100576638",0.0535112861111111
"LOC100576640",0.075689959375
"LOC100576645",0.00699300769230769
"LOC100576646",0
"LOC100576647",0.0303030333333333
"LOC100576649",0
"LOC100576660",0.00826446363636364
"LOC100576662",0.0519480571428571
"LOC100576663",0
"LOC100576666",0.0773370432432432
"LOC100576667",0
"LOC100576669",0
"LOC100576671",0.0440539529411765
"LOC100576677",0
"LOC100576679",0
"LOC100576683",0.0429136086956522
"LOC100576687",0.0705008857142857
"LOC100576688",0.17316
"LOC100576690",0.103277604761905
"LOC100576697",0.04545455
"LOC100576702",0.11212115
"LOC100576703",0.1174241825
"LOC100576706",0
"LOC100576708",0.242424
"LOC100576709",0.0493506153846154
"LOC100576717",0
"LOC100576718",0.0129870142857143
"LOC100576719",0.034632
"LOC100576721",0.034632
"LOC100576722",0.0265151325
"LOC100576730",0
"LOC100576733",0.0377585055555556
"LOC100576734",0
"LOC100576735",0
"LOC100576736",0.04545455
"LOC100576737",0
"LOC100576738",0.021645
"LOC100576740",0.0705960230769231
"LOC100576741",0
"LOC100576742",0.01332
"LOC100576744",0.00909091
"LOC100576745",0
"LOC100576746",0.062499975
"LOC100576747",0.0118577086956522
"LOC100576748",0
"LOC100576750",0.0507111714285714
"LOC100576754",0.0259740076923077
"LOC100576758",0.12251086
"LOC100576759",0.00909091
"LOC100576760",0
"LOC100576761",0.065584465
"LOC100576765",0
"LOC100576767",0
"LOC100576768",0.0445268571428571
"LOC100576770",0
"LOC100576773",0
"LOC100576774",0
"LOC100576775",0
"LOC100576779",0.022727275
"LOC100576781",0.00699300769230769
"LOC100576783",0.201539183333333
"LOC100576784",0
"LOC100576789",0
"LOC100576795",0
"LOC100576796",0.0649350090909091
"LOC100576797",0.0707070066666667
"LOC100576799",0.0129870142857143
"LOC100576801",0
"LOC100576803",0.08658
"LOC100576805",0.0330578545454545
"LOC100576811",0.04329
"LOC100576812",0
"LOC100576814",0.0847762666666667
"LOC100576816",0.0259740285714286
"LOC100576818",0
"LOC100576819",0.0151515166666667
"LOC100576820",0.0246753
"LOC100576826",0
"LOC100576828",0.00909091
"LOC100576829",0
"LOC100576830",0
"LOC100576831",0
"LOC100576834",0.17316
"LOC100576836",0.1176047
"LOC100576838",0.153679516666667
"LOC100576839",0.102479287272727
"LOC100576840",0
"LOC100576841",0.110630055555556
"LOC100576843",0
"LOC100576847",0
"LOC100576848",0.00699300769230769
"LOC100576849",0.164502
"LOC100576850",0
"LOC100576855",0.0129870142857143
"LOC100576859",0
"LOC100576862",0
"LOC100576863",0
"LOC100576864",0.0208810705882353
"LOC100576866",0.025974
"LOC100576871",0
"LOC100576872",0
"LOC100576876",0.037445855
"LOC100576879",0.0652442214285714
"LOC100576881",0.0288045038461538
"LOC100576882",0.0535112611111111
"LOC100576885",0
"LOC100576886",0
"LOC100576891",0.0247371428571429
"LOC100576894",0.0101010111111111
"LOC100576895",0.12878779375
"LOC100576896",0.0113636375
"LOC100576898",0
"LOC100576901",0.0683982885714286
"LOC100576902",0.0849420324324324
"LOC100576903",0.0606060111111111
"LOC100576908",0.0157418181818182
"LOC100576912",0.0995671833333333
"LOC100576914",0.00606060666666667
"LOC100576915",0.0114812652173913
"LOC100576916",0
"LOC100576919",0
"LOC100576924",0.0202020222222222
"LOC100576930",0
"LOC100576932",0
"LOC100576934",0.0689548285714286
"LOC100576935",0.142238585714286
"LOC100576936",0.0980743034482759
"LOC100576938",0
"LOC100576940",0.0884559466666667
"LOC100576944",0.0401416681818182
"LOC100576945",0
"LOC100576947",0.00699300769230769
"LOC100576948",0.04545455
"LOC100576949",0.022727275
"LOC100576951",0
"LOC100576953",0.0435992928571429
"LOC100576956",0.136363525
"LOC100576957",0
"LOC100576958",0.00395256956521739
"LOC100576960",0
"LOC100576961",0
"LOC100576963",0.0188620785714286
"LOC100576964",0.04545455
"LOC100576965",0.0796930636363636
"LOC100576968",0
"LOC100576972",0
"LOC100576974",0
"LOC100576975",0
"LOC100576976",0
"LOC100576978",0.128342176470588
"LOC100576982",0.0489510538461538
"LOC100576984",0.0492947612903226
"LOC100576985",0.0880230333333333
"LOC100576986",0.0973470743589744
"LOC100576989",0
"LOC100576990",0.0151515166666667
"LOC100576992",0.1939392
"LOC100576993",0.017316
"LOC100576994",0.0375180111111111
"LOC100576996",0.00757575833333333
"LOC100577000",0
"LOC100577002",0.0161353727272727
"LOC100577003",0.034632
"LOC100577004",0.0197210111111111
"LOC100577014",0.0755910846153846
"LOC100577015",0.090043244
"LOC100577017",0.1374458
"LOC100577019",0.111111033333333
"LOC100577020",0
"LOC100577022",0.134199
"LOC100577023",0
"LOC100577024",0.06349208
"LOC100577026",0.0988455777777778
"LOC100577027",0.0303030333333333
"LOC100577030",0.04329
"LOC100577033",0
"LOC100577035",0.051948
"LOC100577039",0.0129870142857143
"LOC100577041",0.1093072625
"LOC100577043",0.0615336642857143
"LOC100577044",0.17316
"LOC100577045",0.03593073
"LOC100577046",0.021645
"LOC100577047",0.10115434
"LOC100577050",0
"LOC100577053",0.00699300769230769
"LOC100577054",0.0762986875
"LOC100577057",0
"LOC100577062",0.0661156636363636
"LOC100577064",0.0203130076923077
"LOC100577065",0.09199125
"LOC100577068",0.0569430230769231
"LOC100577069",0.0303030333333333
"LOC100577071",0.1532468
"LOC100577073",0
"LOC100577076",0.0742114285714286
"LOC100577080",0.0497835916666667
"LOC100577081",0.0367965
"LOC100577082",0.0940725769230769
"LOC100577091",0.232933673076923
"LOC100577092",0.0303030333333333
"LOC100577094",0
"LOC100577095",0
"LOC100577098",0.0864135346153846
"LOC100577099",0.15606052
"LOC100577101",0.00757575833333333
"LOC100577102",0.107838564285714
"LOC100577103",0.04329
"LOC100577106",0.0899372408163265
"LOC100577107",0.141001757142857
"LOC100577110",0.138888758333333
"LOC100577112",0
"LOC100577113",0
"LOC100577118",0
"LOC100577120",0
"LOC100577121",0.0847247142857143
"LOC100577127",0.0744784909090909
"LOC100577128",0
"LOC100577132",0
"LOC100577135",0.123654025641026
"LOC100577136",0.00909091
"LOC100577138",0.2597405
"LOC100577139",0.0165208918367347
"LOC100577140",0.0439085071428571
"LOC100577142",0.150148036842105
"LOC100577143",0.022727275
"LOC100577145",0
"LOC100577146",0.08658
"LOC100577147",0.2016078
"LOC100577149",0
"LOC100577150",0.0633116875
"LOC100577155",0.05454546
"LOC100577156",0.0532212588235294
"LOC100577159",0.0129870142857143
"LOC100577161",0
"LOC100577163",0.0194805214285714
"LOC100577165",0.0527009260869565
"LOC100577168",0.11769478125
"LOC100577174",0.0229182735294118
"LOC100577178",0.1818181
"LOC100577187",0
"LOC100577188",0.164502
"LOC100577194",0
"LOC100577196",0.104329035
"LOC100577197",0
"LOC100577198",0.014545456
"LOC100577201",0.03636364
"LOC100577202",0
"LOC100577209",0
"LOC100577213",0.0528756571428571
"LOC100577214",0.0493506
"LOC100577220",0
"LOC100577221",0.0311688
"LOC100577222",0
"LOC100577224",0
"LOC100577226",0.0510461916666667
"LOC100577227",0.04329
"LOC100577228",0
"LOC100577231",0.00649350714285714
"LOC100577235",0.0865800785714286
"LOC100577237",0.168831
"LOC100577239",0.065897
"LOC100577242",0.0853431714285714
"LOC100577248",0.0440770909090909
"LOC100577249",0.177489
"LOC100577250",0.0623376
"LOC100577252",0
"LOC100577253",0.0245645651162791
"LOC100577254",0.04329
"LOC100577255",0.101731566666667
"LOC100577263",0.0494742857142857
"LOC100577266",0.1186146
"LOC100577269",0
"LOC100577272",0.0226344942857143
"LOC100577273",0.0912420192307692
"LOC100577278",0.0303030333333333
"LOC100577279",0
"LOC100577280",0.08103350625
"LOC100577283",0.0622710538461538
"LOC100577285",0
"LOC100577288",0
"LOC100577293",0
"LOC100577295",0
"LOC100577296",0.00826446363636364
"LOC100577298",0.0940011428571429
"LOC100577300",0.04329
"LOC100577302",0
"LOC100577308",0
"LOC100577313",0.109307275
"LOC100577320",0
"LOC100577322",0.142496295833333
"LOC100577324",0
"LOC100577325",0
"LOC100577327",0.0578231214285714
"LOC100577328",0
"LOC100577330",0.0108225
"LOC100577331",0.1397649
"LOC100577332",0.0399917238095238
"LOC100577334",0.0677655384615385
"LOC100577335",0
"LOC100577341",0
"LOC100577342",0
"LOC100577343",0.0440115166666667
"LOC100577344",0
"LOC100577345",0.117748865
"LOC100577346",0.0343915166666667
"LOC100577347",0.105194723333333
"LOC100577348",0.028679675
"LOC100577358",0.0129870142857143
"LOC100577359",0.106951826470588
"LOC100577362",0.0151515166666667
"LOC100577363",0.0902906142857143
"LOC100577364",0.00699300769230769
"LOC100577365",0.0483829470588235
"LOC100577367",0.0151515166666667
"LOC100577369",0
"LOC100577376",0.0429135760869565
"LOC100577378",0.022727275
"LOC100577380",0.07922073
"LOC100577381",0.04329
"LOC100577382",0
"LOC100577385",0.0655534714285714
"LOC100577386",0.01818182
"LOC100577387",0.022727275
"LOC100577393",0.0925470162162162
"LOC100577394",0
"LOC100577396",0.0507111714285714
"LOC100577397",0.134002281818182
"LOC100577399",0.05772
"LOC100577401",0
"LOC100577408",0.022294365
"LOC100577409",0.0151515166666667
"LOC100577411",0.04545455
"LOC100577415",0.0303030055555556
"LOC100577417",0.176561371428571
"LOC100577418",0
"LOC100577423",0
"LOC100577425",0
"LOC100577428",0.0909091
"LOC100577430",0.0551377894736842
"LOC100577431",0.115440166666667
"LOC100577436",0.0606060291666667
"LOC100577437",0.205627525
"LOC100577441",0.05281382
"LOC100577449",0.043290025
"LOC100577450",0
"LOC100577451",0
"LOC100577452",0
"LOC100577453",0.0927455878787879
"LOC100577454",0.04545455
"LOC100577455",0.0976950567567568
"LOC100577456",0.0358844433962264
"LOC100577464",0.0896722142857143
"LOC100577466",0
"LOC100577472",0
"LOC100577481",0.0113636375
"LOC100577486",0.168212571428571
"LOC100577488",0
"LOC100577489",0
"LOC100577491",0
"LOC100577492",0.0469655924528302
"LOC100577493",0.0844156666666667
"LOC100577496",0.113584814285714
"LOC100577497",0.04173158
"LOC100577498",0.0736703821428571
"LOC100577499",0
"LOC100577501",0
"LOC100577504",0.113836692592593
"LOC100577506",0
"LOC100577507",0.3047617
"LOC100577510",0.03923159375
"LOC100577513",0.100706236842105
"LOC100577515",0.0281385083333333
"LOC100577516",0
"LOC100577517",0.0780901563106796
"LOC100577519",0.0330086375
"LOC100577520",0
"LOC100577521",0.00858462881355932
"LOC100577522",0.111995461290323
"LOC100577524",0.022727275
"LOC100577525",0
"LOC100577527",0.08658
"LOC100577530",0.0416250256410256
"LOC100577533",0
"LOC100577536",0.0858585055555556
"LOC100577537",0.06709955
"LOC100577541",0
"LOC100577543",0.0247933909090909
"LOC100577546",0
"LOC100577548",0.0450216266666667
"LOC100577552",0
"LOC100577553",0
"LOC100577558",0.121212
"LOC100577561",0
"LOC100577562",0.119109377142857
"LOC100577566",0.05772
"LOC100577567",0.178932
"LOC100577569",0.125085364912281
"LOC100577573",0.05772
"LOC100577574",0.026936
"LOC100577575",0
"LOC100577576",0.0382774894736842
"LOC100577577",0
"LOC100577578",0
"LOC100577579",0
"LOC100577580",0
"LOC100577582",0
"LOC100577584",0.00649350714285714
"LOC100577585",0.0779220090909091
"LOC100577586",0.06168825
"LOC100577587",0
"LOC100577590",0.0151515166666667
"LOC100577593",0.0151515166666667
"LOC100577594",0
"LOC100577595",0.05772
"LOC100577596",0.0303030333333333
"LOC100577598",0.08614713
"LOC100577600",0.0293410111111111
"LOC100577602",0.00978033703703704
"LOC100577605",0.06103901
"LOC100577606",0
"LOC100577607",0
"LOC100577608",0.25974
"LOC100577610",0
"LOC100577614",0.0448641818181818
"LOC100577620",0.12987
"LOC100577622",0.145276179411765
"LOC100577623",0
"LOC100577629",0.0578512
"LOC100577632",0.05772
"LOC100577634",0.0591630333333333
"LOC100577635",0.051428612
"LOC100577636",0.107744048148148
"LOC100577638",0.04545455
"LOC100577640",0
"LOC100577641",0.0303030333333333
"LOC100577644",0
"LOC100577647",0.0554899181818182
"LOC100577648",0.0425685083333333
"LOC100577649",0
"LOC100577651",0
"LOC100577655",0.04329
"LOC100577656",0.0933252418604651
"LOC100577661",0.0113636375
"LOC100577667",0.08658005
"LOC100577669",0.044069262
"LOC100577670",0.022727275
"LOC100577671",0.10389603
"LOC100577672",0
"LOC100577673",0
"LOC100577675",0.0501567103448276
"LOC100577676",0.01924
"LOC100577678",0.0257936375
"LOC100577679",0.0247715166666667
"LOC100577680",0
"LOC100577681",0
"LOC100577682",0.0909091
"LOC100577683",0.2190474
"LOC100577687",0.0303030333333333
"LOC100577689",0.05757571
"LOC100577690",0
"LOC100577692",0.0317460153846154
"LOC100577693",0.112073111111111
"LOC100577694",0.058008624
"LOC100577695",0.22597392
"LOC100577696",0.0804473
"LOC100577697",0.127705525
"LOC100577698",0.205627545454545
"LOC100577699",0
"LOC100577702",0
"LOC100577707",0
"LOC100577711",0
"LOC100577712",0.024761892
"LOC100577715",0.05600645
"LOC100577717",0
"LOC100577719",0.0331890111111111
"LOC100577722",0
"LOC100577724",0
"LOC100577725",0
"LOC100577727",0
"LOC100577735",0.0598189090909091
"LOC100577739",0
"LOC100577742",0
"LOC100577743",0.0594035666666667
"LOC100577746",0.0129870142857143
"LOC100577747",0.0740740111111111
"LOC100577748",0.022727275
"LOC100577749",0.0322707454545455
"LOC100577751",0.066017275
"LOC100577753",0
"LOC100577754",0.188672291666667
"LOC100577755",0.10714278
"LOC100577756",0
"LOC100577758",0.0548340111111111
"LOC100577759",0.0557359125
"LOC100577763",0.00974026071428571
"LOC100577764",0
"LOC100577766",0
"LOC100577768",0.112554
"LOC100577769",0.06709951875
"LOC100577771",0.484848
"LOC100577772",0.04545455
"LOC100577777",0.0606060666666667
"LOC100577778",0.108822131034483
"LOC100577783",0.0560296771428571
"LOC100577784",0
"LOC100577787",0.0726653714285714
"LOC100577795",0
"LOC100577801",0.0374149714285714
"LOC100577803",0
"LOC100577805",0.137566033333333
"LOC100577806",0
"LOC100577809",0.073593
"LOC100577810",0.022727275
"LOC100577815",0.148097431578947
"LOC100577816",0
"LOC100577817",0.044372275
"LOC100577819",0
"LOC100577825",0
"LOC100577829",0.0885477727272727
"LOC100577833",0.0839826
"LOC100577836",0.0663780222222222
"LOC100577839",0.149659857142857
"LOC100577840",0
"LOC100577841",0.0303030333333333
"LOC100577844",0
"LOC100577845",0.0547927857142857
"LOC100577846",0
"LOC100577847",0.0786055947368421
"LOC100577849",0.064935125
"LOC100577852",0.0808736136363636
"LOC100577856",0
"LOC100577870",0
"LOC100577872",0
"LOC100577875",0
"LOC100577876",0.1699135
"LOC100577877",0
"LOC100577879",0.13766226
"LOC100577882",0
"LOC100577883",0
"LOC100577885",0.022727275
"LOC100577886",0.0146705055555556
"LOC100577888",0.0982271166666667
"LOC100577889",0
"LOC100577894",0.0452577345454545
"LOC100577895",0.0702947285714286
"LOC100577899",0
"LOC100577901",0.00699300769230769
"LOC100577903",0.0151515166666667
"LOC100577905",0.0151515026315789
"LOC100577908",0
"LOC100577909",0
"LOC100577912",0.05454546
"LOC100577913",0.04285712
"LOC100577915",0.122448942857143
"LOC100577918",0.183135647826087
"LOC100577919",0.106541516666667
"LOC100577920",0
"LOC100577923",0.01818182
"LOC100577927",0.0194805138888889
"LOC100577928",0.107984505555556
"LOC100577931",0
"LOC100577932",0.2705625
"LOC100577933",0.162140790909091
"LOC100577936",0
"LOC100577938",0.0143540684210526
"LOC100577941",0.367965
"LOC100577942",0.0546278952380952
"LOC100577943",0.0326478916666667
"LOC100577949",0.011544
"LOC100577955",0.0388006851851852
"LOC100577957",0
"LOC100577958",0
"LOC100577959",0.0113636375
"LOC100577960",0.04329
"LOC100577961",0.04329
"LOC100577963",0
"LOC100577966",0.0909091
"LOC100577967",0
"LOC100577972",0.00449766233766234
"LOC100577974",0.0234604129032258
"LOC100577976",0
"LOC100577977",0
"LOC100577980",0.115027742857143
"LOC100577981",0.0443349482758621
"LOC100577982",0
"LOC100577986",0.082770508
"LOC100577988",0
"LOC100577992",0.044372275
"LOC100577994",0.262213714285714
"LOC100577995",0.00378787916666667
"LOC100577996",0.0767195111111111
"LOC100577997",0.0303030333333333
"LOC100577998",0
"LOC100578004",0
"LOC100578005",0.0591630333333333
"LOC100578006",0
"LOC100578011",0
"LOC100578014",0
"LOC100578015",0.0553410135135135
"LOC100578017",0.0303030333333333
"LOC100578020",0
"LOC100578021",0.160173122222222
"LOC100578023",0.1316016
"LOC100578025",0.0378218210526316
"LOC100578030",0
"LOC100578031",0
"LOC100578035",0.0303030333333333
"LOC100578040",0.0395460405405405
"LOC100578041",0.0505050555555556
"LOC100578042",0.183185089473684
"LOC100578044",0.16883105
"LOC100578045",0.0648366818181818
"LOC100578046",0
"LOC100578048",0.121588439130435
"LOC100578051",0.0375604764705882
"LOC100578059",0.0276575138888889
"LOC100578060",0.08181811
"LOC100578064",0
"LOC100578066",0.0261286214285714
"LOC100578067",0.05050502
"LOC100578068",0
