Gene	dN_dS
LOC726651	0.1871
LOC552185	0.0707
LOC409902	0.0165
LOC726250	0.3681
LOC551398	0.0738
LOC551945	0.0034
LOC100577498	0.1548
LOC409664	0.0198
LOC100577783	0.1718
LOC414021	0.0629
LOC413984	0.0878
LOC551461	0.0479
LOC411336	0.1719
LOC408351	0.1492
LOC409053	0.0612
LOC411070	0.0165
NOS	0.0204
LOC411750	0.0486
LOC100576625	0.0390
LOC413146	0.0010
LOC412293	0.0784
LOC726633	0.0614
LOC725699	0.0845
LOC724571	0.0372
LOC725887	0.0834
LOC410239	0.1237
LOC409221	0.1039
LOC409839	0.0010
LOC408656	0.1213
LOC102654395	0.3067
LOC726241	0.0701
LOC413592	0.0771
LOC551555	0.1495
LOC551500	0.0134
LOC552129	0.1332
LOC408373	0.0508
LOC551130	0.1193
LOC409028	0.0077
LOC552782	0.0981
LOC408286	0.0281
LOC409332	0.0431
LOC411589	0.0010
LOC411763	0.1777
LOC408451	0.3378
LOC410217	0.0032
LOC726433	0.1787
LOC410493	0.0153
LOC413636	0.0010
LOC409348	0.0268
LOC410979	0.2072
LOC552812	0.1206
LOC408749	0.0083
LOC411217	0.0707
LOC410044	0.0148
LOC724663	0.1780
LOC102654930	0.2477
LOC724962	0.0315
LOC412219	0.0190
LOC410630	0.0336
LOC412129	0.0553
LOC726416	0.0985
LOC726759	0.1155
LOC408664	0.1456
LOC413663	0.0201
LOC410960	0.1174
LOC409305	0.0432
LOC551753	0.1700
LOC411539	0.0626
LOC107964633	0.1488
LOC414048	0.0964
LOC725687	0.1661
LOC100577295	0.0569
LOC411748	0.2323
LOC725387	0.1104
LOC726790	0.1349
LOC412251	0.0088
LOC413138	0.0205
LOC411627	0.0081
LOC100576196	0.3428
LOC552765	0.0628
LOC100577231	0.0377
LOC100576529	0.3257
LOC413018	0.0010
LOC412756	0.1020
LOC551355	0.0049
LOC411705	0.0146
LOC411050	0.1910
LOC413657	0.0315
LOC410958	0.0131
LOC412097	0.0271
LOC550940	0.0227
LOC409217	0.0433
LOC100576817	0.0295
LOC408874	0.5718
LOC410201	0.0341
LOC725241	0.0932
LOC102655072	0.2228
LOC100578388	0.0590
LOC409556	0.0908
LOC725098	0.0540
LOC409001	0.0211
LOC408762	0.2203
LOC410980	0.0641
LOC412817	0.0278
LOC408815	0.0524
LOC413099	0.0536
LOC410256	0.1440
LOC413440	0.0444
LOC552299	0.0300
LOC726210	0.0532
LOC413460	0.0143
LOC551689	0.0537
LOC410371	0.0054
LOC102654994	0.4864
LOC411760	0.0337
LOC406081	0.0608
LOC410166	0.1846
LOC409077	0.0679
LOC102654791	0.1475
LOC409564	0.1372
LOC408887	0.0411
LOC551637	0.0153
LOC408908	0.0667
LOC411220	0.0010
LOC412935	0.0031
LOC410345	0.0378
LOC552752	0.0436
LOC725618	0.0911
LOC413481	0.0177
LOC409898	0.0851
LOC411575	0.0284
LOC726862	0.1841
LOC412808	0.0745
LOC410207	0.1063
Per	0.0651
LOC550984	0.0225
LOC410848	0.0010
LOC410970	0.0075
LOC411766	0.1398
LOC726133	0.0239
LOC413055	0.0533
LOC100577253	0.3183
LOC410954	0.1333
LOC551433	0.2589
LOC411113	0.0111
LOC408458	0.0204
LOC412742	0.0010
LOC409826	0.1200
LOC408501	0.0585
LOC413471	0.1682
LOC410725	0.1284
LOC410467	0.0989
LOC412574	0.0699
LOC410555	0.0939
LOC413738	0.0557
LOC413071	0.0797
LOC408405	0.1162
LOC552605	0.1276
LOC551792	0.0772
LOC413386	0.0971
LOC408824	0.1443
LOC100578220	0.1864
LOC408438	0.0420
LOC724460	0.0241
LOC409303	0.0627
LOC100576482	0.1439
LOC413666	0.1535
LOC411865	0.0049
LOC413895	0.0268
LOC411903	0.0147
LOC552257	0.2572
Reck	0.0214
LOC409282	0.0485
LOC413265	0.0484
LOC725685	0.0718
LOC409530	0.0735
LOC408306	0.0205
LOC409139	0.0403
LOC107965181	0.1431
LOC410756	0.0347
LOC412703	0.2181
LOC413754	0.0076
LOC410511	0.0436
LOC552095	0.0517
LOC100576291	0.0816
LOC413940	0.0321
LOC411556	0.0953
LOC413334	0.0092
LOC413410	0.0082
LOC100820634	0.0314
LOC409717	0.0112
LOC408865	0.2215
LOC413382	0.0310
LOC409860	0.1036
LOC411347	0.0255
LOC724344	0.0384
LOC411249	0.0524
LOC100576864	0.1555
LOC411362	0.0630
LOC102655479	0.1812
LOC410514	0.3180
LOC409208	0.0247
LOC413854	0.0179
LOC408494	0.3498
LOC412745	0.0473
LOC724283	0.0680
LOC551205	0.0544
LOC410515	0.2574
LOC727331	0.0206
LOC726582	0.0128
LOC724244	0.1078
LOC410506	0.0421
LOC725781	0.0461
LOC408507	0.0194
LOC408809	0.0061
LOC410788	0.0880
LOC727497	0.0744
LOC551612	0.0071
Ripk5	0.0248
LOC100576217	0.2769
LOC724695	0.1741
LOC414001	0.0296
LOC412284	0.0566
LOC409604	0.1858
LOC408336	0.1662
LOC410685	0.0534
LOC551087	0.1125
LOC413130	0.0079
LOC725982	0.0231
LOC408840	0.0476
LOC552130	0.0273
LOC724497	0.0535
LOC100577369	0.1105
LOC726438	0.0249
LOC413675	0.0200
LOC726906	0.1164
LOC413242	0.0086
LOC724223	0.0357
LOC411905	0.0185
LOC408282	0.0543
LOC409230	0.0398
LOC413473	0.0098
LOC411802	0.0494
LOC414014	0.0095
LOC410825	0.0585
LOC410771	0.0142
LOC412834	0.0010
LOC412408	0.0661
LOC552512	0.3126
LOC411711	0.0478
LOC726359	0.0108
LOC409579	0.2091
LOC726699	0.1263
LOC100578727	0.1391
LOC551573	0.0140
LOC102656822	0.3638
LOC410904	0.0137
LOC409408	0.0148
LOC100576404	0.0047
LOC724440	0.0256
LOC409992	0.0247
LOC100577530	0.1386
LOC408842	0.0075
LOC725061	0.0621
LOC411147	0.0010
LOC552077	0.0316
LOC411026	0.0891
LOC411769	0.0010
LOC410031	0.0703
LOC726771	0.0187
LOC413944	0.1673
LOC409331	0.1096
LOC413618	0.0215
LOC551763	0.0523
LOC411661	0.0526
LOC551460	0.0163
LOC100576908	0.0536
LOC408963	0.1266
LOC102654165	0.0973
LOC413683	0.0200
LOC409186	0.0036
LOC412564	0.0433
LOC408714	0.0469
mGlutR1	0.0222
LOC724701	0.1175
LOC410067	0.0916
LOC411600	0.0291
Fstl5	0.0349
LOC410078	0.0280
LOC410782	0.0511
LOC411637	0.0521
LOC411904	0.0323
LOC726595	0.0430
LOC411213	0.1424
LOC409485	0.0625
LOC551109	0.1516
LOC412949	0.0706
LOC410796	0.0204
LOC725057	0.0306
LOC409670	0.2555
LOC413668	0.0467
LOC724656	0.0304
LOC413185	0.2402
LOC550749	0.1177
LOC409200	0.0494
LOC552064	0.0426
LOC411678	0.0144
LOC411124	0.1450
LOC410447	0.0097
LOC411731	0.0418
LOC410413	0.0850
LOC100576198	0.1545
LOC727396	0.1495
LOC408808	0.1280
LOC552848	0.1276
LOC552142	0.0775
LOC411630	0.1994
LOC413370	0.0322
LOC411991	0.0010
LOC551069	0.0244
LOC725891	0.0364
LOC410769	0.0149
LOC413900	0.1187
LOC413510	0.0140
LOC410035	0.2025
LOC413357	0.0170
LOC413351	0.0330
LOC724986	0.1042
LOC100576227	0.1186
LOC412114	0.0703
LOC411078	0.1572
LOC412727	0.0507
LOC724537	0.0170
LOC100578611	0.2646
LOC552850	0.0044
LOC410953	0.0650
LOC724249	0.0845
LOC409782	0.0279
LOC726568	0.0437
LOC724294	0.1238
LOC413153	0.2257
LOC552647	0.0236
LOC412823	0.0063
LOC725562	0.0985
LOC412859	0.1031
LOC552508	0.0392
LOC551297	0.1686
LOC410307	0.0232
LOC726187	0.0083
LOC100578146	0.0180
LOC102654091	0.3371
LOC413126	0.0010
LOC552428	0.0302
LOC726670	0.0230
LOC413950	0.0330
LOC410119	0.0379
LOC408851	0.1356
LOC411163	0.0274
LOC413783	0.0731
LOC412681	0.0010
LOC409267	0.0200
LOC411881	0.0632
LOC552439	0.2281
LOC727408	0.3182
LOC552221	0.0130
LOC726347	0.0208
LOC409167	0.0010
LOC552578	0.0729
LOC100577766	0.1656
LOC411182	0.0010
LOC724731	0.0428
LOC408298	0.0010
LOC409871	0.1662
LOC410573	0.1721
LOC412655	0.1354
LOC412858	0.0732
LOC551012	0.1078
LOC552259	0.0037
LOC409256	0.1006
LOC409498	0.0137
LOC100578239	0.3695
LOC409184	0.1543
LOC551224	0.2679
LOC409777	0.0999
LOC413691	0.0990
LOC413167	0.0433
LOC550700	0.0270
LOC726379	0.0728
LOC412959	0.3421
LOC413855	0.0552
LOC724937	0.0783
LOC100577139	0.0785
LOC726470	0.0932
LOC724732	0.3079
LOC551884	0.0427
LOC724361	0.1269
LOC552324	0.0549
LOC725841	0.1091
LOC413488	0.0061
LOC410343	0.0089
LOC100578015	0.0144
LOC413574	0.0320
LOC552618	0.1007
LOC410101	0.1744
LOC726488	0.0574
LOC408497	0.0988
LOC411730	0.0460
LOC409109	0.1123
LOC100576249	0.2985
LOC100576223	0.4398
LOC408431	0.0265
EphR	0.0317
LOC551250	0.0580
LOC726223	0.0504
Dnmt3	0.1390
LOC412013	0.4137
LOC413807	0.1478
LOC412608	0.0229
LOC551243	0.1054
LOC410324	0.0380
LOC724296	0.1593
LOC413524	0.0493
LOC725079	0.0570
LOC406097	0.0133
LOC102653601	0.0339
LOC411540	0.0061
LOC409083	0.0894
LOC551999	0.0654
Stip	0.0966
LOC412115	0.0609
LOC725941	0.0904
Ac3	0.0204
LOC408645	0.0226
LOC411753	0.0130
LOC726073	0.0010
LOC100577927	0.1688
LOC724179	0.1191
LOC100576405	0.1688
LOC552498	0.1640
LOC100578482	0.0524
LOC100577958	0.0917
LOC413957	0.0042
LOC412159	0.0329
LOC100579026	0.1959
LOC412331	0.0010
LOC550991	0.0398
LOC100577120	0.1615
LOC409476	0.0010
LOC724886	0.1677
LOC411577	0.2652
LOC413361	0.0223
LOC413549	0.0596
LOC412083	0.0279
LOC410380	0.0616
LOC725435	0.0674
LOC409475	0.0105
LOC410570	0.0010
Dl	0.0646
LOC409452	0.1575
LOC411896	0.0505
LOC413267	0.1034
LOC412866	0.0088
LOC411917	0.2805
LOC725992	0.1773
LOC552792	0.1307
LOC414004	0.0119
LOC552532	0.3785
LOC412118	0.0248
LOC552542	0.0435
LOC725192	0.1847
LOC408446	0.0452
LOC408390	0.0223
LOC409622	0.0903
LOC551437	0.1423
LOC410204	0.1267
LOC411387	0.1402
LOC408504	0.0698
LOC412133	0.0511
LOC409279	0.0010
LOC413064	0.0360
LOC408311	0.0726
LOC411674	0.0214
LOC726742	0.1529
LOC408693	0.1027
LOC726093	0.0165
LOC551734	0.0123
LOC725599	0.0217
LOC410824	0.0470
LOC413200	0.1304
LOC551735	0.0010
LOC100578631	0.0141
LOC411261	0.1274
LOC413474	0.0756
LOC410273	0.1849
LOC552172	0.1098
LOC100577047	0.2089
LOC100577894	0.3069
LOC726310	0.1457
LOC412506	0.0778
LOC100576096	0.1547
LOC408983	0.0010
LOC411534	0.2228
LOC408570	0.0524
LOC409325	0.1280
LOC412937	0.0889
LOC410976	0.0938
LOC410387	0.0157
LOC100576829	0.0669
LOC551378	0.1006
LOC726349	0.0010
LOC410198	0.1515
LOC551754	0.0247
LOC100578059	0.0426
LOC724431	0.5578
LOC727108	0.0297
LOC726525	0.0493
LOC412948	0.0503
LOC414032	0.0061
LOC408556	0.0363
LOC100578818	0.0948
LOC409666	0.0380
LOC552276	0.0377
LOC408896	0.0010
LOC412865	0.0556
LOC102654281	0.1318
LOC411555	0.2108
LOC411262	0.0062
LOC413844	0.0506
LOC409594	0.0212
LOC551180	0.4890
LOC100578537	0.0851
LOC410959	0.0977
LOC724201	0.0716
LOC100578066	0.1281
LOC100577672	0.0519
LOC414043	0.0803
LOC412175	0.0709
LOC409977	0.0167
LOC411154	0.0581
LOC551781	0.0980
LOC100578909	0.0392
LOC408952	0.0309
LOC552355	0.0602
LOC550870	0.0256
LOC551563	0.0413
LOC410686	0.0010
LOC551599	0.0339
LOC412850	0.0358
LOC413759	0.0150
LOC413001	0.0791
LOC724206	0.1842
LOC410365	0.1341
LOC100577845	0.4106
LOC727008	0.0010
LOC100578743	0.0256
LOC409106	0.0243
LOC724618	0.1810
LOC408699	0.5157
LOC107965692	0.0343
LOC409153	0.0800
LOC413046	0.0361
LOC409172	0.0659
LOC412700	0.0832
LOC724596	0.1189
LOC409377	0.0010
LOC726423	0.2592
LOC552725	0.0752
LOC413069	0.0501
LOC409927	0.0010
LOC551420	0.1874
LOC100578355	0.1657
LOC409923	0.4395
LOC408345	0.1258
LOC413699	0.0115
LOC408293	0.3043
LOC552642	0.0343
LOC100577742	0.0565
LOC413578	0.0295
LOC411780	0.0135
LOC408649	0.0688
LOC411535	0.1342
LOC100578382	0.2265
LOC726101	0.2270
LOC411003	0.0840
LOC100577102	0.3088
LOC552173	0.0084
LOC551871	0.0576
LOC413874	0.3402
LOC410565	0.0010
LOC412750	0.0260
LOC412036	0.0155
LOC413493	0.0125
LOC408917	0.1037
LOC409778	0.0089
LOC410923	0.0237
LOC725516	0.1062
LOC726551	0.2556
LOC725268	0.2339
LOC411417	0.3116
LOC411699	0.0556
LOC551531	0.1575
LOC409603	0.1343
LOC725361	0.2067
LOC100577481	0.0487
LOC100577681	0.1463
LOC411579	0.0509
LOC408602	0.0660
LOC100576135	0.1394
LOC411930	0.1274
LOC413702	0.0115
LOC411670	0.0345
LOC100577004	0.0450
LOC409787	0.0010
LOC100578893	0.0775
LOC411351	0.2486
LOC725015	0.0010
LOC411591	0.0010
LOC413288	0.0010
LOC100577409	0.3344
LOC726421	0.1957
LOC551621	0.1842
LOC551793	0.1166
LOC409846	0.0010
LOC724541	0.0746
LOC726469	0.0010
LOC412011	0.0784
LOC408794	0.0562
LOC410975	0.0130
LOC551661	0.0767
LOC726228	0.0784
PPO	0.0710
LOC100578014	0.1506
LOC551578	0.0953
LOC107964205	0.1447
LOC725323	0.2470
LOC551647	0.1848
LOC413385	0.2182
LOC410056	0.0141
LOC410290	0.0227
LOC102653961	0.2385
LOC410390	0.0078
LOC411264	0.1988
LOC411201	0.0828
LOC551673	0.1372
Hex110	0.1646
LOC409563	0.0857
LOC411727	0.0759
LOC552574	0.0228
LOC726286	0.4201
LOC552231	0.1208
LOC725020	0.0726
LOC408706	0.0196
LOC102654640	0.1397
LOC727648	0.0555
LOC413256	0.0062
LOC100579040	0.0953
LOC552546	0.0660
LOC409468	0.0715
LOC411419	0.0164
LOC409337	0.0171
LOC413154	0.0501
LOC413389	0.0659
LOC412436	0.1683
LOC412456	0.0041
LOC409565	0.0128
LOC725320	0.0070
LOC726972	0.0280
LOC409941	0.0172
LOC726019	0.1851
LOC411199	0.0197
LOC411758	0.0234
sGC-alpha1	0.0199
LOC552527	0.0186
LOC724991	0.0166
LOC725252	0.0873
LOC411465	0.0037
LOC552312	0.0979
LOC410987	0.0858
LOC100576600	0.0389
LOC412961	0.0187
LOC100576862	0.0630
LOC727146	0.1404
LOC100578420	0.0691
LOC408574	0.0381
LOC413784	0.0960
LOC552768	0.0791
LOC411472	0.0178
LOC100578159	0.0163
LOC724240	0.1012
LOC100577525	0.1629
LOC411603	0.0820
LOC552845	0.0348
LOC100576290	0.2739
LOC409206	0.2219
LOC100578862	0.3919
LOC410328	0.0181
LOC413448	0.0250
LOC413270	0.0010
LOC727528	0.1067
LOC409810	0.0418
LOC102654641	0.3424
LOC410021	0.0632
LOC100577784	0.4693
LOC552400	0.1017
LOC409515	0.0543
LOC410100	0.0010
LOC409979	0.0414
LOC726353	0.0884
LOC102653588	0.0010
LOC408836	0.0064
LOC410320	0.0681
LOC409859	0.0700
LOC551320	0.0686
LOC408925	0.0276
LOC552513	0.1109
LOC408512	0.0828
LOC552328	0.0120
LOC724733	0.3567
LOC726637	0.0252
LOC551904	0.0189
LOC411846	0.1182
LOC409915	0.0010
LOC412827	0.0374
LOC725886	0.0300
LOC408835	0.0973
LOC551163	0.0468
LOC724481	0.1803
LOC413034	0.0348
LOC725793	0.0818
LOC727030	0.0407
LOC412005	0.0670
LOC726724	0.1504
LOC410038	0.0432
LOC551743	0.1551
LOC412843	0.2487
LOC408392	0.1632
LOC725093	0.2263
LOC413547	0.0336
LOC726216	0.0277
LOC411065	0.0353
LOC725244	0.0414
LOC411080	0.0380
LOC552505	0.0594
LOC406073	0.0122
LOC411250	0.0077
LOC408967	0.0287
LOC100577689	0.1536
LOC411907	0.0132
LOC413233	0.1046
LOC551628	0.0756
LOC412020	0.0744
LOC726148	0.0178
LOC409142	0.0656
LOC413942	0.0640
LOC409647	0.0288
LOC100577050	0.0684
LOC413834	0.0462
LOC408312	0.0166
LOC412629	0.0549
LOC413793	0.0137
LOC413512	0.1619
LOC724439	0.1495
LOC102656021	0.0693
LOC409676	0.0067
LOC551666	0.0252
LOC100578321	0.0452
LOC414051	0.0654
LOC409814	0.1110
LOC410804	0.1206
LOC411982	0.1091
LOC409368	0.1281
LOC409576	0.0203
LOC411181	0.0191
LOC408536	0.0974
LOC724803	0.3565
LOC412398	0.0565
LOC552697	0.0870
LOC411775	0.0851
LOC411019	0.1537
Adar	0.3002
LOC409727	0.1498
LOC726874	0.5303
LOC550968	0.1171
LOC727027	0.0678
LOC411891	0.1172
LOC409136	0.0393
LOC551924	0.0957
LOC551803	0.1496
LOC409827	0.2144
LOC411604	0.0010
LOC726599	0.1321
Amih	0.2422
LOC100578696	0.2017
LOC551880	0.0908
LOC410852	0.0225
LOC551776	0.1928
LOC412262	0.0107
LOC412829	0.5500
LOC726952	0.0364
LOC411875	0.0507
LOC100577127	0.1730
LOC412472	0.0305
LOC408523	0.0088
LOC410688	0.0044
LOC412155	0.1224
LOC100578924	0.0468
LOC411814	0.2587
LOC409733	0.1329
LOC412943	0.0694
LOC409046	0.0622
LOC100578260	0.0160
LOC100576563	0.1251
LOC100579034	0.1036
LOC551843	0.0506
LOC410438	0.2508
LOC413720	0.1196
LOC410910	0.0122
LOC724779	0.0250
LOC724969	0.0010
LOC724830	0.1026
LOC412584	0.0204
LOC552714	0.1232
LOC100578116	0.0255
LOC412624	0.0323
LOC411121	0.0010
LOC408462	0.0736
LOC725755	0.1926
LOC410498	0.3475
LOC552467	0.0010
LOC552624	0.1462
LOC411349	0.0527
LOC100576454	0.2667
LOC413333	0.0638
LOC408727	0.2371
LOC551576	0.0247
LOC550920	0.0543
LOC550903	0.0926
LOC551521	0.0054
LOC107963982	0.0010
LOC551747	0.0447
LOC100577998	0.1191
LOC409711	0.0136
LOC411473	0.1012
LOC413542	0.3786
LOC552379	0.0232
LOC412960	0.0083
LOC408668	0.1955
LOC411148	0.0010
LOC411167	0.0462
LOC100576116	0.1554
LOC412386	0.0413
LOC409841	0.0488
