LOC105827748	XP_012521288.1
LOC105827908	XP_012521565.1
LOC105827909	XP_012521566.1
LOC105827910	XP_012521567.1
LOC105827911	XP_012521568.1
LOC105827912	XP_012521569.1
LOC105827913	XP_012521570.1
LOC105827914	XP_012521571.1
LOC105827915	XP_012521574.1
LOC105827916	XP_012521572.1
LOC105827917	XP_012521573.1
LOC105827918	XP_012521575.1
LOC105827919	XP_012521576.1
LOC105827920	XP_012521577.1
LOC105827921	XP_012521578.1
LOC105827922	XP_012521579.1
LOC105827923	XP_012521580.1
LOC105827924	XP_012521581.1
LOC105827925	XP_012521585.1
LOC105827926	XP_012521582.1
LOC105827927	XP_012521583.1
LOC105827928	XP_012521584.1
LOC105827929	XP_012521586.1
LOC105827930	XP_012521587.1
LOC105827931	XP_012521588.1
LOC105827932	XP_012521589.1
LOC105827933	XP_012521590.1
LOC105827934	XP_012521591.1
LOC105827935	XP_012521592.1
LOC105827936	XP_012521596.1
LOC105827937	XP_012521593.1
LOC105827938	XP_012521594.1
LOC105827939	XP_012521595.1
LOC105827940	XP_012521597.1
LOC105827941	XP_012521598.1
LOC105827942	XP_012521599.1
LOC105827943	XP_012521633.1
LOC105827944	XP_012521600.1
LOC105827945	XP_012521601.1
LOC105827946	XP_012521602.1
LOC105827947	XP_012521603.1
LOC105827948	XP_012521604.1
LOC105827949	XP_012521605.1
LOC105827950	XP_012521606.1
LOC105827951	XP_012521607.1
LOC105827952	XP_012521608.1
LOC105827953	XP_012521609.1
LOC105827954	XP_012521610.1
LOC105827955	XP_012521611.1
LOC105827956	XP_012521615.1
LOC105827957	XP_012521612.1
LOC105827958	XP_012521613.1
LOC105827959	XP_012521614.1
LOC105827960	XP_012521616.1
LOC105827961	XP_012521617.1
LOC105827962	XP_012521618.1
LOC105827963	XP_012521619.1
LOC105827964	XP_012521620.1
LOC105827965	XP_012521621.1
LOC105827966	XP_012521622.1
LOC105827967	XP_012521626.1
LOC105827968	XP_012521623.1
LOC105827969	XP_012521624.1
LOC105827970	XP_012521625.1
LOC105827971	XP_012521627.1
LOC105827972	XP_012521628.1
LOC105827973	XP_012521629.1
LOC105827974	XP_012521630.1
LOC105827975	XP_012521631.1
LOC105827976	XP_012521632.1
LOC105827977	XP_012521634.1
LOC105827978	XP_012521638.1
LOC105827979	XP_012521635.1
LOC105827980	XP_012521636.1
LOC105827981	XP_012521637.1
LOC105827982	XP_012521639.1
LOC105827983	XP_012521640.1
LOC105827984	XP_012521641.1
LOC105827985	XP_012521642.1
LOC105827986	XP_012521643.1
LOC105827987	XP_012521644.1
LOC105827988	XP_012521645.1
LOC105827989	XP_012521649.1
LOC105827990	XP_012521646.1
LOC105827991	XP_012521647.1
LOC105827992	XP_012521648.1
LOC105827993	XP_012521650.1
LOC105827994	XP_012521651.1
LOC105827995	XP_012521652.1
LOC105827996	XP_012521653.1
LOC105827997	XP_012521654.1
LOC105827998	XP_012521655.1
LOC105827999	XP_012521656.1
LOC105828000	XP_012521660.1
LOC105828001	XP_012521657.1
LOC105828002	XP_012521658.1
LOC105828003	XP_012521659.1
LOC105828004	XP_012521661.1
LOC105828005	XP_012521662.1
LOC105828006	XP_012521663.1
LOC105828007	XP_012521664.1
LOC105828008	XP_012521665.1
LOC105828009	XP_012521666.1
LOC105828010	XP_012521667.1
LOC105828011	XP_012521671.1
LOC105828012	XP_012521668.1
LOC105828013	XP_012521669.1
LOC105828014	XP_012521670.1
LOC105828015	XP_012521672.1
LOC105828016	XP_012521673.1
LOC105828017	XP_012521674.1
LOC105828018	XP_012521675.1
LOC105828019	XP_012521676.1
LOC105828020	XP_012521677.1
LOC105828021	XP_012521678.1
LOC105828022	XP_012521682.1
LOC105828022	XP_012521689.1
LOC105828023	XP_012521679.1
LOC105828024	XP_012521680.1
LOC105828025	XP_012521681.1
LOC105828026	XP_012521683.1
LOC105828027	XP_012521684.1
LOC105828028	XP_012521685.1
LOC105828029	XP_012521686.1
LOC105828030	XP_012521687.1
LOC105828031	XP_012521688.1
LOC105828032	XP_012521690.1
LOC105828033	XP_012521691.1
LOC105828034	XP_012521692.1
LOC105828035	XP_012521693.1
LOC105828036	XP_012521694.1
LOC105828037	XP_012521695.1
LOC105828038	XP_012521696.1
LOC105828039	XP_012521700.1
LOC105828040	XP_012521697.1
LOC105828041	XP_012521698.1
LOC105828042	XP_012521699.1
LOC105828043	XP_012521701.1
LOC105828044	XP_012521702.1
LOC105828045	XP_012521703.1
LOC105828046	XP_012521704.1
LOC105828047	XP_012521705.1
LOC105828048	XP_012521706.1
LOC105828049	XP_012521707.1
LOC105828051	XP_012521708.1
LOC105828052	XP_012521709.1
LOC105828053	XP_012521710.1
LOC105828054	XP_012521711.1
LOC105828055	XP_012521712.1
LOC105828056	XP_012521713.1
LOC105828057	XP_012521714.1
LOC105828058	XP_012521715.1
LOC105828059	XP_012521716.1
LOC105828060	XP_012521717.1
LOC105828061	XP_012521721.1
LOC105828062	XP_012521718.1
LOC105828063	XP_012521719.1
LOC105828064	XP_012521720.1
LOC105828065	XP_012521722.1
LOC105828066	XP_012521723.1
LOC105828068	XP_012521724.1
LOC105828069	XP_012521725.1
LOC105828070	XP_012521726.1
LOC105828071	XP_012521727.1
LOC105828072	XP_012521731.1
LOC105828073	XP_012521728.1
LOC105828074	XP_012521729.1
LOC105828075	XP_012521730.1
LOC105828076	XP_012521732.1
LOC105828077	XP_012521733.1
LOC105828078	XP_012521734.1
LOC105828079	XP_012521735.1
LOC105828080	XP_012521736.1
LOC105828081	XP_012521737.1
LOC105828082	XP_012521738.1
LOC105828084	XP_012521739.1
LOC105828085	XP_012521740.1
LOC105828086	XP_012521741.1
LOC105828087	XP_012521742.1
LOC105828088	XP_012521746.1
LOC105828088	XP_012521751.1
LOC105828088	XP_012521759.1
LOC105828088	XP_012521766.1
LOC105828088	XP_012521769.1
LOC105828089	XP_012521743.1
LOC105828090	XP_012521744.1
LOC105828091	XP_012521745.1
LOC105828092	XP_012521747.1
LOC105828093	XP_012521748.1
LOC105828094	XP_012521749.1
LOC105828095	XP_012521750.1
LOC105828096	XP_012521752.1
LOC105828097	XP_012521753.1
LOC105828098	XP_012521754.1
LOC105828099	XP_012521755.1
LOC105828100	XP_012521756.1
LOC105828101	XP_012521757.1
LOC105828102	XP_012521758.1
LOC105828103	XP_012521760.1
LOC105828104	XP_012521761.1
LOC105828105	XP_012521762.1
LOC105828106	XP_012521763.1
LOC105828107	XP_012521764.1
LOC105828108	XP_012521765.1
LOC105828109	XP_012521767.1
LOC105828110	XP_012521768.1
LOC105828111	XP_012521770.1
LOC105828112	XP_012521771.1
LOC105828113	XP_012521772.1
LOC105828114	XP_012521773.1
LOC105828116	XP_012521774.1
LOC105828117	XP_012521775.1
LOC105828118	XP_012521779.1
LOC105828118	XP_012521788.1
LOC105828119	XP_012521776.1
LOC105828120	XP_012521777.1
LOC105828121	XP_012521778.1
LOC105828121	XP_012521780.1
LOC105828122	XP_012521781.1
LOC105828123	XP_012521782.1
LOC105828124	XP_012521783.1
LOC105828125	XP_012521784.1
LOC105828125	XP_012521785.1
LOC105828125	XP_012521786.1
LOC105828126	XP_012521787.1
LOC105828127	XP_012521789.1
LOC105828127	XP_012521790.1
LOC105828128	XP_012521791.1
LOC105828128	XP_012521792.1
LOC105828128	XP_012521793.1
LOC105828128	XP_012521794.1
LOC105828128	XP_012521795.1
LOC105828129	XP_012521796.1
LOC105828130	XP_012521801.1
LOC105828131	XP_012521797.1
LOC105828132	XP_012521798.1
LOC105828132	XP_012521799.1
LOC105828132	XP_012521800.1
LOC105828133	XP_012521802.1
LOC105828134	XP_012521803.1
LOC105828135	XP_012521804.1
LOC105828137	XP_012521805.1
LOC105828138	XP_012521806.1
LOC105828139	XP_012521843.1
LOC105828140	XP_012521810.1
LOC105828141	XP_012521807.1
LOC105828141	XP_012521808.1
LOC105828142	XP_012521809.1
LOC105828144	XP_012521811.1
LOC105828145	XP_012521812.1
LOC105828145	XP_012521813.1
LOC105828146	XP_012521814.1
LOC105828146	XP_012521815.1
LOC105828146	XP_012521816.1
LOC105828146	XP_012521817.1
LOC105828147	XP_012521820.1
LOC105828147	XP_012521828.1
LOC105828149	XP_012521818.1
LOC105828149	XP_012521819.1
LOC105828150	XP_012521821.1
LOC105828151	XP_012521822.1
LOC105828152	XP_012521823.1
LOC105828153	XP_012521824.1
LOC105828154	XP_012521825.1
LOC105828155	XP_012521826.1
LOC105828155	XP_012521827.1
LOC105828156	XP_012521829.1
LOC105828157	XP_012521830.1
LOC105828158	XP_012521831.1
LOC105828159	XP_012521832.1
LOC105828160	XP_012521833.1
LOC105828160	XP_012521834.1
LOC105828160	XP_012521835.1
LOC105828161	XP_012521836.1
LOC105828162	XP_012521839.1
LOC105828162	XP_012521847.1
LOC105828163	XP_012521837.1
LOC105828164	XP_012521838.1
LOC105828166	XP_012521840.1
LOC105828168	XP_012521841.1
LOC105828169	XP_012521842.1
LOC105828170	XP_012521844.1
LOC105828171	XP_012521845.1
LOC105828172	XP_012521846.1
LOC105828174	XP_012521848.1
LOC105828175	XP_012521849.1
LOC105828175	XP_012521850.1
LOC105828176	XP_012521851.1
LOC105828177	XP_012521852.1
LOC105828178	XP_012521853.1
LOC105828179	XP_012521856.1
LOC105828179	XP_012521864.1
LOC105828179	XP_012521872.1
LOC105828179	XP_012521877.1
LOC105828180	XP_012521854.1
LOC105828182	XP_012521855.1
LOC105828183	XP_012521857.1
LOC105828184	XP_012521858.1
LOC105828185	XP_012521859.1
LOC105828186	XP_012521860.1
LOC105828186	XP_012521861.1
LOC105828187	XP_012521862.1
LOC105828188	XP_012521863.1
LOC105828189	XP_012521865.1
LOC105828190	XP_012521866.1
LOC105828190	XP_012521867.1
LOC105828191	XP_012521868.1
LOC105828191	XP_012521869.1
LOC105828191	XP_012521870.1
LOC105828192	XP_012521871.1
LOC105828193	XP_012521873.1
LOC105828194	XP_012521874.1
LOC105828195	XP_012521875.1
LOC105828196	XP_012521876.1
LOC105828197	XP_012521878.1
LOC105828197	XP_012521879.1
LOC105828198	XP_012521880.1
LOC105828199	XP_012521881.1
LOC105828199	XP_012521882.1
LOC105828200	XP_012521883.1
LOC105828201	XP_012521884.1
LOC105828202	XP_012521885.1
LOC105828203	XP_012521889.1
LOC105828203	XP_012521897.1
LOC105828203	XP_012521905.1
LOC105828203	XP_012521912.1
LOC105828204	XP_012521886.1
LOC105828205	XP_012521887.1
LOC105828206	XP_012521888.1
LOC105828206	XP_012521890.1
LOC105828206	XP_012521891.1
LOC105828207	XP_012521892.1
LOC105828208	XP_012521893.1
LOC105828209	XP_012521894.1
LOC105828209	XP_012521895.1
LOC105828210	XP_012521896.1
LOC105828211	XP_012521898.1
LOC105828212	XP_012521899.1
LOC105828212	XP_012521900.1
LOC105828213	XP_012521901.1
LOC105828213	XP_012521902.1
LOC105828213	XP_012521903.1
LOC105828214	XP_012521904.1
LOC105828215	XP_012521906.1
LOC105828217	XP_012521907.1
LOC105828218	XP_012521908.1
LOC105828219	XP_012521909.1
LOC105828219	XP_012521910.1
LOC105828219	XP_012521911.1
LOC105828219	XP_012521913.1
LOC105828219	XP_012521914.1
LOC105828220	XP_012521915.1
LOC105828221	XP_012521916.1
LOC105828222	XP_012521949.1
LOC105828223	XP_012521917.1
LOC105828224	XP_012521918.1
LOC105828225	XP_012521919.1
LOC105828226	XP_012521920.1
LOC105828227	XP_012521923.1
LOC105828228	XP_012521921.1
LOC105828229	XP_012521922.1
LOC105828230	XP_012521924.1
LOC105828232	XP_012521925.1
LOC105828233	XP_012521926.1
LOC105828233	XP_012521927.1
LOC105828234	XP_012521928.1
LOC105828235	XP_012521929.1
LOC105828235	XP_012521930.1
LOC105828235	XP_012521931.1
LOC105828236	XP_012521934.1
LOC105828237	XP_012521932.1
LOC105828238	XP_012521933.1
LOC105828238	XP_012521935.1
LOC105828240	XP_012521936.1
LOC105828241	XP_012521937.1
LOC105828241	XP_012521938.1
LOC105828242	XP_012521943.1
LOC105828242	XP_012521950.1
LOC105828243	XP_012521939.1
LOC105828244	XP_012521940.1
LOC105828244	XP_012521941.1
LOC105828244	XP_012521942.1
LOC105828245	XP_012521944.1
LOC105828247	XP_012521945.1
LOC105828248	XP_012521946.1
LOC105828249	XP_012521947.1
LOC105828250	XP_012521948.1
LOC105828251	XP_012521951.1
LOC105828251	XP_012521952.1
LOC105828251	XP_012521953.1
LOC105828252	XP_012521954.1
LOC105828253	XP_012521955.1
LOC105828254	XP_012521956.1
LOC105828255	XP_012521960.1
LOC105828256	XP_012521957.1
LOC105828257	XP_012521958.1
LOC105828258	XP_012521959.1
LOC105828260	XP_012521961.1
LOC105828261	XP_012521962.1
LOC105828262	XP_012521963.1
LOC105828262	XP_012521964.1
LOC105828263	XP_012521965.1
LOC105828264	XP_012521968.1
LOC105828265	XP_012521966.1
LOC105828266	XP_012521967.1
LOC105828267	XP_012521969.1
LOC105828268	XP_012521970.1
LOC105828269	XP_012521971.1
LOC105828271	XP_012521972.1
LOC105828272	XP_012521973.1
LOC105828273	XP_012521974.1
LOC105828274	XP_012521979.1
LOC105828275	XP_012521975.1
LOC105828275	XP_012521976.1
LOC105828275	XP_012521977.1
LOC105828275	XP_012521978.1
LOC105828276	XP_012521980.1
LOC105828277	XP_012521981.1
LOC105828278	XP_012521982.1
LOC105828279	XP_012521983.1
LOC105828281	XP_012521987.1
LOC105828282	XP_012521984.1
LOC105828283	XP_012521985.1
LOC105828283	XP_012521986.1
LOC105828284	XP_012521988.1
LOC105828285	XP_012521989.1
LOC105828286	XP_012521990.1
LOC105828287	XP_012521991.1
LOC105828288	XP_012521992.1
LOC105828289	XP_012521993.1
LOC105828290	XP_012521994.1
LOC105828291	XP_012521999.1
LOC105828292	XP_012521995.1
LOC105828293	XP_012521996.1
LOC105828293	XP_012521997.1
LOC105828293	XP_012521998.1
LOC105828293	XP_012522000.1
LOC105828293	XP_012522001.1
LOC105828294	XP_012522002.1
LOC105828295	XP_012522003.1
LOC105828295	XP_012522004.1
LOC105828295	XP_012522005.1
LOC105828295	XP_012522006.1
LOC105828296	XP_012522007.1
LOC105828296	XP_012522008.1
LOC105828296	XP_012522009.1
LOC105828296	XP_012522010.1
LOC105828300	XP_012522011.1
LOC105828300	XP_012522012.1
LOC105828301	XP_012522013.1
LOC105828301	XP_012522014.1
LOC105828302	XP_012522019.1
LOC105828303	XP_012522015.1
LOC105828305	XP_012522016.1
LOC105828305	XP_012522017.1
LOC105828305	XP_012522020.1
LOC105828305	XP_012522021.1
LOC105828305	XP_012522022.1
LOC105828305	XP_012522023.1
LOC105828306	XP_012522056.1
LOC105828307	XP_012522024.1
LOC105828307	XP_012522025.1
LOC105828308	XP_012522026.1
LOC105828309	XP_012522027.1
LOC105828311	XP_012522028.1
LOC105828312	XP_012522029.1
LOC105828313	XP_012522030.1
LOC105828314	XP_012522031.1
LOC105828314	XP_012522032.1
LOC105828315	XP_012522033.1
LOC105828316	XP_012522034.1
LOC105828317	XP_012522040.1
LOC105828317	XP_012522047.1
LOC105828318	XP_012522035.1
LOC105828318	XP_012522036.1
LOC105828318	XP_012522037.1
LOC105828318	XP_012522038.1
LOC105828318	XP_012522039.1
LOC105828318	XP_012522041.1
LOC105828319	XP_012522042.1
LOC105828320	XP_012522043.1
LOC105828321	XP_012522044.1
LOC105828322	XP_012522045.1
LOC105828323	XP_012522046.1
LOC105828325	XP_012522048.1
LOC105828326	XP_012522049.1
LOC105828327	XP_012522050.1
LOC105828327	XP_012522051.1
LOC105828328	XP_012522052.1
LOC105828329	XP_012522057.1
LOC105828330	XP_012522053.1
LOC105828331	XP_012522054.1
LOC105828332	XP_012522055.1
LOC105828333	XP_012522058.1
LOC105828333	XP_012522059.1
LOC105828334	XP_012522060.1
LOC105828335	XP_012522061.1
LOC105828335	XP_012522062.1
LOC105828336	XP_012522063.1
LOC105828337	XP_012522064.1
LOC105828338	XP_012522069.1
LOC105828339	XP_012522065.1
LOC105828340	XP_012522066.1
LOC105828341	XP_012522067.1
LOC105828341	XP_012522068.1
LOC105828342	XP_012522070.1
LOC105828343	XP_012522071.1
LOC105828344	XP_012522072.1
LOC105828345	XP_012522073.1
LOC105828345	XP_012522074.1
LOC105828346	XP_012522075.1
LOC105828347	XP_012522076.1
LOC105828348	XP_012522081.1
LOC105828349	XP_012522077.1
LOC105828349	XP_012522078.1
LOC105828349	XP_012522079.1
LOC105828350	XP_012522080.1
LOC105828350	XP_012522082.1
LOC105828351	XP_012522083.1
LOC105828351	XP_012522084.1
LOC105828352	XP_012522085.1
LOC105828353	XP_012522086.1
LOC105828354	XP_012522087.1
LOC105828354	XP_012522088.1
LOC105828354	XP_012522089.1
LOC105828355	XP_012522092.1
LOC105828356	XP_012522090.1
LOC105828356	XP_012522091.1
LOC105828356	XP_012522093.1
LOC105828356	XP_012522094.1
LOC105828356	XP_012522095.1
LOC105828356	XP_012522096.1
LOC105828356	XP_012522097.1
LOC105828356	XP_012522098.1
LOC105828356	XP_012522099.1
LOC105828356	XP_012522100.1
LOC105828356	XP_012522101.1
LOC105828356	XP_012522102.1
LOC105828356	XP_012522103.1
LOC105828357	XP_012522105.1
LOC105828358	XP_012522104.1
LOC105828359	XP_012522106.1
LOC105828360	XP_012522107.1
LOC105828361	XP_012522108.1
LOC105828362	XP_012522109.1
LOC105828362	XP_012522110.1
LOC105828363	XP_012522111.1
LOC105828364	XP_012522113.1
LOC105828365	XP_012522112.1
LOC105828365	XP_012522114.1
LOC105828366	XP_012522115.1
LOC105828367	XP_012522116.1
LOC105828368	XP_012522117.1
LOC105828369	XP_012522118.1
LOC105828370	XP_012522119.1
LOC105828371	XP_012522120.1
LOC105828372	XP_012522124.1
LOC105828372	XP_012522133.1
LOC105828372	XP_012522141.1
LOC105828372	XP_012522150.1
LOC105828373	XP_012522121.1
LOC105828374	XP_012522122.1
LOC105828375	XP_012522123.1
LOC105828376	XP_012522125.1
LOC105828377	XP_012522126.1
LOC105828378	XP_012522127.1
LOC105828378	XP_012522128.1
LOC105828379	XP_012522129.1
LOC105828379	XP_012522130.1
LOC105828379	XP_012522131.1
LOC105828380	XP_012522132.1
LOC105828381	XP_012522172.1
LOC105828382	XP_012522134.1
LOC105828383	XP_012522135.1
LOC105828383	XP_012522136.1
LOC105828384	XP_012522137.1
LOC105828384	XP_012522138.1
LOC105828384	XP_012522139.1
LOC105828385	XP_012522140.1
LOC105828385	XP_012522142.1
LOC105828385	XP_012522143.1
LOC105828385	XP_012522144.1
LOC105828385	XP_012522145.1
LOC105828385	XP_012522146.1
LOC105828386	XP_012522147.1
LOC105828387	XP_012522148.1
LOC105828388	XP_012522149.1
LOC105828389	XP_012522151.1
LOC105828390	XP_012522152.1
LOC105828391	XP_012522153.1
LOC105828392	XP_012522154.1
LOC105828393	XP_012522155.1
LOC105828394	XP_012522156.1
LOC105828395	XP_012522157.1
LOC105828396	XP_012522161.1
LOC105828397	XP_012522158.1
LOC105828398	XP_012522159.1
LOC105828398	XP_012522160.1
LOC105828399	XP_012522162.1
LOC105828401	XP_012522163.1
LOC105828402	XP_012522164.1
