NP_001011562.1	gnl|BL_ORD_ID|7560 7460:001d88
NP_001035296.1	gnl|BL_ORD_ID|5931 7460:00172b
NP_001014991.1	gnl|BL_ORD_ID|3968 7460:000f80
NP_001035297.1	gnl|BL_ORD_ID|5927 7460:001727
NP_001035310.1	gnl|BL_ORD_ID|12769 7460:0031e1
NP_001035311.1	gnl|BL_ORD_ID|12770 7460:0031e2
NP_001035313.1	gnl|BL_ORD_ID|5924 7460:001724
NP_001035316.1	gnl|BL_ORD_ID|10446 7460:0028ce
NP_001035315.1	gnl|BL_ORD_ID|9689 7460:0025d9
NP_001035314.1	gnl|BL_ORD_ID|5923 7460:001723
NP_001035317.1	gnl|BL_ORD_ID|5928 7460:001728
NP_001035319.1	gnl|BL_ORD_ID|586 7460:00024a
NP_001035321.1	gnl|BL_ORD_ID|12026 7460:002efa
NP_001035320.1	gnl|BL_ORD_ID|1763 7460:0006e3
NP_001035323.1	gnl|BL_ORD_ID|10847 7460:002a5f
NP_001035324.1	gnl|BL_ORD_ID|9437 7460:0024dd
NP_001035326.1	gnl|BL_ORD_ID|3104 7460:000c20
NP_001035346.1	gnl|BL_ORD_ID|14892 7460:003a2c
NP_001035345.1	gnl|BL_ORD_ID|2193 7460:000891
NP_001035347.1	gnl|BL_ORD_ID|5374 7460:0014fe
NP_001035352.2	gnl|BL_ORD_ID|5178 7460:00143a
NP_001035353.1	gnl|BL_ORD_ID|15180 7460:003b4c
NP_001035325.2	gnl|BL_ORD_ID|5496 7460:001578
NP_001035349.1	gnl|BL_ORD_ID|13888 7460:003640
NP_001035354.1	gnl|BL_ORD_ID|12630 7460:003156
NP_001035355.1	gnl|BL_ORD_ID|12774 7460:0031e6
NP_001035357.1	gnl|BL_ORD_ID|6583 7460:0019b7
NP_001035356.1	gnl|BL_ORD_ID|7881 7460:001ec9
NP_001035359.1	gnl|BL_ORD_ID|5463 7460:001557
NP_001011629.1	gnl|BL_ORD_ID|9589 7460:002575
NP_001035360.1	gnl|BL_ORD_ID|5342 7460:0014de
NP_001035327.1	gnl|BL_ORD_ID|3024 7460:000bd0
NP_001035367.1	gnl|BL_ORD_ID|7274 7460:001c6a
NP_001035923.1	gnl|BL_ORD_ID|6743 7460:001a57
NP_001035771.1	gnl|BL_ORD_ID|11689 7460:002da9
NP_001071278.1	gnl|BL_ORD_ID|14841 7460:0039f9
NP_001035925.1	gnl|BL_ORD_ID|1581 7460:00062d
NP_001071277.1	gnl|BL_ORD_ID|3380 7460:000d34
NP_001071279.1	gnl|BL_ORD_ID|10341 7460:002865
NP_001071276.1	gnl|BL_ORD_ID|4901 7460:001325
NP_001071280.1	gnl|BL_ORD_ID|5270 7460:001496
NP_001071282.1	gnl|BL_ORD_ID|11769 7460:002df9
NP_001071281.1	gnl|BL_ORD_ID|64 7460:000040
NP_001071283.1	gnl|BL_ORD_ID|12211 7460:002fb3
NP_001071284.1	gnl|BL_ORD_ID|9743 7460:00260f
NP_001071287.1	gnl|BL_ORD_ID|14289 7460:0037d1
NP_001071285.1	gnl|BL_ORD_ID|3455 7460:000d7f
NP_001071288.1	gnl|BL_ORD_ID|3651 7460:000e43
NP_001071286.1	gnl|BL_ORD_ID|3184 7460:000c70
NP_001071289.1	gnl|BL_ORD_ID|5286 7460:0014a6
NP_001071290.1	gnl|BL_ORD_ID|5276 7460:00149c
NP_001071291.1	gnl|BL_ORD_ID|7326 7460:001c9e
NP_001035348.1	gnl|BL_ORD_ID|10707 7460:0029d3
NP_001072129.1	gnl|BL_ORD_ID|14288 7460:0037d0
NP_001071293.1	gnl|BL_ORD_ID|9575 7460:002567
NP_001071292.1	gnl|BL_ORD_ID|13048 7460:0032f8
NP_001073029.1	gnl|BL_ORD_ID|7472 7460:001d30
NP_001073028.1	gnl|BL_ORD_ID|12465 7460:0030b1
NP_001073563.2	gnl|BL_ORD_ID|14924 7460:003a4c
NP_001073564.1	gnl|BL_ORD_ID|3265 7460:000cc1
NP_001078813.1	gnl|BL_ORD_ID|12521 7460:0030e9
NP_001078814.1	gnl|BL_ORD_ID|12522 7460:0030ea
NP_001078815.1	gnl|BL_ORD_ID|12526 7460:0030ee
NP_001077099.1	gnl|BL_ORD_ID|10599 7460:002967
NP_001073674.1	gnl|BL_ORD_ID|11294 7460:002c1e
NP_001090623.1	gnl|BL_ORD_ID|13722 7460:00359a
NP_001091636.1	gnl|BL_ORD_ID|374 7460:000176
NP_001091684.1	gnl|BL_ORD_ID|9631 7460:00259f
NP_001091687.1	gnl|BL_ORD_ID|14527 7460:0038bf
NP_001091688.1	gnl|BL_ORD_ID|2030 7460:0007ee
NP_001091691.1	gnl|BL_ORD_ID|3130 7460:000c3a
NP_001091694.1	gnl|BL_ORD_ID|12823 7460:003217
NP_001091693.1	gnl|BL_ORD_ID|8377 7460:0020b9
NP_001091689.1	gnl|BL_ORD_ID|11399 7460:002c87
NP_001091690.1	gnl|BL_ORD_ID|2716 7460:000a9c
NP_001091698.1	gnl|BL_ORD_ID|14514 7460:0038b2
NP_001091685.2	gnl|BL_ORD_ID|7676 7460:001dfc
NP_001091699.1	gnl|BL_ORD_ID|12824 7460:003218
NP_001091704.1	gnl|BL_ORD_ID|5179 7460:00143b
NP_001091702.1	gnl|BL_ORD_ID|14924 7460:003a4c
NP_001104182.1	gnl|BL_ORD_ID|5766 7460:001686
NP_001092187.1	gnl|BL_ORD_ID|11173 7460:002ba5
NP_001104234.1	gnl|BL_ORD_ID|11175 7460:002ba7
NP_001104725.1	gnl|BL_ORD_ID|14354 7460:003812
NP_001098419.1	gnl|BL_ORD_ID|145 7460:000091
NP_001106141.1	gnl|BL_ORD_ID|14786 7460:0039c2
NP_001073579.1	gnl|BL_ORD_ID|6879 7460:001adf
NP_001106142.2	gnl|BL_ORD_ID|6705 7460:001a31
NP_001094493.1	gnl|BL_ORD_ID|4757 7460:001295
NP_001106756.1	gnl|BL_ORD_ID|6777 7460:001a79
NP_001106140.1	gnl|BL_ORD_ID|6680 7460:001a18
NP_001107211.1	gnl|BL_ORD_ID|14607 7460:00390f
NP_001107670.1	gnl|BL_ORD_ID|14751 7460:00399f
NP_001119715.1	gnl|BL_ORD_ID|4786 7460:0012b2
NP_001119716.1	gnl|BL_ORD_ID|13133 7460:00334d
NP_001127805.1	gnl|BL_ORD_ID|13233 7460:0033b1
NP_001107660.1	gnl|BL_ORD_ID|14708 7460:003974
NP_001108550.1	gnl|BL_ORD_ID|7137 7460:001be1
NP_001124510.1	gnl|BL_ORD_ID|4456 7460:001168
NP_001127699.1	gnl|BL_ORD_ID|12180 7460:002f94
NP_001127843.1	gnl|BL_ORD_ID|12808 7460:003208
NP_001116485.2	gnl|BL_ORD_ID|4375 7460:001117
NP_001124509.1	gnl|BL_ORD_ID|91 7460:00005b
NP_001128194.1	gnl|BL_ORD_ID|6438 7460:001926
NP_001128141.1	gnl|BL_ORD_ID|3159 7460:000c57
NP_001128140.1	gnl|BL_ORD_ID|3158 7460:000c56
NP_001128407.1	gnl|BL_ORD_ID|14354 7460:003812
NP_001128408.1	gnl|BL_ORD_ID|14354 7460:003812
NP_001128406.1	gnl|BL_ORD_ID|14237 7460:00379d
NP_001128412.1	gnl|BL_ORD_ID|698 7460:0002ba
NP_001128300.1	gnl|BL_ORD_ID|6682 7460:001a1a
NP_001128414.1	gnl|BL_ORD_ID|699 7460:0002bb
NP_001128415.1	gnl|BL_ORD_ID|696 7460:0002b8
NP_001128419.1	gnl|BL_ORD_ID|3406 7460:000d4e
NP_001129377.1	gnl|BL_ORD_ID|7285 7460:001c75
NP_001129207.1	gnl|BL_ORD_ID|642 7460:000282
NP_001128421.1	gnl|BL_ORD_ID|9091 7460:002383
NP_001128420.1	gnl|BL_ORD_ID|3079 7460:000c07
NP_001129659.1	gnl|BL_ORD_ID|5233 7460:001471
NP_001128422.1	gnl|BL_ORD_ID|9092 7460:002384
NP_001129679.1	gnl|BL_ORD_ID|13007 7460:0032cf
NP_001129678.1	gnl|BL_ORD_ID|13006 7460:0032ce
NP_001129680.1	gnl|BL_ORD_ID|13008 7460:0032d0
NP_001135933.1	gnl|BL_ORD_ID|400 7460:000190
NP_001135436.1	gnl|BL_ORD_ID|2072 7460:000818
NP_001129681.1	gnl|BL_ORD_ID|13009 7460:0032d1
NP_001136079.1	gnl|BL_ORD_ID|90 7460:00005a
NP_001135908.1	gnl|BL_ORD_ID|5272 7460:001498
NP_001136033.1	gnl|BL_ORD_ID|13673 7460:003569
NP_001136081.1	gnl|BL_ORD_ID|7598 7460:001dae
NP_001136128.1	gnl|BL_ORD_ID|9102 7460:00238e
NP_001136165.1	gnl|BL_ORD_ID|8288 7460:002060
NP_001138311.1	gnl|BL_ORD_ID|3415 7460:000d57
NP_001137350.1	gnl|BL_ORD_ID|9743 7460:00260f
NP_001137351.1	gnl|BL_ORD_ID|9743 7460:00260f
NP_001137352.1	gnl|BL_ORD_ID|9743 7460:00260f
NP_001137393.1	gnl|BL_ORD_ID|4592 7460:0011f0
NP_001139207.1	gnl|BL_ORD_ID|14150 7460:003746
NP_001136109.1	gnl|BL_ORD_ID|965 7460:0003c5
NP_001139208.1	gnl|BL_ORD_ID|2480 7460:0009b0
NP_001139209.1	gnl|BL_ORD_ID|2751 7460:000abf
NP_001139210.1	gnl|BL_ORD_ID|821 7460:000335
NP_001152775.1	gnl|BL_ORD_ID|136 7460:000088
NP_001139211.1	gnl|BL_ORD_ID|2674 7460:000a72
NP_001153520.1	gnl|BL_ORD_ID|2184 7460:000888
NP_001139212.1	gnl|BL_ORD_ID|11724 7460:002dcc
NP_001153522.1	gnl|BL_ORD_ID|820 7460:000334
NP_001153524.1	gnl|BL_ORD_ID|8686 7460:0021ee
NP_001153742.1	gnl|BL_ORD_ID|8485 7460:002125
NP_001152827.1	gnl|BL_ORD_ID|7676 7460:001dfc
NP_001155259.1	gnl|BL_ORD_ID|14465 7460:003881
NP_001153544.1	gnl|BL_ORD_ID|10134 7460:002796
NP_001155260.1	gnl|BL_ORD_ID|14465 7460:003881
NP_001155303.1	gnl|BL_ORD_ID|5355 7460:0014eb
NP_001155181.1	gnl|BL_ORD_ID|5166 7460:00142e
NP_001153877.1	gnl|BL_ORD_ID|3293 7460:000cdd
NP_001155870.1	gnl|BL_ORD_ID|1597 7460:00063d
NP_001156935.1	gnl|BL_ORD_ID|10822 7460:002a46
NP_001153536.1	gnl|BL_ORD_ID|926 7460:00039e
NP_001155988.1	gnl|BL_ORD_ID|4328 7460:0010e8
NP_001155985.1	gnl|BL_ORD_ID|15281 7460:003bb1
NP_001157187.1	gnl|BL_ORD_ID|11216 7460:002bd0
NP_001157188.1	gnl|BL_ORD_ID|7434 7460:001d0a
NP_001157186.1	gnl|BL_ORD_ID|2559 7460:0009ff
NP_001157189.1	gnl|BL_ORD_ID|5371 7460:0014fb
NP_001157184.1	gnl|BL_ORD_ID|3867 7460:000f1b
NP_001158282.1	gnl|BL_ORD_ID|12804 7460:003204
NP_001158281.1	gnl|BL_ORD_ID|12803 7460:003203
NP_001157480.1	gnl|BL_ORD_ID|325 7460:000145
NP_001161181.1	gnl|BL_ORD_ID|7554 7460:001d82
NP_001161192.1	gnl|BL_ORD_ID|10217 7460:0027e9
NP_001159378.1	gnl|BL_ORD_ID|13563 7460:0034fb
NP_001161308.1	gnl|BL_ORD_ID|4749 7460:00128d
NP_001161808.1	gnl|BL_ORD_ID|13985 7460:0036a1
NP_001161365.1	gnl|BL_ORD_ID|9984 7460:002700
NP_001164443.1	gnl|BL_ORD_ID|2315 7460:00090b
NP_001162171.1	gnl|BL_ORD_ID|10782 7460:002a1e
NP_001159377.1	gnl|BL_ORD_ID|2596 7460:000a24
NP_001161897.1	gnl|BL_ORD_ID|2956 7460:000b8c
NP_001164444.1	gnl|BL_ORD_ID|1340 7460:00053c
NP_001164445.1	gnl|BL_ORD_ID|5115 7460:0013fb
NP_001159376.1	gnl|BL_ORD_ID|11359 7460:002c5f
NP_001164477.1	gnl|BL_ORD_ID|3844 7460:000f04
NP_001165874.1	gnl|BL_ORD_ID|2537 7460:0009e9
NP_001164640.1	gnl|BL_ORD_ID|7274 7460:001c6a
NP_001165850.1	gnl|BL_ORD_ID|1851 7460:00073b
NP_001165876.1	gnl|BL_ORD_ID|10699 7460:0029cb
NP_001165849.1	gnl|BL_ORD_ID|1168 7460:000490
NP_001165860.1	gnl|BL_ORD_ID|1145 7460:000479
NP_001164579.1	gnl|BL_ORD_ID|7627 7460:001dcb
NP_001165875.1	gnl|BL_ORD_ID|6763 7460:001a6b
NP_001164522.1	gnl|BL_ORD_ID|6996 7460:001b54
NP_001167610.1	gnl|BL_ORD_ID|2778 7460:000ada
NP_001167615.1	gnl|BL_ORD_ID|12520 7460:0030e8
NP_001167614.1	gnl|BL_ORD_ID|431 7460:0001af
NP_001166189.1	gnl|BL_ORD_ID|9504 7460:002520
NP_001167611.1	gnl|BL_ORD_ID|2474 7460:0009aa
NP_001167612.1	gnl|BL_ORD_ID|8597 7460:002195
NP_001165877.1	gnl|BL_ORD_ID|2536 7460:0009e8
NP_001170961.1	gnl|BL_ORD_ID|8367 7460:0020af
NP_001167616.1	gnl|BL_ORD_ID|12517 7460:0030e5
NP_001171374.1	gnl|BL_ORD_ID|3395 7460:000d43
NP_001167613.1	gnl|BL_ORD_ID|6278 7460:001886
NP_001171492.1	gnl|BL_ORD_ID|7122 7460:001bd2
NP_001171493.1	gnl|BL_ORD_ID|7122 7460:001bd2
NP_001171495.1	gnl|BL_ORD_ID|10082 7460:002762
NP_001171494.1	gnl|BL_ORD_ID|10082 7460:002762
NP_001171498.1	gnl|BL_ORD_ID|7507 7460:001d53
NP_001171497.1	gnl|BL_ORD_ID|686 7460:0002ae
NP_001171496.1	gnl|BL_ORD_ID|686 7460:0002ae
NP_001171499.1	gnl|BL_ORD_ID|9800 7460:002648
NP_001171518.1	gnl|BL_ORD_ID|14322 7460:0037f2
NP_001171519.1	gnl|BL_ORD_ID|4856 7460:0012f8
NP_001171538.1	gnl|BL_ORD_ID|4253 7460:00109d
NP_001171540.1	gnl|BL_ORD_ID|1354 7460:00054a
NP_001172015.1	gnl|BL_ORD_ID|11989 7460:002ed5
NP_001172033.1	gnl|BL_ORD_ID|7869 7460:001ebd
NP_001172008.1	gnl|BL_ORD_ID|11990 7460:002ed6
NP_001172073.1	gnl|BL_ORD_ID|10427 7460:0028bb
NP_001172074.1	gnl|BL_ORD_ID|4104 7460:001008
NP_001172034.1	gnl|BL_ORD_ID|14101 7460:003715
NP_001172075.1	gnl|BL_ORD_ID|4104 7460:001008
NP_001177743.1	gnl|BL_ORD_ID|8534 7460:002156
NP_001177350.1	gnl|BL_ORD_ID|14782 7460:0039be
NP_001177849.1	gnl|BL_ORD_ID|10152 7460:0027a8
NP_001177850.1	gnl|BL_ORD_ID|12910 7460:00326e
NP_001180219.1	gnl|BL_ORD_ID|8940 7460:0022ec
NP_001189389.1	gnl|BL_ORD_ID|2483 7460:0009b3
NP_001191178.1	gnl|BL_ORD_ID|10867 7460:002a73
NP_001191680.1	gnl|BL_ORD_ID|2051 7460:000803
NP_001192152.1	gnl|BL_ORD_ID|5218 7460:001462
NP_001193396.1	gnl|BL_ORD_ID|14882 7460:003a22
NP_001191991.1	gnl|BL_ORD_ID|11475 7460:002cd3
NP_001193395.1	gnl|BL_ORD_ID|14883 7460:003a23
NP_001193899.1	gnl|BL_ORD_ID|3905 7460:000f41
NP_001193902.1	gnl|BL_ORD_ID|3925 7460:000f55
NP_001207415.1	gnl|BL_ORD_ID|2182 7460:000886
NP_001201833.1	gnl|BL_ORD_ID|7378 7460:001cd2
NP_001177977.2	gnl|BL_ORD_ID|5086 7460:0013de
NP_001207416.1	gnl|BL_ORD_ID|2183 7460:000887
NP_001229360.1	gnl|BL_ORD_ID|8438 7460:0020f6
NP_001229315.1	gnl|BL_ORD_ID|3985 7460:000f91
NP_001229361.1	gnl|BL_ORD_ID|5436 7460:00153c
NP_001193898.1	gnl|BL_ORD_ID|3923 7460:000f53
NP_001229362.1	gnl|BL_ORD_ID|3083 7460:000c0b
NP_001229316.1	gnl|BL_ORD_ID|4021 7460:000fb5
NP_001229369.1	gnl|BL_ORD_ID|12008 7460:002ee8
NP_001229363.1	gnl|BL_ORD_ID|2202 7460:00089a
NP_001229365.1	gnl|BL_ORD_ID|8235 7460:00202b
NP_001229364.1	gnl|BL_ORD_ID|2207 7460:00089f
NP_001229370.1	gnl|BL_ORD_ID|12009 7460:002ee9
NP_001229366.1	gnl|BL_ORD_ID|8235 7460:00202b
NP_001229386.1	gnl|BL_ORD_ID|3467 7460:000d8b
NP_001229385.1	gnl|BL_ORD_ID|3391 7460:000d3f
NP_001229396.1	gnl|BL_ORD_ID|13251 7460:0033c3
NP_001229398.1	gnl|BL_ORD_ID|9139 7460:0023b3
NP_001229387.1	gnl|BL_ORD_ID|1563 7460:00061b
NP_001229442.1	gnl|BL_ORD_ID|14793 7460:0039c9
NP_001229397.1	gnl|BL_ORD_ID|13691 7460:00357b
NP_001229394.1	gnl|BL_ORD_ID|10863 7460:002a6f
NP_001229443.1	gnl|BL_ORD_ID|11787 7460:002e0b
NP_001229444.1	gnl|BL_ORD_ID|4415 7460:00113f
NP_001229446.1	gnl|BL_ORD_ID|5904 7460:001710
NP_001229448.1	gnl|BL_ORD_ID|1171 7460:000493
NP_001229399.1	gnl|BL_ORD_ID|2887 7460:000b47
NP_001229449.1	gnl|BL_ORD_ID|5948 7460:00173c
NP_001229445.1	gnl|BL_ORD_ID|4415 7460:00113f
NP_001229451.1	gnl|BL_ORD_ID|2523 7460:0009db
NP_001229456.1	gnl|BL_ORD_ID|14700 7460:00396c
NP_001229455.1	gnl|BL_ORD_ID|8887 7460:0022b7
NP_001229471.1	gnl|BL_ORD_ID|1772 7460:0006ec
NP_001229473.1	gnl|BL_ORD_ID|6336 7460:0018c0
NP_001229452.1	gnl|BL_ORD_ID|14567 7460:0038e7
NP_001229484.1	gnl|BL_ORD_ID|10153 7460:0027a9
NP_001229483.1	gnl|BL_ORD_ID|2034 7460:0007f2
NP_001229485.1	gnl|BL_ORD_ID|9878 7460:002696
NP_001229486.1	gnl|BL_ORD_ID|8300 7460:00206c
NP_001229447.1	gnl|BL_ORD_ID|13990 7460:0036a6
NP_001229507.1	gnl|BL_ORD_ID|5243 7460:00147b
NP_001229506.1	gnl|BL_ORD_ID|5242 7460:00147a
NP_001229585.1	gnl|BL_ORD_ID|439 7460:0001b7
NP_001229505.1	gnl|BL_ORD_ID|11720 7460:002dc8
NP_001229508.1	gnl|BL_ORD_ID|12099 7460:002f43
NP_001229586.1	gnl|BL_ORD_ID|439 7460:0001b7
NP_001229887.1	gnl|BL_ORD_ID|11804 7460:002e1c
NP_001229888.1	gnl|BL_ORD_ID|11805 7460:002e1d
NP_001229889.1	gnl|BL_ORD_ID|11809 7460:002e21
NP_001229891.1	gnl|BL_ORD_ID|11811 7460:002e23
NP_001229893.1	gnl|BL_ORD_ID|11814 7460:002e26
NP_001229892.1	gnl|BL_ORD_ID|11812 7460:002e24
NP_001229890.1	gnl|BL_ORD_ID|11810 7460:002e22
NP_001229894.1	gnl|BL_ORD_ID|11814 7460:002e26
NP_001229895.1	gnl|BL_ORD_ID|11819 7460:002e2b
NP_001229896.1	gnl|BL_ORD_ID|11825 7460:002e31
NP_001229503.1	gnl|BL_ORD_ID|7804 7460:001e7c
NP_001229897.1	gnl|BL_ORD_ID|11826 7460:002e32
NP_001229898.1	gnl|BL_ORD_ID|11827 7460:002e33
NP_001229899.1	gnl|BL_ORD_ID|11830 7460:002e36
NP_001229904.1	gnl|BL_ORD_ID|11849 7460:002e49
NP_001229901.1	gnl|BL_ORD_ID|11837 7460:002e3d
NP_001229900.1	gnl|BL_ORD_ID|11835 7460:002e3b
NP_001229902.1	gnl|BL_ORD_ID|11841 7460:002e41
NP_001229905.1	gnl|BL_ORD_ID|11851 7460:002e4b
NP_001229906.1	gnl|BL_ORD_ID|11851 7460:002e4b
NP_001229907.1	gnl|BL_ORD_ID|11851 7460:002e4b
NP_001229908.1	gnl|BL_ORD_ID|11854 7460:002e4e
NP_001229909.1	gnl|BL_ORD_ID|11855 7460:002e4f
NP_001229910.1	gnl|BL_ORD_ID|11855 7460:002e4f
NP_001229914.1	gnl|BL_ORD_ID|4835 7460:0012e3
NP_001229911.1	gnl|BL_ORD_ID|11856 7460:002e50
NP_001229913.1	gnl|BL_ORD_ID|9593 7460:002579
NP_001229916.1	gnl|BL_ORD_ID|634 7460:00027a
NP_001229915.1	gnl|BL_ORD_ID|4838 7460:0012e6
NP_001229917.1	gnl|BL_ORD_ID|635 7460:00027b
NP_001229912.1	gnl|BL_ORD_ID|11858 7460:002e52
NP_001229918.1	gnl|BL_ORD_ID|12745 7460:0031c9
NP_001229919.1	gnl|BL_ORD_ID|15202 7460:003b62
NP_001229920.1	gnl|BL_ORD_ID|15205 7460:003b65
