NP_001014456.1	gnl|BL_ORD_ID|10184 7227:0027c8
NP_001014546.1	gnl|BL_ORD_ID|6301 7227:00189d
NP_001014527.1	gnl|BL_ORD_ID|12849 7227:003231
NP_001014545.3	gnl|BL_ORD_ID|11422 7227:002c9e
NP_001014554.1	gnl|BL_ORD_ID|13683 7227:003573
NP_001014549.1	gnl|BL_ORD_ID|6313 7227:0018a9
NP_001014543.1	gnl|BL_ORD_ID|0 7227:000000
NP_001014553.1	gnl|BL_ORD_ID|13618 7227:003532
NP_001014555.1	gnl|BL_ORD_ID|11029 7227:002b15
NP_001014556.1	gnl|BL_ORD_ID|9965 7227:0026ed
NP_001014552.1	gnl|BL_ORD_ID|13618 7227:003532
NP_001014558.1	gnl|BL_ORD_ID|11419 7227:002c9b
NP_001014557.3	gnl|BL_ORD_ID|12436 7227:003094
NP_001014559.1	gnl|BL_ORD_ID|6653 7227:0019fd
NP_001014560.1	gnl|BL_ORD_ID|6653 7227:0019fd
NP_001014561.1	gnl|BL_ORD_ID|13087 7227:00331f
NP_001014562.1	gnl|BL_ORD_ID|13087 7227:00331f
NP_001014563.1	gnl|BL_ORD_ID|13087 7227:00331f
NP_001014566.1	gnl|BL_ORD_ID|11423 7227:002c9f
NP_001014567.1	gnl|BL_ORD_ID|11423 7227:002c9f
NP_001014564.1	gnl|BL_ORD_ID|13087 7227:00331f
NP_001014568.1	gnl|BL_ORD_ID|11423 7227:002c9f
NP_001014569.1	gnl|BL_ORD_ID|11423 7227:002c9f
NP_001014573.1	gnl|BL_ORD_ID|274 7227:000112
NP_001014572.1	gnl|BL_ORD_ID|1885 7227:00075d
NP_001014579.1	gnl|BL_ORD_ID|6928 7227:001b10
NP_001014580.1	gnl|BL_ORD_ID|6928 7227:001b10
NP_001014577.1	gnl|BL_ORD_ID|261 7227:000105
NP_001014571.1	gnl|BL_ORD_ID|11437 7227:002cad
NP_001014581.1	gnl|BL_ORD_ID|7035 7227:001b7b
NP_001014565.2	gnl|BL_ORD_ID|699 7227:0002bb
NP_001014584.1	gnl|BL_ORD_ID|2417 7227:000971
NP_001014583.1	gnl|BL_ORD_ID|934 7227:0003a6
NP_001014586.1	gnl|BL_ORD_ID|1402 7227:00057a
NP_001014587.1	gnl|BL_ORD_ID|1402 7227:00057a
NP_001014585.1	gnl|BL_ORD_ID|7301 7227:001c85
NP_001014582.1	gnl|BL_ORD_ID|199 7227:0000c7
NP_001014589.1	gnl|BL_ORD_ID|12877 7227:00324d
NP_001014592.1	gnl|BL_ORD_ID|508 7227:0001fc
NP_001014593.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014594.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014574.1	gnl|BL_ORD_ID|1887 7227:00075f
NP_001014597.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014595.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014596.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014591.1	gnl|BL_ORD_ID|13009 7227:0032d1
NP_001014598.1	gnl|BL_ORD_ID|12315 7227:00301b
NP_001014599.2	gnl|BL_ORD_ID|1283 7227:000503
NP_001014600.1	gnl|BL_ORD_ID|7759 7227:001e4f
NP_001014576.1	gnl|BL_ORD_ID|1887 7227:00075f
NP_001014602.1	gnl|BL_ORD_ID|10012 7227:00271c
NP_001014603.1	gnl|BL_ORD_ID|10012 7227:00271c
NP_001014606.2	gnl|BL_ORD_ID|7844 7227:001ea4
NP_001014604.1	gnl|BL_ORD_ID|7798 7227:001e76
NP_001014607.1	gnl|BL_ORD_ID|7846 7227:001ea6
NP_001014605.1	gnl|BL_ORD_ID|907 7227:00038b
NP_001014608.1	gnl|BL_ORD_ID|10024 7227:002728
NP_001014609.2	gnl|BL_ORD_ID|12179 7227:002f93
NP_001014590.1	gnl|BL_ORD_ID|182 7227:0000b6
NP_001014610.1	gnl|BL_ORD_ID|12179 7227:002f93
NP_001014611.1	gnl|BL_ORD_ID|8126 7227:001fbe
NP_001014612.1	gnl|BL_ORD_ID|8146 7227:001fd2
NP_001014613.2	gnl|BL_ORD_ID|290 7227:000122
NP_001014614.1	gnl|BL_ORD_ID|1748 7227:0006d4
NP_001014616.2	gnl|BL_ORD_ID|11417 7227:002c99
NP_001014617.1	gnl|BL_ORD_ID|1765 7227:0006e5
NP_001014620.1	gnl|BL_ORD_ID|8448 7227:002100
NP_001014619.2	gnl|BL_ORD_ID|816 7227:000330
NP_001014623.1	gnl|BL_ORD_ID|13796 7227:0035e4
NP_001014622.3	gnl|BL_ORD_ID|13796 7227:0035e4
NP_001014626.1	gnl|BL_ORD_ID|12197 7227:002fa5
NP_001014625.1	gnl|BL_ORD_ID|13796 7227:0035e4
NP_001014601.1	gnl|BL_ORD_ID|2406 7227:000966
NP_001014628.1	gnl|BL_ORD_ID|12197 7227:002fa5
NP_001014627.2	gnl|BL_ORD_ID|12197 7227:002fa5
NP_001014629.1	gnl|BL_ORD_ID|1764 7227:0006e4
NP_001014633.2	gnl|BL_ORD_ID|13339 7227:00341b
NP_001014624.1	gnl|BL_ORD_ID|13796 7227:0035e4
NP_001014621.1	gnl|BL_ORD_ID|665 7227:000299
NP_001014634.1	gnl|BL_ORD_ID|13330 7227:003412
NP_001014635.1	gnl|BL_ORD_ID|13330 7227:003412
NP_001014636.1	gnl|BL_ORD_ID|13330 7227:003412
NP_001014637.1	gnl|BL_ORD_ID|13330 7227:003412
NP_001014639.1	gnl|BL_ORD_ID|8745 7227:002229
NP_001014641.2	gnl|BL_ORD_ID|2056 7227:000808
NP_001014643.1	gnl|BL_ORD_ID|1647 7227:00066f
NP_001014644.3	gnl|BL_ORD_ID|8912 7227:0022d0
NP_001014646.1	gnl|BL_ORD_ID|11269 7227:002c05
NP_001014642.4	gnl|BL_ORD_ID|13138 7227:003352
NP_001014631.3	gnl|BL_ORD_ID|13386 7227:00344a
NP_001014647.2	gnl|BL_ORD_ID|1151 7227:00047f
NP_001014648.2	gnl|BL_ORD_ID|1151 7227:00047f
NP_001014649.2	gnl|BL_ORD_ID|1151 7227:00047f
NP_001014630.3	gnl|BL_ORD_ID|11433 7227:002ca9
NP_001014650.2	gnl|BL_ORD_ID|1151 7227:00047f
NP_001014651.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014652.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014653.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014656.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014655.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014654.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014657.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014659.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014658.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014660.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014632.3	gnl|BL_ORD_ID|13386 7227:00344a
NP_001014662.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014661.2	gnl|BL_ORD_ID|598 7227:000256
NP_001014663.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014664.1	gnl|BL_ORD_ID|598 7227:000256
NP_001014666.1	gnl|BL_ORD_ID|9229 7227:00240d
NP_001014665.1	gnl|BL_ORD_ID|9229 7227:00240d
NP_001014667.1	gnl|BL_ORD_ID|9229 7227:00240d
NP_001014672.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014668.1	gnl|BL_ORD_ID|1474 7227:0005c2
NP_001014671.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014673.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014669.1	gnl|BL_ORD_ID|13272 7227:0033d8
NP_001014675.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014674.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014670.2	gnl|BL_ORD_ID|13272 7227:0033d8
NP_001014676.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014677.1	gnl|BL_ORD_ID|903 7227:000387
NP_001014680.1	gnl|BL_ORD_ID|13668 7227:003564
NP_001014678.1	gnl|BL_ORD_ID|13668 7227:003564
NP_001014682.1	gnl|BL_ORD_ID|13668 7227:003564
NP_001014684.1	gnl|BL_ORD_ID|9489 7227:002511
NP_001014687.3	gnl|BL_ORD_ID|12293 7227:003005
NP_001014688.3	gnl|BL_ORD_ID|12293 7227:003005
NP_001014685.1	gnl|BL_ORD_ID|12002 7227:002ee2
NP_001014689.3	gnl|BL_ORD_ID|12293 7227:003005
NP_001014695.1	gnl|BL_ORD_ID|9624 7227:002598
NP_001014694.1	gnl|BL_ORD_ID|928 7227:0003a0
NP_001014693.1	gnl|BL_ORD_ID|928 7227:0003a0
NP_001014696.1	gnl|BL_ORD_ID|13485 7227:0034ad
NP_001014698.1	gnl|BL_ORD_ID|929 7227:0003a1
NP_001014697.1	gnl|BL_ORD_ID|929 7227:0003a1
NP_001014679.1	gnl|BL_ORD_ID|13668 7227:003564
NP_001014691.2	gnl|BL_ORD_ID|10882 7227:002a82
NP_001014699.1	gnl|BL_ORD_ID|929 7227:0003a1
NP_001014702.1	gnl|BL_ORD_ID|12193 7227:002fa1
NP_001014701.1	gnl|BL_ORD_ID|929 7227:0003a1
NP_001014703.1	gnl|BL_ORD_ID|12193 7227:002fa1
NP_001014705.1	gnl|BL_ORD_ID|12193 7227:002fa1
NP_001014707.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014708.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014710.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014709.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014711.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014681.2	gnl|BL_ORD_ID|13668 7227:003564
NP_001014712.1	gnl|BL_ORD_ID|925 7227:00039d
NP_001014714.1	gnl|BL_ORD_ID|11418 7227:002c9a
NP_001014717.1	gnl|BL_ORD_ID|11434 7227:002caa
NP_001014715.1	gnl|BL_ORD_ID|11418 7227:002c9a
NP_001014706.2	gnl|BL_ORD_ID|2858 7227:000b2a
NP_001014718.1	gnl|BL_ORD_ID|11434 7227:002caa
NP_001014713.1	gnl|BL_ORD_ID|12477 7227:0030bd
NP_001014716.1	gnl|BL_ORD_ID|11418 7227:002c9a
NP_001014719.2	gnl|BL_ORD_ID|12517 7227:0030e5
NP_001014720.1	gnl|BL_ORD_ID|13092 7227:003324
NP_001014724.1	gnl|BL_ORD_ID|2940 7227:000b7c
NP_001014723.1	gnl|BL_ORD_ID|2940 7227:000b7c
NP_001014721.1	gnl|BL_ORD_ID|13092 7227:003324
NP_001014725.1	gnl|BL_ORD_ID|13 7227:00000d
NP_001014730.1	gnl|BL_ORD_ID|11438 7227:002cae
NP_001014726.1	gnl|BL_ORD_ID|13 7227:00000d
NP_001014729.1	gnl|BL_ORD_ID|2559 7227:0009ff
NP_001014728.1	gnl|BL_ORD_ID|2559 7227:0009ff
NP_001014731.1	gnl|BL_ORD_ID|85 7227:000055
NP_001014732.1	gnl|BL_ORD_ID|13227 7227:0033ab
NP_001014734.1	gnl|BL_ORD_ID|13227 7227:0033ab
NP_001014733.1	gnl|BL_ORD_ID|13227 7227:0033ab
NP_001014735.1	gnl|BL_ORD_ID|13227 7227:0033ab
NP_001014727.2	gnl|BL_ORD_ID|718 7227:0002ce
NP_001014738.2	gnl|BL_ORD_ID|731 7227:0002db
NP_001014737.1	gnl|BL_ORD_ID|731 7227:0002db
NP_001014740.1	gnl|BL_ORD_ID|532 7227:000214
NP_001014739.1	gnl|BL_ORD_ID|731 7227:0002db
NP_001014722.1	gnl|BL_ORD_ID|486 7227:0001e6
NP_001014741.1	gnl|BL_ORD_ID|532 7227:000214
NP_001014743.1	gnl|BL_ORD_ID|7 7227:000007
NP_001014744.1	gnl|BL_ORD_ID|7 7227:000007
NP_001014736.2	gnl|BL_ORD_ID|9980 7227:0026fc
NP_001014746.1	gnl|BL_ORD_ID|11121 7227:002b71
NP_001014749.1	gnl|BL_ORD_ID|3650 7227:000e42
NP_001014745.1	gnl|BL_ORD_ID|1861 7227:000745
NP_001014752.2	gnl|BL_ORD_ID|12765 7227:0031dd
NP_001014742.1	gnl|BL_ORD_ID|912 7227:000390
NP_001014753.1	gnl|BL_ORD_ID|12765 7227:0031dd
NP_001014754.1	gnl|BL_ORD_ID|12765 7227:0031dd
NP_001014750.1	gnl|BL_ORD_ID|12260 7227:002fe4
NP_001014755.1	gnl|BL_ORD_ID|12765 7227:0031dd
NP_001014747.1	gnl|BL_ORD_ID|743 7227:0002e7
NP_001014756.1	gnl|BL_ORD_ID|12765 7227:0031dd
NP_001015095.1	gnl|BL_ORD_ID|11672 7227:002d98
NP_001014759.1	gnl|BL_ORD_ID|11421 7227:002c9d
NP_001015096.2	gnl|BL_ORD_ID|11672 7227:002d98
NP_001014758.2	gnl|BL_ORD_ID|11421 7227:002c9d
NP_001014757.2	gnl|BL_ORD_ID|11421 7227:002c9d
NP_001014760.2	gnl|BL_ORD_ID|11421 7227:002c9d
NP_001015100.2	gnl|BL_ORD_ID|9653 7227:0025b5
NP_001015119.2	gnl|BL_ORD_ID|11762 7227:002df2
NP_001015101.2	gnl|BL_ORD_ID|9653 7227:0025b5
NP_001015121.3	gnl|BL_ORD_ID|540 7227:00021c
NP_001015132.1	gnl|BL_ORD_ID|12620 7227:00314c
NP_001015122.1	gnl|BL_ORD_ID|540 7227:00021c
NP_001015123.1	gnl|BL_ORD_ID|540 7227:00021c
NP_001015151.1	gnl|BL_ORD_ID|2031 7227:0007ef
NP_001015155.1	gnl|BL_ORD_ID|2698 7227:000a8a
NP_001015152.2	gnl|BL_ORD_ID|2031 7227:0007ef
NP_001015156.1	gnl|BL_ORD_ID|2698 7227:000a8a
NP_001015157.2	gnl|BL_ORD_ID|2407 7227:000967
NP_001015159.2	gnl|BL_ORD_ID|2407 7227:000967
NP_001015158.1	gnl|BL_ORD_ID|2407 7227:000967
NP_001015161.2	gnl|BL_ORD_ID|2407 7227:000967
NP_001015160.2	gnl|BL_ORD_ID|2407 7227:000967
NP_001015162.1	gnl|BL_ORD_ID|2407 7227:000967
NP_001015164.3	gnl|BL_ORD_ID|11671 7227:002d97
NP_001015167.2	gnl|BL_ORD_ID|13892 7227:003644
NP_001015168.2	gnl|BL_ORD_ID|13892 7227:003644
NP_001015176.1	gnl|BL_ORD_ID|11670 7227:002d96
NP_001015175.1	gnl|BL_ORD_ID|11670 7227:002d96
NP_001015174.1	gnl|BL_ORD_ID|11670 7227:002d96
NP_001015187.2	gnl|BL_ORD_ID|11669 7227:002d95
NP_001015212.1	gnl|BL_ORD_ID|11668 7227:002d94
NP_001015188.2	gnl|BL_ORD_ID|11669 7227:002d95
NP_001015214.1	gnl|BL_ORD_ID|11668 7227:002d94
NP_001015213.3	gnl|BL_ORD_ID|11668 7227:002d94
NP_001015223.1	gnl|BL_ORD_ID|9649 7227:0025b1
NP_001015224.1	gnl|BL_ORD_ID|9649 7227:0025b1
NP_001015241.3	gnl|BL_ORD_ID|633 7227:000279
NP_001015255.1	gnl|BL_ORD_ID|9627 7227:00259b
NP_001015221.1	gnl|BL_ORD_ID|9650 7227:0025b2
NP_001015256.2	gnl|BL_ORD_ID|9626 7227:00259a
NP_001015222.1	gnl|BL_ORD_ID|9650 7227:0025b2
NP_001015254.1	gnl|BL_ORD_ID|9628 7227:00259c
NP_001015257.2	gnl|BL_ORD_ID|9626 7227:00259a
NP_001015258.3	gnl|BL_ORD_ID|9652 7227:0025b4
NP_001015261.3	gnl|BL_ORD_ID|13654 7227:003556
NP_001015263.1	gnl|BL_ORD_ID|13654 7227:003556
NP_001015260.3	gnl|BL_ORD_ID|13654 7227:003556
NP_001015262.1	gnl|BL_ORD_ID|13654 7227:003556
NP_001015319.1	gnl|BL_ORD_ID|1795 7227:000703
NP_001015321.1	gnl|BL_ORD_ID|1795 7227:000703
NP_001015316.1	gnl|BL_ORD_ID|9634 7227:0025a2
NP_001015349.2	gnl|BL_ORD_ID|10219 7227:0027eb
NP_001015320.1	gnl|BL_ORD_ID|1795 7227:000703
NP_001015352.3	gnl|BL_ORD_ID|13349 7227:003425
NP_001015354.3	gnl|BL_ORD_ID|9641 7227:0025a9
NP_001015384.1	gnl|BL_ORD_ID|9633 7227:0025a1
NP_001015363.3	gnl|BL_ORD_ID|11667 7227:002d93
NP_001015386.3	gnl|BL_ORD_ID|11702 7227:002db6
NP_001015360.1	gnl|BL_ORD_ID|9632 7227:0025a0
NP_001015383.3	gnl|BL_ORD_ID|9633 7227:0025a1
NP_001015359.1	gnl|BL_ORD_ID|9632 7227:0025a0
NP_001015389.1	gnl|BL_ORD_ID|1804 7227:00070c
NP_001015387.1	gnl|BL_ORD_ID|13902 7227:00364e
NP_001015401.1	gnl|BL_ORD_ID|13376 7227:003440
NP_001015402.3	gnl|BL_ORD_ID|11760 7227:002df0
NP_001015476.1	gnl|BL_ORD_ID|12060 7227:002f1c
NP_001015497.4	gnl|BL_ORD_ID|10217 7227:0027e9
NP_001015473.1	gnl|BL_ORD_ID|2804 7227:000af4
NP_001015405.3	gnl|BL_ORD_ID|9643 7227:0025ab
NP_001015502.3	gnl|BL_ORD_ID|10216 7227:0027e8
NP_001015498.5	gnl|BL_ORD_ID|10210 7227:0027e2
NP_001027029.2	gnl|BL_ORD_ID|11455 7227:002cbf
NP_001027032.1	gnl|BL_ORD_ID|2828 7227:000b0c
NP_001027030.1	gnl|BL_ORD_ID|11455 7227:002cbf
NP_001027031.1	gnl|BL_ORD_ID|11455 7227:002cbf
NP_001015499.4	gnl|BL_ORD_ID|13858 7227:003622
NP_001015505.5	gnl|BL_ORD_ID|313 7227:000139
NP_001027035.3	gnl|BL_ORD_ID|13896 7227:003648
NP_001027033.3	gnl|BL_ORD_ID|13896 7227:003648
NP_001027036.3	gnl|BL_ORD_ID|13896 7227:003648
NP_001027034.1	gnl|BL_ORD_ID|13896 7227:003648
NP_001027043.2	gnl|BL_ORD_ID|11463 7227:002cc7
NP_001027041.1	gnl|BL_ORD_ID|3021 7227:000bcd
NP_001027042.2	gnl|BL_ORD_ID|11458 7227:002cc2
NP_001027037.3	gnl|BL_ORD_ID|13896 7227:003648
NP_001027045.2	gnl|BL_ORD_ID|11461 7227:002cc5
NP_001027038.3	gnl|BL_ORD_ID|13896 7227:003648
NP_001027044.2	gnl|BL_ORD_ID|11462 7227:002cc6
NP_001027046.2	gnl|BL_ORD_ID|11460 7227:002cc4
NP_001027048.1	gnl|BL_ORD_ID|3040 7227:000be0
NP_001027047.2	gnl|BL_ORD_ID|11459 7227:002cc3
NP_001027049.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027051.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027050.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027052.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027053.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027039.2	gnl|BL_ORD_ID|2143 7227:00085f
NP_001027054.1	gnl|BL_ORD_ID|3042 7227:000be2
NP_001027063.1	gnl|BL_ORD_ID|13407 7227:00345f
NP_001027062.1	gnl|BL_ORD_ID|13407 7227:00345f
NP_001027059.1	gnl|BL_ORD_ID|13384 7227:003448
NP_001027065.1	gnl|BL_ORD_ID|13407 7227:00345f
NP_001027069.3	gnl|BL_ORD_ID|2665 7227:000a69
NP_001027070.1	gnl|BL_ORD_ID|11446 7227:002cb6
NP_001027072.1	gnl|BL_ORD_ID|3780 7227:000ec4
NP_001027071.1	gnl|BL_ORD_ID|3780 7227:000ec4
NP_001027074.1	gnl|BL_ORD_ID|2412 7227:00096c
NP_001027068.1	gnl|BL_ORD_ID|410 7227:00019a
NP_001027073.1	gnl|BL_ORD_ID|3780 7227:000ec4
NP_001027075.1	gnl|BL_ORD_ID|2412 7227:00096c
NP_001027058.1	gnl|BL_ORD_ID|13384 7227:003448
NP_001027078.1	gnl|BL_ORD_ID|11739 7227:002ddb
NP_001027079.1	gnl|BL_ORD_ID|11738 7227:002dda
NP_001027083.1	gnl|BL_ORD_ID|11719 7227:002dc7
NP_001027084.1	gnl|BL_ORD_ID|11719 7227:002dc7
NP_001027080.2	gnl|BL_ORD_ID|11421 7227:002c9d
NP_001027081.1	gnl|BL_ORD_ID|3861 7227:000f15
NP_001027085.1	gnl|BL_ORD_ID|11718 7227:002dc6
NP_001027060.1	gnl|BL_ORD_ID|13384 7227:003448
NP_001027086.1	gnl|BL_ORD_ID|11718 7227:002dc6
NP_001027091.1	gnl|BL_ORD_ID|11716 7227:002dc4
NP_001027089.1	gnl|BL_ORD_ID|1968 7227:0007b0
NP_001027092.1	gnl|BL_ORD_ID|6444 7227:00192c
NP_001027087.1	gnl|BL_ORD_ID|1989 7227:0007c5
NP_001027094.1	gnl|BL_ORD_ID|6444 7227:00192c
NP_001027093.1	gnl|BL_ORD_ID|6444 7227:00192c
NP_001027088.1	gnl|BL_ORD_ID|1989 7227:0007c5
NP_001027095.1	gnl|BL_ORD_ID|6443 7227:00192b
NP_001027082.1	gnl|BL_ORD_ID|11721 7227:002dc9
NP_001027097.1	gnl|BL_ORD_ID|6470 7227:001946
NP_001027096.1	gnl|BL_ORD_ID|6443 7227:00192b
NP_001027098.1	gnl|BL_ORD_ID|6470 7227:001946
NP_001027100.1	gnl|BL_ORD_ID|6471 7227:001947
NP_001027099.1	gnl|BL_ORD_ID|6471 7227:001947
NP_001027105.2	gnl|BL_ORD_ID|6620 7227:0019dc
NP_001027101.1	gnl|BL_ORD_ID|6471 7227:001947
NP_001027102.1	gnl|BL_ORD_ID|6471 7227:001947
NP_001027104.1	gnl|BL_ORD_ID|13783 7227:0035d7
NP_001027107.1	gnl|BL_ORD_ID|11483 7227:002cdb
NP_001027109.2	gnl|BL_ORD_ID|10146 7227:0027a2
NP_001027106.1	gnl|BL_ORD_ID|10172 7227:0027bc
NP_001027108.1	gnl|BL_ORD_ID|11494 7227:002ce6
NP_001027110.2	gnl|BL_ORD_ID|10146 7227:0027a2
NP_001027113.1	gnl|BL_ORD_ID|12499 7227:0030d3
NP_001027111.1	gnl|BL_ORD_ID|12499 7227:0030d3
NP_001027114.1	gnl|BL_ORD_ID|281 7227:000119
NP_001027112.1	gnl|BL_ORD_ID|12499 7227:0030d3
NP_001027115.1	gnl|BL_ORD_ID|281 7227:000119
