XP_012521284.1	gnl|BL_ORD_ID|8850 307658:002292
XP_012521369.1	gnl|BL_ORD_ID|12964 307658:0032a4
XP_012521373.1	gnl|BL_ORD_ID|12624 307658:003150
XP_012521374.1	gnl|BL_ORD_ID|12624 307658:003150
XP_012521375.1	gnl|BL_ORD_ID|12625 307658:003151
XP_012521376.1	gnl|BL_ORD_ID|19173 307658:004ae5
XP_012521378.1	gnl|BL_ORD_ID|12627 307658:003153
XP_012521377.1	gnl|BL_ORD_ID|12626 307658:003152
XP_012521379.1	gnl|BL_ORD_ID|12628 307658:003154
XP_012521380.1	gnl|BL_ORD_ID|12628 307658:003154
XP_012521381.1	gnl|BL_ORD_ID|12628 307658:003154
XP_012521382.1	gnl|BL_ORD_ID|12629 307658:003155
XP_012521383.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521384.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521385.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521386.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521387.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521388.1	gnl|BL_ORD_ID|12630 307658:003156
XP_012521389.1	gnl|BL_ORD_ID|8626 307658:0021b2
XP_012521390.1	gnl|BL_ORD_ID|12631 307658:003157
XP_012521391.1	gnl|BL_ORD_ID|13279 307658:0033df
XP_012521393.1	gnl|BL_ORD_ID|13280 307658:0033e0
XP_012521394.1	gnl|BL_ORD_ID|13280 307658:0033e0
XP_012521392.1	gnl|BL_ORD_ID|13279 307658:0033df
XP_012521395.1	gnl|BL_ORD_ID|13280 307658:0033e0
XP_012521396.1	gnl|BL_ORD_ID|13280 307658:0033e0
XP_012521397.1	gnl|BL_ORD_ID|8626 307658:0021b2
XP_012521399.1	gnl|BL_ORD_ID|18094 307658:0046ae
XP_012521400.1	gnl|BL_ORD_ID|18094 307658:0046ae
XP_012521398.1	gnl|BL_ORD_ID|13280 307658:0033e0
XP_012521402.1	gnl|BL_ORD_ID|12352 307658:003040
XP_012521401.1	gnl|BL_ORD_ID|12351 307658:00303f
XP_012521403.1	gnl|BL_ORD_ID|12352 307658:003040
XP_012521404.1	gnl|BL_ORD_ID|12352 307658:003040
XP_012521405.1	gnl|BL_ORD_ID|12352 307658:003040
XP_012521406.1	gnl|BL_ORD_ID|12352 307658:003040
XP_012521407.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521408.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521409.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521410.1	gnl|BL_ORD_ID|20394 307658:004faa
XP_012521411.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521412.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521413.1	gnl|BL_ORD_ID|12353 307658:003041
XP_012521414.1	gnl|BL_ORD_ID|12354 307658:003042
XP_012521415.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521420.1	gnl|BL_ORD_ID|20394 307658:004faa
XP_012521416.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521417.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521419.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521418.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521424.1	gnl|BL_ORD_ID|6902 307658:001af6
XP_012521425.1	gnl|BL_ORD_ID|6903 307658:001af7
XP_012521426.1	gnl|BL_ORD_ID|6904 307658:001af8
XP_012521421.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521422.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521423.1	gnl|BL_ORD_ID|12355 307658:003043
XP_012521429.1	gnl|BL_ORD_ID|10240 307658:002800
XP_012521428.1	gnl|BL_ORD_ID|20394 307658:004faa
XP_012521427.1	gnl|BL_ORD_ID|917 307658:000395
XP_012521430.1	gnl|BL_ORD_ID|18234 307658:00473a
XP_012521432.1	gnl|BL_ORD_ID|18235 307658:00473b
XP_012521431.1	gnl|BL_ORD_ID|18234 307658:00473a
XP_012521433.1	gnl|BL_ORD_ID|20638 307658:00509e
XP_012521434.1	gnl|BL_ORD_ID|1488 307658:0005d0
XP_012521435.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521436.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521438.1	gnl|BL_ORD_ID|2108 307658:00083c
XP_012521437.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521439.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521440.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521443.1	gnl|BL_ORD_ID|18829 307658:00498d
XP_012521441.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521442.1	gnl|BL_ORD_ID|18829 307658:00498d
XP_012521445.1	gnl|BL_ORD_ID|2412 307658:00096c
XP_012521444.1	gnl|BL_ORD_ID|9645 307658:0025ad
XP_012521449.1	gnl|BL_ORD_ID|10560 307658:002940
XP_012521447.1	gnl|BL_ORD_ID|12692 307658:003194
XP_012521448.1	gnl|BL_ORD_ID|14020 307658:0036c4
XP_012521451.1	gnl|BL_ORD_ID|2261 307658:0008d5
XP_012521450.1	gnl|BL_ORD_ID|11648 307658:002d80
XP_012521446.1	gnl|BL_ORD_ID|15785 307658:003da9
XP_012521453.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521454.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521452.1	gnl|BL_ORD_ID|7964 307658:001f1c
XP_012521456.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521455.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521457.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521460.1	gnl|BL_ORD_ID|18845 307658:00499d
XP_012521459.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521461.1	gnl|BL_ORD_ID|18829 307658:00498d
XP_012521458.1	gnl|BL_ORD_ID|18844 307658:00499c
XP_012521462.1	gnl|BL_ORD_ID|18829 307658:00498d
XP_012521463.1	gnl|BL_ORD_ID|19417 307658:004bd9
XP_012521464.1	gnl|BL_ORD_ID|2456 307658:000998
XP_012521465.1	gnl|BL_ORD_ID|2209 307658:0008a1
XP_012521466.1	gnl|BL_ORD_ID|14923 307658:003a4b
XP_012521467.1	gnl|BL_ORD_ID|14923 307658:003a4b
XP_012521468.1	gnl|BL_ORD_ID|14923 307658:003a4b
XP_012521469.1	gnl|BL_ORD_ID|14923 307658:003a4b
XP_012521471.1	gnl|BL_ORD_ID|14022 307658:0036c6
XP_012521470.1	gnl|BL_ORD_ID|14923 307658:003a4b
XP_012521473.1	gnl|BL_ORD_ID|14925 307658:003a4d
XP_012521472.1	gnl|BL_ORD_ID|14924 307658:003a4c
XP_012521476.1	gnl|BL_ORD_ID|19226 307658:004b1a
XP_012521474.1	gnl|BL_ORD_ID|16879 307658:0041ef
XP_012521478.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521477.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521479.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521475.1	gnl|BL_ORD_ID|16879 307658:0041ef
XP_012521480.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521481.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521484.1	gnl|BL_ORD_ID|10160 307658:0027b0
XP_012521482.1	gnl|BL_ORD_ID|17441 307658:004421
XP_012521483.1	gnl|BL_ORD_ID|17442 307658:004422
XP_012521485.1	gnl|BL_ORD_ID|17442 307658:004422
XP_012521486.1	gnl|BL_ORD_ID|17442 307658:004422
XP_012521487.1	gnl|BL_ORD_ID|17442 307658:004422
XP_012521488.1	gnl|BL_ORD_ID|17442 307658:004422
XP_012521491.1	gnl|BL_ORD_ID|595 307658:000253
XP_012521489.1	gnl|BL_ORD_ID|940 307658:0003ac
XP_012521493.1	gnl|BL_ORD_ID|10160 307658:0027b0
XP_012521490.1	gnl|BL_ORD_ID|14139 307658:00373b
XP_012521496.1	gnl|BL_ORD_ID|14858 307658:003a0a
XP_012521498.1	gnl|BL_ORD_ID|9222 307658:002406
XP_012521494.1	gnl|BL_ORD_ID|14858 307658:003a0a
XP_012521495.1	gnl|BL_ORD_ID|14858 307658:003a0a
XP_012521497.1	gnl|BL_ORD_ID|14858 307658:003a0a
XP_012521492.1	gnl|BL_ORD_ID|14857 307658:003a09
XP_012521499.1	gnl|BL_ORD_ID|778 307658:00030a
XP_012521504.1	gnl|BL_ORD_ID|9436 307658:0024dc
XP_012521502.1	gnl|BL_ORD_ID|18419 307658:0047f3
XP_012521503.1	gnl|BL_ORD_ID|20174 307658:004ece
XP_012521500.1	gnl|BL_ORD_ID|18418 307658:0047f2
XP_012521501.1	gnl|BL_ORD_ID|18418 307658:0047f2
XP_012521505.1	gnl|BL_ORD_ID|9999 307658:00270f
XP_012521510.1	gnl|BL_ORD_ID|16599 307658:0040d7
XP_012521511.1	gnl|BL_ORD_ID|9436 307658:0024dc
XP_012521507.1	gnl|BL_ORD_ID|16598 307658:0040d6
XP_012521509.1	gnl|BL_ORD_ID|16598 307658:0040d6
XP_012521508.1	gnl|BL_ORD_ID|16598 307658:0040d6
XP_012521506.1	gnl|BL_ORD_ID|16597 307658:0040d5
XP_012521512.1	gnl|BL_ORD_ID|17553 307658:004491
XP_012521513.1	gnl|BL_ORD_ID|19872 307658:004da0
XP_012521514.1	gnl|BL_ORD_ID|707 307658:0002c3
XP_012521515.1	gnl|BL_ORD_ID|9296 307658:002450
XP_012521516.1	gnl|BL_ORD_ID|9296 307658:002450
XP_012521517.1	gnl|BL_ORD_ID|16861 307658:0041dd
XP_012521519.1	gnl|BL_ORD_ID|9436 307658:0024dc
XP_012521518.1	gnl|BL_ORD_ID|18251 307658:00474b
XP_012521520.1	gnl|BL_ORD_ID|18252 307658:00474c
XP_012521521.1	gnl|BL_ORD_ID|18253 307658:00474d
XP_012521524.1	gnl|BL_ORD_ID|15612 307658:003cfc
XP_012521522.1	gnl|BL_ORD_ID|15611 307658:003cfb
XP_012521525.1	gnl|BL_ORD_ID|15612 307658:003cfc
XP_012521526.1	gnl|BL_ORD_ID|20173 307658:004ecd
XP_012521523.1	gnl|BL_ORD_ID|15611 307658:003cfb
XP_012521527.1	gnl|BL_ORD_ID|12692 307658:003194
XP_012521530.1	gnl|BL_ORD_ID|8986 307658:00231a
XP_012521529.1	gnl|BL_ORD_ID|2131 307658:000853
XP_012521531.1	gnl|BL_ORD_ID|1613 307658:00064d
XP_012521528.1	gnl|BL_ORD_ID|20173 307658:004ecd
XP_012521532.1	gnl|BL_ORD_ID|17531 307658:00447b
XP_012521533.1	gnl|BL_ORD_ID|17531 307658:00447b
XP_012521536.1	gnl|BL_ORD_ID|1174 307658:000496
XP_012521534.1	gnl|BL_ORD_ID|17531 307658:00447b
XP_012521535.1	gnl|BL_ORD_ID|17531 307658:00447b
XP_012521538.1	gnl|BL_ORD_ID|19818 307658:004d6a
XP_012521539.1	gnl|BL_ORD_ID|19818 307658:004d6a
XP_012521537.1	gnl|BL_ORD_ID|19789 307658:004d4d
XP_012521544.1	gnl|BL_ORD_ID|16964 307658:004244
XP_012521545.1	gnl|BL_ORD_ID|485 307658:0001e5
XP_012521543.1	gnl|BL_ORD_ID|16201 307658:003f49
XP_012521547.1	gnl|BL_ORD_ID|13025 307658:0032e1
XP_012521548.1	gnl|BL_ORD_ID|13025 307658:0032e1
XP_012521542.1	gnl|BL_ORD_ID|13511 307658:0034c7
XP_012521540.1	gnl|BL_ORD_ID|13511 307658:0034c7
XP_012521546.1	gnl|BL_ORD_ID|13024 307658:0032e0
XP_012521541.1	gnl|BL_ORD_ID|13511 307658:0034c7
XP_012521549.1	gnl|BL_ORD_ID|13026 307658:0032e2
XP_012521550.1	gnl|BL_ORD_ID|13026 307658:0032e2
XP_012521552.1	gnl|BL_ORD_ID|13028 307658:0032e4
XP_012521551.1	gnl|BL_ORD_ID|13027 307658:0032e3
XP_012521553.1	gnl|BL_ORD_ID|13028 307658:0032e4
XP_012521555.1	gnl|BL_ORD_ID|13029 307658:0032e5
XP_012521556.1	gnl|BL_ORD_ID|1831 307658:000727
XP_012521558.1	gnl|BL_ORD_ID|11089 307658:002b51
XP_012521554.1	gnl|BL_ORD_ID|17963 307658:00462b
XP_012521557.1	gnl|BL_ORD_ID|11090 307658:002b52
XP_012521559.1	gnl|BL_ORD_ID|11086 307658:002b4e
XP_012521560.1	gnl|BL_ORD_ID|11083 307658:002b4b
XP_012521562.1	gnl|BL_ORD_ID|2405 307658:000965
XP_012521563.1	gnl|BL_ORD_ID|2414 307658:00096e
XP_012521561.1	gnl|BL_ORD_ID|4618 307658:00120a
XP_012521565.1	gnl|BL_ORD_ID|11079 307658:002b47
XP_012521564.1	gnl|BL_ORD_ID|17963 307658:00462b
XP_012521566.1	gnl|BL_ORD_ID|5619 307658:0015f3
XP_012521567.1	gnl|BL_ORD_ID|2171 307658:00087b
XP_012521568.1	gnl|BL_ORD_ID|7390 307658:001cde
XP_012521569.1	gnl|BL_ORD_ID|7391 307658:001cdf
XP_012521570.1	gnl|BL_ORD_ID|5615 307658:0015ef
XP_012521572.1	gnl|BL_ORD_ID|2565 307658:000a05
XP_012521571.1	gnl|BL_ORD_ID|4615 307658:001207
XP_012521573.1	gnl|BL_ORD_ID|2520 307658:0009d8
XP_012521575.1	gnl|BL_ORD_ID|2378 307658:00094a
XP_012521576.1	gnl|BL_ORD_ID|2447 307658:00098f
XP_012521577.1	gnl|BL_ORD_ID|5608 307658:0015e8
XP_012521574.1	gnl|BL_ORD_ID|18031 307658:00466f
XP_012521578.1	gnl|BL_ORD_ID|4614 307658:001206
XP_012521579.1	gnl|BL_ORD_ID|11071 307658:002b3f
XP_012521580.1	gnl|BL_ORD_ID|5606 307658:0015e6
XP_012521581.1	gnl|BL_ORD_ID|4613 307658:001205
XP_012521583.1	gnl|BL_ORD_ID|4612 307658:001204
XP_012521582.1	gnl|BL_ORD_ID|10126 307658:00278e
XP_012521584.1	gnl|BL_ORD_ID|10124 307658:00278c
XP_012521587.1	gnl|BL_ORD_ID|2673 307658:000a71
XP_012521586.1	gnl|BL_ORD_ID|5602 307658:0015e2
XP_012521585.1	gnl|BL_ORD_ID|18032 307658:004670
XP_012521588.1	gnl|BL_ORD_ID|7853 307658:001ead
XP_012521589.1	gnl|BL_ORD_ID|5600 307658:0015e0
XP_012521590.1	gnl|BL_ORD_ID|5595 307658:0015db
XP_012521591.1	gnl|BL_ORD_ID|5592 307658:0015d8
XP_012521592.1	gnl|BL_ORD_ID|11062 307658:002b36
XP_012521593.1	gnl|BL_ORD_ID|3991 307658:000f97
XP_012521594.1	gnl|BL_ORD_ID|2193 307658:000891
XP_012521595.1	gnl|BL_ORD_ID|7409 307658:001cf1
XP_012521596.1	gnl|BL_ORD_ID|18989 307658:004a2d
XP_012521597.1	gnl|BL_ORD_ID|11057 307658:002b31
XP_012521598.1	gnl|BL_ORD_ID|3990 307658:000f96
XP_012521599.1	gnl|BL_ORD_ID|5583 307658:0015cf
XP_012521600.1	gnl|BL_ORD_ID|5582 307658:0015ce
XP_012521601.1	gnl|BL_ORD_ID|7765 307658:001e55
XP_012521602.1	gnl|BL_ORD_ID|5580 307658:0015cc
XP_012521603.1	gnl|BL_ORD_ID|5579 307658:0015cb
XP_012521604.1	gnl|BL_ORD_ID|11053 307658:002b2d
XP_012521605.1	gnl|BL_ORD_ID|7417 307658:001cf9
XP_012521606.1	gnl|BL_ORD_ID|7418 307658:001cfa
XP_012521607.1	gnl|BL_ORD_ID|11052 307658:002b2c
XP_012521609.1	gnl|BL_ORD_ID|7746 307658:001e42
XP_012521608.1	gnl|BL_ORD_ID|2582 307658:000a16
XP_012521610.1	gnl|BL_ORD_ID|5575 307658:0015c7
XP_012521611.1	gnl|BL_ORD_ID|2679 307658:000a77
XP_012521612.1	gnl|BL_ORD_ID|5571 307658:0015c3
XP_012521615.1	gnl|BL_ORD_ID|1527 307658:0005f7
XP_012521614.1	gnl|BL_ORD_ID|2443 307658:00098b
XP_012521616.1	gnl|BL_ORD_ID|7481 307658:001d39
XP_012521617.1	gnl|BL_ORD_ID|7482 307658:001d3a
XP_012521613.1	gnl|BL_ORD_ID|5570 307658:0015c2
XP_012521618.1	gnl|BL_ORD_ID|7485 307658:001d3d
XP_012521619.1	gnl|BL_ORD_ID|4609 307658:001201
XP_012521620.1	gnl|BL_ORD_ID|10119 307658:002787
XP_012521621.1	gnl|BL_ORD_ID|4608 307658:001200
XP_012521623.1	gnl|BL_ORD_ID|11046 307658:002b26
XP_012521624.1	gnl|BL_ORD_ID|5566 307658:0015be
XP_012521622.1	gnl|BL_ORD_ID|5567 307658:0015bf
XP_012521625.1	gnl|BL_ORD_ID|11044 307658:002b24
XP_012521627.1	gnl|BL_ORD_ID|4607 307658:0011ff
XP_012521628.1	gnl|BL_ORD_ID|10118 307658:002786
XP_012521629.1	gnl|BL_ORD_ID|5563 307658:0015bb
XP_012521626.1	gnl|BL_ORD_ID|6897 307658:001af1
XP_012521630.1	gnl|BL_ORD_ID|2644 307658:000a54
XP_012521631.1	gnl|BL_ORD_ID|5562 307658:0015ba
XP_012521632.1	gnl|BL_ORD_ID|5561 307658:0015b9
XP_012521635.1	gnl|BL_ORD_ID|2608 307658:000a30
XP_012521634.1	gnl|BL_ORD_ID|11040 307658:002b20
XP_012521633.1	gnl|BL_ORD_ID|12693 307658:003195
XP_012521636.1	gnl|BL_ORD_ID|7779 307658:001e63
XP_012521637.1	gnl|BL_ORD_ID|11039 307658:002b1f
XP_012521640.1	gnl|BL_ORD_ID|11038 307658:002b1e
XP_012521638.1	gnl|BL_ORD_ID|6898 307658:001af2
XP_012521639.1	gnl|BL_ORD_ID|10115 307658:002783
XP_012521641.1	gnl|BL_ORD_ID|11037 307658:002b1d
XP_012521642.1	gnl|BL_ORD_ID|9419 307658:0024cb
XP_012521643.1	gnl|BL_ORD_ID|4604 307658:0011fc
XP_012521646.1	gnl|BL_ORD_ID|2430 307658:00097e
XP_012521644.1	gnl|BL_ORD_ID|5551 307658:0015af
XP_012521645.1	gnl|BL_ORD_ID|7842 307658:001ea2
XP_012521647.1	gnl|BL_ORD_ID|7612 307658:001dbc
XP_012521648.1	gnl|BL_ORD_ID|5548 307658:0015ac
XP_012521649.1	gnl|BL_ORD_ID|9959 307658:0026e7
XP_012521650.1	gnl|BL_ORD_ID|11030 307658:002b16
XP_012521652.1	gnl|BL_ORD_ID|11028 307658:002b14
XP_012521653.1	gnl|BL_ORD_ID|5543 307658:0015a7
XP_012521651.1	gnl|BL_ORD_ID|5546 307658:0015aa
XP_012521655.1	gnl|BL_ORD_ID|4603 307658:0011fb
XP_012521656.1	gnl|BL_ORD_ID|10113 307658:002781
XP_012521657.1	gnl|BL_ORD_ID|5542 307658:0015a6
XP_012521654.1	gnl|BL_ORD_ID|2337 307658:000921
XP_012521658.1	gnl|BL_ORD_ID|5539 307658:0015a3
XP_012521659.1	gnl|BL_ORD_ID|11023 307658:002b0f
XP_012521662.1	gnl|BL_ORD_ID|11020 307658:002b0c
XP_012521660.1	gnl|BL_ORD_ID|10089 307658:002769
XP_012521661.1	gnl|BL_ORD_ID|5537 307658:0015a1
XP_012521663.1	gnl|BL_ORD_ID|11021 307658:002b0d
XP_012521664.1	gnl|BL_ORD_ID|10110 307658:00277e
XP_012521665.1	gnl|BL_ORD_ID|7841 307658:001ea1
XP_012521667.1	gnl|BL_ORD_ID|7787 307658:001e6b
XP_012521668.1	gnl|BL_ORD_ID|11014 307658:002b06
XP_012521666.1	gnl|BL_ORD_ID|2483 307658:0009b3
XP_012521670.1	gnl|BL_ORD_ID|11011 307658:002b03
XP_012521669.1	gnl|BL_ORD_ID|7445 307658:001d15
XP_012521671.1	gnl|BL_ORD_ID|9861 307658:002685
XP_012521672.1	gnl|BL_ORD_ID|11012 307658:002b04
XP_012521673.1	gnl|BL_ORD_ID|2576 307658:000a10
XP_012521675.1	gnl|BL_ORD_ID|7740 307658:001e3c
XP_012521674.1	gnl|BL_ORD_ID|7731 307658:001e33
XP_012521676.1	gnl|BL_ORD_ID|5527 307658:001597
XP_012521677.1	gnl|BL_ORD_ID|2388 307658:000954
XP_012521679.1	gnl|BL_ORD_ID|7560 307658:001d88
XP_012521680.1	gnl|BL_ORD_ID|7561 307658:001d89
XP_012521678.1	gnl|BL_ORD_ID|7559 307658:001d87
XP_012521682.1	gnl|BL_ORD_ID|20176 307658:004ed0
XP_012521681.1	gnl|BL_ORD_ID|11992 307658:002ed8
XP_012521683.1	gnl|BL_ORD_ID|5518 307658:00158e
XP_012521684.1	gnl|BL_ORD_ID|11003 307658:002afb
XP_012521686.1	gnl|BL_ORD_ID|11002 307658:002afa
XP_012521685.1	gnl|BL_ORD_ID|5514 307658:00158a
XP_012521689.1	gnl|BL_ORD_ID|20176 307658:004ed0
XP_012521688.1	gnl|BL_ORD_ID|5511 307658:001587
XP_012521687.1	gnl|BL_ORD_ID|5512 307658:001588
XP_012521690.1	gnl|BL_ORD_ID|5509 307658:001585
XP_012521692.1	gnl|BL_ORD_ID|5508 307658:001584
XP_012521691.1	gnl|BL_ORD_ID|2532 307658:0009e4
XP_012521694.1	gnl|BL_ORD_ID|10999 307658:002af7
XP_012521693.1	gnl|BL_ORD_ID|10998 307658:002af6
XP_012521695.1	gnl|BL_ORD_ID|5506 307658:001582
XP_012521696.1	gnl|BL_ORD_ID|5504 307658:001580
XP_012521697.1	gnl|BL_ORD_ID|5502 307658:00157e
XP_012521698.1	gnl|BL_ORD_ID|2659 307658:000a63
XP_012521699.1	gnl|BL_ORD_ID|7837 307658:001e9d
XP_012521701.1	gnl|BL_ORD_ID|10977 307658:002ae1
XP_012521700.1	gnl|BL_ORD_ID|9462 307658:0024f6
XP_012521702.1	gnl|BL_ORD_ID|2326 307658:000916
XP_012521704.1	gnl|BL_ORD_ID|5492 307658:001574
XP_012521705.1	gnl|BL_ORD_ID|10972 307658:002adc
