OGG gene_Mphar gene_Amel
EOG8V9XKV LOC105838547 LOC102655493
EOG8JDM3D LOC105832935 LOC409608
EOG8B8N80 LOC105831925 LOC409607
EOG8B01HR LOC105831920 LOC409606
EOG8NW2F3 LOC105831921 LOC413467
EOG83NB77 LOC105831922 LOC413468
EOG8T7BZ0 LOC105835183 LOC409924
EOG8PCDNF LOC105835184 LOC413470
EOG8Q5CJQ LOC105834200 LOC409925
EOG8X6G3P LOC105834192 LOC413471
EOG80VZJH LOC105830278 LOC551728
EOG8BS0G6 LOC105834894 LOC409926
EOG8W117H LOC105834891 LOC409927
EOG8CVK2D LOC105834893 LOC107963982
EOG8F4W5F LOC105829316 LOC413357
EOG84QWVQ LOC105836697 LOC551581
EOG84BDX7 LOC105834736 LOC409078
EOG8F4W5P LOC105834734 LOC726505
EOG8MSGSH LOC105834735 LOC412114
EOG8BZQWX LOC105827753 LOC726541
EOG8M0HWH LOC105827755 LOC102654365
EOG8NS678 LOC105829484 LOC727186
EOG89S92G LOC105829731 LOC409340
EOG80KBTC LOC105832415 LOC409114
EOG8B01J4 LOC105832417 LOC409113
EOG84N1MP LOC105832585 LOC411572
EOG8F20ZD LOC105834047 LOC410157
EOG8J9QVM LOC105834043 LOC725383
EOG8CJZBT LOC105834041 LOC727267
EOG8X6G3V LOC105829154 LOC412410
EOG8VX50M LOC105837553 LOC413488
EOG8NS66J LOC105837556 LOC724985
EOG8SBHSK LOC105837555 LOC409932
EOG8QRM0Q LOC105837557 LOC100578734
EOG8J9QTS LOC105837561 LOC413484
EOG8WHCFX LOC105837562 LOC552599
EOG835021 LOC105837560 LOC725740
EOG8ZGS6X LOC105830678 LOC552625
EOG8KSSDK LOC105830681 LOC412195
EOG8NGKGR LOC105838549 LOC409701
EOG8T4GQR LOC105837832 Crzr
EOG8GQT0W LOC105837833 LOC412813
EOG8S4SB7 LOC105831325 LOC725189
EOG86MFDQ LOC105831324 LOC408600
EOG88WFWB LOC105829156 LOC408598
EOG8DV8FV LOC105836273 LOC102656618
EOG8RR9CB LOC105836274 LOC410730
EOG8FN7CT LOC105836276 LOC408597
EOG8T7BZ5 LOC105828901 LOC410729
EOG8W9MZT LOC105828902 LOC100578424
EOG8XWJSD LOC105828899 LOC725576
EOG8XWJSD LOC105832336 LOC725576
EOG83FKS5 LOC105828415 LOC551385
EOG8Q2H97 LOC105830069 LOC725683
EOG890B57 LOC105830072 LOC102654014
EOG8BK7ZQ LOC105834040 LOC725776
EOG815K82 LOC105834519 LOC100578653
EOG8GBB1Z LOC105832196 LOC410115
EOG8N33HG LOC105832195 LOC410116
EOG870XCD LOC105832197 LOC102654555
EOG82Z7JN LOC105835166 LOC102654510
EOG8258NR LOC105832549 LOC100578735
EOG890B4B LOC105840257 LOC413907
EOG890B4B LOC105832551 LOC413907
EOG8NGKGJ LOC105831613 LOC107966050
EOG8NGKGJ LOC105835404 LOC107966050
EOG8NGKGJ LOC105837745 LOC107966050
EOG8RNF4C LOC105829038 LOC409755
EOG8X3KVR LOC105832707 LOC724193
EOG8S1X2T LOC105832708 LOC413080
EOG869TPK LOC105832709 LOC409756
EOG8W117M LOC105837130 LOC413081
EOG83XXZX LOC105837132 LOC724329
EOG8936CG LOC105837122 LOC409757
EOG8NZXP3 LOC105838134 LOC551818
EOG8Q5CJ7 LOC105838123 LOC551790
EOG8HQHCX LOC105827799 LOC412164
EOG8RBTD9 LOC105827797 LOC724538
EOG8V463J LOC105832999 LOC724760
EOG8V463J LOC105833001 LOC724760
EOG8V463J LOC105833000 LOC724760
EOG8V463J LOC105832997 LOC724760
EOG8V463J LOC105837375 LOC724760
EOG8DV8FG LOC105830485 LOC551620
EOG8PG8VZ LOC105838859 LOC724875
EOG88SKP8 LOC105838860 LOC412343
EOG8QZBF5 LOC105838854 LOC552502
EOG88WFWG LOC105838855 LOC409102
EOG8GF693 LOC105838858 LOC409103
EOG8KH5PN LOC105829250 LOC725105
EOG8K6JZJ LOC105829245 LOC725150
EOG8V9XJX LOC105827762 LOC410061
EOG8DFSH3 LOC105827763 LOC725237
EOG8QC40S LOC105840567 LOC413759
EOG8QC40S LOC105828855 LOC413759
EOG883H0H LOC105840138 LOC406118
EOG8T1MGD LOC105840140 LOC408592
EOG8F20Z0 LOC105828432 LOC410726
EOG8HX7VD LOC105835920 LOC408594
EOG8JQ6SN LOC105833441 LOC410727
EOG8PP1BT LOC105833431 LOC725649
EOG8W6RQP LOC105833440 LOC408595
EOG8JT31D LOC105832030 LOC100578300
EOG8TB75Q LOC105830870 LOC410728
EOG8TQQ5D LOC105831807 LOC412201
EOG8KM1XC LOC105839967 LOC552497
EOG8THZNT LOC105839681 LOC726264
EOG886C6Z LOC105839680 LOC552473
EOG8B01JT LOC105828841 LOC724678
EOG8B01JT LOC105829146 LOC724678
EOG8B01JT LOC105829767 LOC724678
EOG8B01JT LOC105838829 LOC724678
EOG8B01JT LOC105828841 LOC725450
EOG8B01JT LOC105829146 LOC725450
EOG8B01JT LOC105829767 LOC725450
EOG8B01JT LOC105838829 LOC725450
EOG8B01JT LOC105828841 LOC725308
EOG8B01JT LOC105829146 LOC725308
EOG8B01JT LOC105829767 LOC725308
EOG8B01JT LOC105838829 LOC725308
EOG8B01JT LOC105828841 LOC726468
EOG8B01JT LOC105829146 LOC726468
EOG8B01JT LOC105829767 LOC726468
EOG8B01JT LOC105838829 LOC726468
EOG8FBMN7 LOC105833642 LOC727396
EOG80CMBV LOC105836536 LOC550977
EOG8R26PB LOC105836538 LOC412495
EOG8J40C6 LOC105836539 LOC727390
EOG8ZSCZC LOC105835783 LOC409079
EOG81NXFQ LOC105828505 LOC412748
EOG8RR9BJ LOC105828504 LOC726918
EOG8X6G42 LOC105837609 LOC552371
EOG8DJNR0 LOC105837608 LOC411997
EOG886C71 LOC105830872 LOC726944
EOG8B5S1D LOC105830867 LOC551107
EOG8Q5CHV LOC105831510 LOC724620
EOG8RR9C4 LOC105838961 LOC412112
EOG8NP9Z2 LOC105838960 LOC100576131
EOG8NZXP8 LOC105835895 LOC409218
EOG8DJNRC LOC105832172 LOC551636
EOG83R6HB LOC105828830 LOC725882
EOG815K7Q LOC105828828 LOC551612
EOG8XD6KD LOC105830010 LOC551573
EOG8KSSD6 LOC105830003 LOC726223
EOG8J6VKQ LOC105830164 LOC411965
EOG86DPX9 LOC105834161 LOC551415
EOG8R52XS LOC105828144 LOC412613
EOG88GZZ8 LOC105840148 LOC552374
EOG8P2SWX LOC105840147 LOC100577140
EOG88SKP7 LOC105840150 LOC409734
EOG857822 LOC105840149 LOC409733
EOG8CC6W9 LOC105830617 LOC408590
EOG8DV8FW LOC105832837 LOC408591
EOG8J1446 LOC105832838 LOC550948
EOG8ZSCXM LOC105829077 LOC410724
EOG8GTP77 LOC105831234 LOC410725
EOG8F20Z1 LOC105831238 LOC726060
EOG8HX7VV LOC105830185 LOC552039
EOG80S3B2 LOC105830186 LOC552067
EOG8M0HWD LOC105830886 LOC552094
EOG8TF3FP LOC105830889 LOC725848
EOG84F94J LOC105839635 LOC100578631
EOG8GXJG3 LOC105839634 LOC413025
EOG8FR3MN LOC105839295 LOC725817
EOG89CT39 LOC105830866 LOC413024
EOG8W118G LOC105830613 LOC725489
EOG8ZKNGB LOC105837584 LOC410719
EOG8FBMNC LOC105832653 LOC100576586
EOG8GMXRQ LOC105832654 LOC409739
EOG85XBQZ LOC105831874 LOC413239
EOG879J33 LOC105831873 LOC413240
EOG8Q87T2 LOC105831888 LOC100576730
EOG8H756X LOC105831864 LOC102656732
EOG8D821H LOC105831863 LOC102656640
EOG89KJK4 LOC105839618 LOC100576446
EOG844PF6 LOC105839611 LOC410723
EOG812Q10 LOC105839610 LOC552166
EOG866ZFN LOC105829233 LOC409259
EOG8284WJ LOC105831876 LOC409258
EOG8P8JCD LOC105837880 LOC552095
EOG8QVG69 LOC105831875 LOC409717
EOG8H48ZJ LOC105839854 LOC552040
EOG89PDTF LOC105839857 LOC102655422
EOG8936CK LOC105839856 LOC413000
EOG8HX7VP LOC105832782 LOC409718
EOG83FKRS LOC105835779 LOC100578708
EOG8PZN21 LOC105830946 LOC409109
EOG8GTP7T LOC105828118 LOC724330
EOG8T1MFX LOC105828130 LOC414004
EOG86X240 LOC105832338 LOC724235
EOG8HB1FF LOC105832333 LOC551730
EOG8WM7P5 LOC105830188 LOC726972
EOG8VT8S4 LOC105838217 LOC552440
EOG8SR0RV LOC105835169 LOC100576106
EOG84QWVV LOC105835503 LOC409571
EOG80S39V LOC105828205 LOC100577499
EOG8F7RDJ LOC105832835 LOC551705
EOG818FHD LOC105831502 LOC409401
EOG86170C LOC105831503 LOC551679
EOG89CT2Z LOC105833496 LOC413677
EOG8VMJ9G LOC105834639 LOC413678
EOG8QZBF8 LOC105837121 LOC410035
EOG8QZBF8 LOC105834638 LOC410035
EOG822DDG LOC105832484 LOC411526
EOG85HVRP LOC105840144 LOC100577425
EOG8JWZ7W LOC105829192 LOC409093
EOG8WQ3X7 LOC105834308 LOC409646
EOG8WQ3X7 LOC105835035 LOC409646
EOG8FTZTS LOC105838920 LOC412224
EOG8Q87SK LOC105832747 LOC551406
EOG8WT05J LOC105832750 LOC726824
EOG8JWZ8T LOC105834299 LOC409100
EOG8D29J9 LOC105839945 LOC411555
EOG8PP1C8 LOC105839946 LOC107965313
EOG8FFGW9 LOC105833092 LOC409859
EOG8FFGW9 LOC105839131 LOC409859
EOG8VDSTC LOC105835522 LOC726743
EOG8V19V5 LOC105833697 LOC409860
EOG8MGW2Z LOC105833698 LOC726722
EOG8MGW2Z LOC105833698 LOC727503
EOG84F956 LOC105833699 LOC726694
EOG83501Z LOC105839320 LOC409351
EOG85MR0V LOC105839319 LOC726667
EOG8BP46T LOC105829306 LOC100578479
EOG85QM82 LOC105829307 LOC100578966
EOG8D55SW LOC105831836 LOC551785
EOG8WM7PD LOC105835218 LOC551976
EOG8R26Q7 LOC105840746 LOC100578389
EOG8NCQ79 LOC105834238 LOC724618
EOG81ZJ63 LOC105835595 LOC724796
EOG8S7NK3 LOC105833966 LOC724761
EOG8XSPJ8 LOC105837498 LOC410717
EOG87M4T9 LOC105837502 LOC724681
EOG8KWNNF LOC105835650 LOC552036
EOG8BS0G1 LOC105834387 LOC726220
EOG8V19VF LOC105834386 LOC552065
EOG837V8R LOC105838836 LOC552091
EOG8ZGS74 LOC105838841 LOC100578721
EOG8CJZBH LOC105832254 LOC726320
EOG8D55S2 LOC105828741 LOC409579
EOG8BK7ZC LOC105838155 LOC726368
EOG8Z65HN LOC105828906 LOC102656429
EOG8Z65HN LOC105831850 LOC102656429
EOG8Z65HN LOC105831853 LOC102656429
EOG8Z65HN LOC105838158 LOC102656429
EOG8Z65HN LOC105838153 LOC102656429
EOG8MWC1M LOC105835041 LOC726405
EOG8RNF3W LOC105836835 Tret1
EOG8WDH70 LOC105832251 LOC551676
EOG8CVK2W LOC105832252 LOC551703
EOG8K9F75 LOC105832248 LOC100578952
EOG8FFGW6 LOC105838951 LOC412191
EOG8ZPHPQ LOC105836839 LOC411850
EOG82FWC4 LOC105833358 LOC409238
EOG8W3WGJ LOC105834709 LOC411910
EOG81VNXC LOC105839505 LOC412436
EOG8G1Q9N LOC105830700 LOC410706
EOG8FJC5J LOC105829509 LOC100577313
EOG85B49P LOC105830697 LOC550899
EOG861702 LOC105830697 LOC550899
EOG8JDM2G LOC105830695 LOC100577239
EOG8030NB LOC105830698 LOC102654970
EOG8ZSCZ2 LOC105836886 LOC725495
EOG8TXFN8 LOC105828831 LOC408585
EOG8M0HWB LOC105828832 LOC408586
EOG84TS3C LOC105836992 LOC408587
EOG851HM4 LOC105836990 LOC100577019
EOG8K3PRX LOC105840289 LOC725238
EOG8K3PS0 LOC105829769 LOC725230
EOG8K3PS0 LOC105831059 LOC725230
EOG8K3PS0 LOC105835379 LOC725230
EOG8K3PS0 LOC105829769 LOC102655073
EOG8K3PS0 LOC105831059 LOC102655073
EOG8K3PS0 LOC105835379 LOC102655073
EOG8K3PS0 LOC105829769 LOC406132
EOG8K3PS0 LOC105831059 LOC406132
EOG8K3PS0 LOC105835379 LOC406132
EOG8K3PS0 LOC105829769 LOC724757
EOG8K3PS0 LOC105831059 LOC724757
EOG8K3PS0 LOC105835379 LOC724757
EOG8P2SWW LOC105831057 LOC409689
EOG8XSPJ9 LOC105831058 LOC412948
EOG88PQDN LOC105828637 LOC412949
EOG8CJZBR LOC105828638 LOC409690
EOG8M0HW7 LOC105829770 LOC551843
EOG8Z398W LOC105831146 LOC412626
EOG88PQDT LOC105828739 LOC410022
EOG886C6W LOC105840168 LOC413675
EOG87WRH4 LOC105840171 LOC410021
EOG8SXR75 LOC105837650 LOC100576435
EOG88SKNM LOC105837641 LOC413672
EOG8R7Z5F LOC105837642 LOC413670
EOG87SW8P LOC105837644 LOC410710
EOG8V72BC LOC105837645 LOC724587
EOG8QNQRQ LOC105837646 LOC102655896
EOG8BGCR3 LOC105837640 LOC724539
EOG81NXG0 LOC105834887 LOC724412
EOG8JWZ8B LOC105838876 LOC724373
EOG8TXFMT LOC105838878 LOC100577942
EOG8XH2VF LOC105838877 LOC724281
EOG8PP1C9 LOC105838898 LOC724236
EOG88SKNG LOC105840135 LOC551205
EOG8S4S9W LOC105837831 LOC551156
EOG8R52X2 LOC105838843 LOC551109
EOG8VT8SM LOC105838844 LOC551671
EOG87Q12G LOC105828842 LOC726447
EOG87Q12G LOC105829768 LOC726447
EOG87Q12G LOC105831056 LOC726447
EOG87Q12G LOC105836023 LOC726447
EOG81C9QW LOC105829761 LOC551699
EOG82FWD3 LOC105829773 LOC726369
EOG8CNTKP LOC105837775 LOC409261
EOG86T5W0 LOC105830964 LOC411982
EOG82Z7KF LOC105830960 Gtpx1
EOG808R3G LOC105830963 LOC726348
EOG8JQ6RW LOC105830961 LOC726325
EOG8S1X2C LOC105831389 LOC100578255
EOG80ZTSC LOC105839904 LOC412196
EOG8G7FT0 LOC105837297 LOC726115
EOG8STW05 LOC105837295 LOC412117
EOG8NP9ZN LOC105840990 LOC551978
EOG8JT313 LOC105837658 LOC409282
EOG8W1184 LOC105837649 LOC552032
EOG8FBMN3 LOC105837455 LOC410009
EOG8QG08F LOC105828121 LOC413649
EOG8962M8 LOC105835460 LOC413650
EOG80ZTSF LOC105832668 LOC100577593
EOG8FFGW3 LOC105840061 LOC409193
EOG8HHRX6 LOC105840059 LOC725819
EOG8DNHZR LOC105838976 LOC552221
EOG8Z65H2 LOC105834274 LOC552243
EOG84XNC9 LOC105834276 LOC102655679
EOG8W6RRT LOC105834277 LOC100578901
EOG8BS0F9 LOC105840802 LOC552264
EOG84J5CB LOC105835932 LOC411705
EOG8W3WGX LOC105835934 LOC411704
EOG8XWJS1 LOC105829427 LOC100577521
EOG8W9MZZ LOC105829428 LOC409909
EOG83V2QN LOC105828603 LOC409910
EOG8DFSH6 LOC105828609 LOC409911
EOG8PP1BK LOC105828733 LOC413228
EOG8BGCR7 LOC105837277 LOC409832
EOG8CG34B LOC105837276 LOC725028
EOG866ZF8 LOC105837719 LOC411996
EOG805VVN LOC105830181 LOC411995
