Gene,SwissProt,UniProt,L2,L3,L4,L5,Head,Gaster,Larval,Overall,Fixed Synonymous,Fixed Non-Synonymous,Polymorphic Synonymous,Polymorphic Non-Synonymous,Number Synonymous,Number Non-Synonymous,BSnIPRE.class,BSnIPRE.est,BSnIPRE.gamma,NI.class,NI.class.BFcorrect,MKtest P-value,"""-LOG(Neutrality Index)""",Raw PS,PS1,PS2
LOC105827785,-,Uncharacterized protein,NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827786,Carbohydrate-responsive element-binding protein,MLX-interacting protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,92,86,21,13,900.6666667,2321.333333,neut,0.383542321,0.561256479,neut,neut,0.372472929,0.412131799,Eukaryota,eukaryote,eukaryote
LOC105827787,Trypsin-7,Ovochymase-2,NDE,NDE,Worker,Reproductive,NDE,NDE,NDE,NDE,32,16,10,4,245.3333333,675.6666667,neut,0.221460449,0.31277062,neut,neut,0.991638125,0.223143551,cellular organisms,cellular,cellular
LOC105827788,KIF1-binding protein homolog,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,38,8,15,1,476.3333333,1338.666667,neut,0.459414649,0.699153646,neut,neut,0.497931804,1.149905583,Eukaryota,eukaryote,eukaryote
LOC105827789,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,18,9,3,0,164,487,neut,0.776915253,1.282031663,NA,NA,NA,NA,Bilateria,bilaterian,bilaterian
LOC105827790,Acyl carrier protein  mitochondrial,Acyl carrier protein,NDE,NDE,NDE,NDE,Worker,NDE,NDE,Worker,16,7,5,3,136.6666667,319.3333333,neut,-0.077581787,-0.102127917,neut,neut,1,-0.315852949,cellular organisms,cellular,cellular
LOC105827791,TBC1 domain family member 9,TBC1 domain family member 9,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,31,5,8,2,627,1764,neut,-0.035066978,-0.046419573,neut,neut,1,-0.438254931,Eukaryota,eukaryote,eukaryote
LOC105827792,-,-,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827793,N-acylneuraminate-9-phosphatase,N-acylneuraminate-9-phosphatase,NDE,NDE,NDE,NDE,NDE,NDE,Reproductive,Reproductive,19,6,2,0,187.6666667,499.3333333,neut,0.596493397,0.921732382,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827794,DNA repair protein RAD51 homolog 1,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,26,8,5,0,285,738,neut,0.710564632,1.14809033,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827795,DNA polymerase delta subunit 2,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,52,31,10,2,372.3333333,992.6666667,neut,0.783758009,1.300412246,neut,neut,0.2791625,1.092181398,Eukaryota,eukaryote,eukaryote
LOC105827796,Neurochondrin homolog,Uncharacterized protein,NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,111,17,11,0,613.3333333,1624.666667,neut,0.880203816,1.497355952,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827797,Probable ATP-dependent RNA helicase DDX52,Putative ATP-dependent RNA helicase DDX52,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,36,25,7,5,479,1303,neut,0.144814937,0.198455666,neut,neut,1,-0.028170877,cellular organisms,cellular,cellular
LOC105827798,-,Spermatogenesis-associated protein 7-like protein,NDE,NDE,Reproductive,NDE,NDE,NDE,NDE,NDE,28,46,3,10,443,1294,neut,-0.097975935,-0.126113525,neut,neut,0.4771209,-0.707535918,Eukaryota,eukaryote,eukaryote
LOC105827799,Protein halfway,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,21,0,3,0,392.6666667,1092.333333,neut,0.088337496,0.118965344,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105827800,Diphthamide biosynthesis protein 1,Diphthamide biosynthesis protein 1,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,24,5,3,1,326,907,neut,0.112321987,0.151768833,neut,neut,1,-0.470003629,cellular organisms,cellular,cellular
LOC105827801,PQ-loop repeat-containing protein 1,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,Reproductive,NDE,Reproductive,31,0,0,0,202.6666667,556.3333333,neut,0.271696315,0.377661533,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827802,Major facilitator superfamily domain-containing protein 10,Uncharacterized protein,NDE,NDE,Reproductive,NDE,Reproductive,NDE,NDE,Reproductive,48,19,6,2,389.6666667,930.3333333,neut,0.409738225,0.597649132,neut,neut,1,0.171850257,cellular organisms,cellular,cellular
LOC105827803,Protein dimmed,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,Worker,NDE,NDE,23,6,0,0,167,379,neut,0.592516767,0.907165408,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105827804,Arf-GAP with Rho-GAP domain  ANK repeat and PH domain-containing protein 2,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,181,70,40,6,1111.333333,2662.666667,pos,0.807327242,1.358081472,neut,neut,0.052700122,0.947118196,Eukaryota,eukaryote,eukaryote
LOC105827806,Zinc finger protein 407,Putative uncharacterized protein (Fragment),NDE,NDE,Worker,Worker,NDE,Worker,NDE,Worker,158,5,48,5,434,1003,neut,-0.45769923,-0.560026031,neut,neut,0.12359227,-1.191394022,cellular organisms,cellular,cellular
LOC105827807,Probable pyruvate dehydrogenase E1 component subunit alpha  mitochondrial,Pyruvate dehydrogenase E1 component subunit alpha,NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,69,16,10,0,320.3333333,876.6666667,neut,0.989912966,1.769939345,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827808,Angiotensin-converting enzyme,Angiotensin-converting enzyme,NDE,NDE,Reproductive,NDE,NDE,NDE,Reproductive,Reproductive,33,25,7,1,560.3333333,1596.666667,neut,0.87658831,1.509117589,neut,neut,0.202400045,1.668278412,cellular organisms,cellular,cellular
LOC105827809,Sphingosine-1-phosphate phosphatase 1,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,NDE,Reproductive,NDE,NDE,Reproductive,165,105,36,10,342.6666667,980.3333333,pos,0.773471343,1.283747386,pos,neut,0.038554038,0.828948722,cellular organisms,cellular,cellular
LOC105827810,Farnesyl pyrophosphate synthase,Putative uncharacterized protein (Fragment),NDE,Reproductive,NDE,Worker,Worker,Worker,NDE,NDE,3,18,12,24,265,818,neut,-0.230812877,-0.3408554,neut,neut,0.20639597,1.098612289,Eukaryota,eukaryote,eukaryote
LOC105827811,PIH1 domain-containing protein 1,PIH1 domain-containing protein 1,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,121,94,0,9,281.6666667,819.3333333,neut,-0.333613259,-0.400971715,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827812,Kinetochore-associated protein 1,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,70,66,13,14,1030.666667,2944.333333,neut,0.007957573,0.010532132,neut,neut,0.916601088,-0.132948472,Metazoa,bilaterian,bilaterian
LOC105827813,Iporin,Iporin,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,610,209,86,32,1377.333333,3464.666667,neut,-0.015033294,-0.019602232,neut,neut,0.795593265,-0.082513312,Opisthokonta,bilaterian,bilaterian
LOC105827815,Spermine oxidase,Uncharacterized protein,NDE,NDE,Worker,Worker,NDE,NDE,NDE,NDE,27,12,5,4,410.6666667,1080.333333,neut,-0.1710476,-0.21833908,neut,neut,0.694886602,-0.587786665,cellular organisms,cellular,cellular
LOC105827816,Major facilitator superfamily domain-containing protein 6,Major facilitator superfamily domain-containing protein 6 (Fragment),NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,0,0,16,20,412.3333333,1105.666667,neg,-1.365381127,-3.377630211,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827817,-,Major facilitator superfamily domain-containing protein 6 (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827818,-,Putative uncharacterized protein (Fragment),NDE,NDE,Worker,NDE,Worker,NDE,NDE,NDE,78,53,22,11,984.6666667,2366.333333,neut,0.266106788,0.37950513,neut,neut,0.582158595,0.306730267,Apocrita,ant,hymenopteran_ant
LOC105827819,Retinol dehydrogenase 12,Putative uncharacterized protein (Fragment),Reproductive,NDE,NDE,NDE,Worker,NDE,NDE,NDE,1,3,0,4,74.33333333,213.6666667,neut,-0.685494988,-0.827004336,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827820,Retinol dehydrogenase 11,Putative uncharacterized protein (Fragment),NDE,NDE,Worker,Worker,Worker,Worker,NDE,Worker,7,16,17,20,259,764,neut,-0.103226918,-0.157359608,neut,neut,0.356835054,0.664159644,cellular organisms,cellular,cellular
LOC105827821,-,-,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827822,-,Pro-Pol polyprotein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827823,Calcium uniporter protein  mitochondrial,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,7,3,2,2,278,703,neut,-0.328045176,-0.413171599,neut,neut,0.929724306,-0.84729786,Eukaryota,eukaryote,eukaryote
LOC105827825,Nose resistant to fluoxetine protein 6,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,0,0,0,1,91.66666667,265.3333333,neut,-0.525119921,-0.649542503,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827826,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827827,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827828,Facilitated trehalose transporter Tret1,Putative uncharacterized protein (Fragment),NDE,Worker,NDE,NDE,NDE,NDE,NDE,NDE,19,19,2,1,470.6666667,1134.333333,neut,0.613689827,0.955387082,neut,neut,1,0.693147181,cellular organisms,cellular,cellular
LOC105827829,Pantothenate kinase 4,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,Reproductive,NDE,Reproductive,35,14,12,0,640,1772,neut,0.985715096,1.798937927,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105827830,E3 ubiquitin-protein ligase MARCH3,E3 ubiquitin-protein ligase MARCH3 (Fragment),NDE,NDE,Worker,NDE,NDE,NDE,NDE,NDE,2,4,2,2,228,528,neut,-0.170114596,-0.224848816,neut,neut,1,0.693147181,Eukaryota,eukaryote,eukaryote
LOC105827831,Zinc finger CCHC domain-containing protein 2,Zinc finger CCHC domain-containing protein 2,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,65,18,8,1,802.3333333,1855.666667,neut,0.546397193,0.830077994,neut,neut,0.755828421,0.79542603,Opisthokonta,bilaterian,bilaterian
LOC105827832,-,Uncharacterized protein,NDE,NDE,Worker,Worker,NDE,Worker,NDE,Worker,6,1,1,1,107.3333333,258.6666667,neut,-0.188067838,-0.241220056,neut,neut,0.914675648,-1.791759469,Apocrita,ant,hymenopteran_ant
LOC105827833,-,Putative uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827834,-,Putative gustatory receptor 28b,NDE,NDE,NDE,NDE,NDE,Worker,NDE,NDE,2,2,1,0,147.3333333,440.6666667,neut,0.199514708,0.280748099,NA,NA,NA,NA,Apocrita,ant,hymenopteran_ant
LOC105827835,-,PRO3 protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827836,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827837,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827838,Myrosinase 1,Lactase-phlorizin hydrolase,NDE,NDE,Worker,NDE,Worker,NDE,NDE,Worker,36,35,9,11,360.3333333,1136.666667,neut,-0.086351289,-0.112859443,neut,neut,0.843417562,-0.228841572,cellular organisms,cellular,cellular
LOC105827839,-,Putative uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827841,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827843,SH3 domain-containing kinase-binding protein 1,SH3 domain-containing kinase-binding protein 1,NDE,NDE,NDE,Worker,Worker,NDE,Worker,Worker,247,75,28,10,486.3333333,1196.666667,neut,0.053251309,0.070327796,neut,neut,0.83120079,-0.162280806,Eukaryota,eukaryote,eukaryote
LOC105827844,-,Uncharacterized protein,NDE,NDE,Worker,Worker,Worker,Worker,Worker,Worker,10,2,1,0,203.3333333,486.6666667,neut,0.287889946,0.407836723,NA,NA,NA,NA,Neoptera,ant,hymenopteran_ant
LOC105827845,-,C-type lectin domain family 4 member F,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827846,CDGSH iron-sulfur domain-containing protein 3  mitochondrial,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,9,5,1,2,108.6666667,305.3333333,neut,-0.107000315,-0.138367195,neut,neut,0.732210285,-1.280933845,cellular organisms,cellular,cellular
LOC105827847,C-myc promoter-binding protein,C-myc promoter-binding protein,NDE,NDE,NDE,Reproductive,Reproductive,Reproductive,NDE,Reproductive,68,4,8,2,954,2337,neut,-0.281758829,-0.347862588,neut,neut,0.319429026,-1.446918983,Eukaryota,eukaryote,eukaryote
LOC105827848,Isopentenyl-diphosphate Delta-isomerase 1,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,NDE,Worker,Worker,Reproductive,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827850,Serine protease gd,Uncharacterized protein,NDE,NDE,NDE,NDE,Worker,Reproductive,NDE,NDE,155,108,75,18,390,1014,pos,0.98538016,1.852246057,pos,neut,0.000275834,1.065822466,cellular organisms,cellular,cellular
LOC105827851,-,Putative uncharacterized protein (Fragment),NDE,NDE,Worker,Worker,Worker,NDE,NDE,Worker,18,38,2,4,122.3333333,318.6666667,neut,0.467719878,0.694965366,neut,neut,1,0.054067221,Formicidae,ant,hymenopteran_ant
LOC105827852,Serine protease gd,Serine protease gd,NDE,NDE,NDE,NDE,NDE,Reproductive,NDE,Reproductive,52,81,10,5,387.6666667,1043.333333,pos,0.958745971,1.703302377,neut,neut,0.075814952,1.136352617,cellular organisms,cellular,cellular
LOC105827853,Adenylate cyclase type 10,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105827854,ELKS/Rab6-interacting/CAST family member 1,ERC protein 2,NDE,NDE,Worker,Worker,NDE,NDE,Worker,Worker,50,35,12,4,575.3333333,1770.666667,neut,0.603229532,0.945672386,neut,neut,0.347545139,0.741937345,Arthropoda,insect,insect
LOC105827855,-,-,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,4,15,0,1,126.3333333,239.6666667,neut,0.614206296,0.959800974,NA,NA,NA,NA,Monomorium pharaonis,ant,hymenopteran_ant
LOC105827856,Prostasin,Enteropeptidase (Fragment),NDE,NDE,NDE,NDE,NDE,Worker,NDE,Worker,112,73,26,15,1454,3769,neut,0.182617967,0.253398467,neut,neut,0.869361712,0.122006907,cellular organisms,cellular,cellular
LOC105827857,Adenylyl cyclase-associated protein 1,Adenylyl cyclase-associated protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,114,68,36,4,771.3333333,2087.666667,pos,1.273391255,2.656565039,pos,neut,0.001573731,1.680533834,Eukaryota,eukaryote,eukaryote
LOC105827858,General transcription factor IIH subunit 3,General transcription factor IIH subunit,NDE,NDE,Reproductive,NDE,Reproductive,NDE,NDE,Reproductive,0,0,4,12,94.66666667,283.3333333,neg,-1.541577529,-2.280735955,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105827859,Zinc metalloproteinase nas-15,Metalloendopeptidase,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
